"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD000001k07hYAA","005al00000RVcKvAAL","false","nSight Financial","2026-04-09T10:14:00.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWD00005vM0qn2AC","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WE000001g6FYYAY","005al00000RVcKvAAL","false","Summit Financial Group","2026-07-23T08:31:36.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00007Ifg7G2AR","/summitfinancial","Summit Financial Client Hub","0DB5f000000KLMNO","D5G8J2L4Q7V1Z9X6F","D5G8J2L4Q7V1Z9X6F","LLC_BI__Institution_Manager","a31WD000002C6tJYAS"
"a31WE000001g6FZYAY","005al00000RVcKvAAL","false","First National Bank","2026-07-23T08:31:36.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00007Ifg7D2AR","/firstnational","First National Community Portal","0DB5f000000XYZAB","H7K2M9R4P1N8V3Q6X","H7K2M9R4P1N8V3Q6X","LLC_BI__Institution_Admin","a31WD000002C6tKYAS"
"a31WE000001UH9JYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pj2AK","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WE000001UH9KYAW","005al00000RVcKvAAL","false","Heritage Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pk2AK","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WE000001UH9LYAW","005al00000RVcKvAAL","false","Midwest Savings Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pl2AK","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WE000001UH9MYAW","005al00000RVcKvAAL","false","Pacific Coast Financial","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pm2AK","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WE000001UH9NYAW","005al00000RVcKvAAL","false","Summit Federal Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pn2AK","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WE000001UH9OYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Po2AK","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WE000001UH9PYAW","005al00000RVcKvAAL","false","Heritage Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pp2AK","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WE000001UH9QYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-24T15:15:44.000Z","005al00000RVvFOAA1","2026-08-24T15:15:44.000Z","a0CWE00006hQ4Pq2AK","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
