"Id","IsDeleted","LLC_BI__Automate_Collateral_Pledge__c","LLC_BI__Collateral_Type__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Filter_In_Branch_Collateral__c","LLC_BI__Filter_In_Branch_Leased_Asset__c","LLC_BI__Is_Default__c","LLC_BI__Product__c","LLC_BI__Valuation_Providers__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a3rWD000001kazNYAQ","false","false","a1lWD0000019K3rYAE","","false","false","false","a48WD000001PAlTYAW","","42067453078286121","PCT-00000012","005al00000RVvFOAA1"
"a3rWD000001kazCYAQ","false","false","a1lWD0000019K3nYAE","","false","false","false","a48WD000001PAlSYAW","","42080064210953874","PCT-00000001","005al00000RVvFOAA1"
"a3rWD000001kazIYAQ","false","false","a1lWD0000019K48YAE","","false","false","false","a48WD000001PAlSYAW","","42082128476127682","PCT-00000007","005al00000RVvFOAA1"
"a3rWD000001kazLYAQ","false","false","a1lWD0000019K4LYAU","","false","false","false","a48WD000001PAlNYAW","","42082224992716307","PCT-00000010","005al00000RVvFOAA1"
"a3rWD000001kazOYAQ","false","false","a1lWD0000019K47YAE","","false","false","false","a48WD000001PAlTYAW","","42330343645059870","PCT-00000013","005al00000RVvFOAA1"
"a3rWD000001kazJYAQ","false","false","a1lWD0000019K3vYAE","","false","false","false","a48WD000001PAlNYAW","","42395615082121958","PCT-00000008","005al00000RVvFOAA1"
"a3rWD000001kazEYAQ","false","false","a1lWD0000019K3rYAE","","false","false","false","a48WD000001PAlSYAW","","42446717035563040","PCT-00000003","005al00000RVvFOAA1"
"a3rWD000001kazRYAQ","false","false","a1lWD0000019K48YAE","","false","false","false","a48WD000001PAlRYAW","","42479331933660465","PCT-00000016","005al00000RVvFOAA1"
"a3rWD000001kazKYAQ","false","false","a1lWD0000019K4GYAU","","false","false","false","a48WD000001PAlNYAW","","42493838306586662","PCT-00000009","005al00000RVvFOAA1"
"a3rWD000001kazHYAQ","false","false","a1lWD0000019K3uYAE","","false","false","false","a48WD000001PAlSYAW","","42495165643102811","PCT-00000006","005al00000RVvFOAA1"
"a3rWD000001kazGYAQ","false","false","a1lWD0000019K3sYAE","","false","false","false","a48WD000001PAlSYAW","","42521698846750838","PCT-00000005","005al00000RVvFOAA1"
"a3rWD000001kazFYAQ","false","false","a1lWD0000019K47YAE","","false","false","false","a48WD000001PAlSYAW","","42740069098375523","PCT-00000004","005al00000RVvFOAA1"
"a3rWD000001kazMYAQ","false","false","a1lWD0000019K4NYAU","","false","false","false","a48WD000001PAlNYAW","","42751680411984640","PCT-00000011","005al00000RVvFOAA1"
"a3rWD000001kazDYAQ","false","false","a1lWD0000019K3qYAE","","false","false","false","a48WD000001PAlSYAW","","42769340570301526","PCT-00000002","005al00000RVvFOAA1"
"a3rWD000001kazQYAQ","false","false","a1lWD0000019K3uYAE","","false","false","false","a48WD000001PAlTYAW","","42830253017540857","PCT-00000015","005al00000RVvFOAA1"
"a3rWD000001kazBYAQ","false","false","a1lWD0000019K3mYAE","","false","false","false","a48WD000001PAlRYAW","","42934236837933053","PCT-00000000","005al00000RVvFOAA1"
"a3rWD000001kazPYAQ","false","false","a1lWD0000019K3sYAE","","false","false","false","a48WD000001PAlTYAW","","42961656754603237","PCT-00000014","005al00000RVvFOAA1"
