"Id","IsDeleted","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Remaining__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1WWD000002k68s2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.651364292424185","CLA Simple Budget 2 Template Update","005al00000RVcKvAAL"
"a1WWD000002k59s2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.848738963329156","TrainingBudget","005al00000RVcKvAAL"
"a1WWD000002k5cu2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001222531098921","RS budget 79","005al00000RVcKvAAL"
"a1WWD000002k5h02AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001283967858187","Budget-2","005al00000RVcKvAAL"
"a1WWD000002k51s2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001504730624191","a1WWD000002VOzW","005al00000RVcKvAAL"
"a1WWD000002k4Vh2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001521506762412","CLA Complex Budget 1 Template Update","005al00000RVcKvAAL"
"a1WWD000002k5pQ2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001784070277908","Branch 2-Updated 2","005al00000RVcKvAAL"
"a1WWD000002k5xt2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001917870007671","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k5is2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001949577224985","Sreekar StartUp","005al00000RVcKvAAL"
"a1WWD000002k64b2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002230689537837","a1WWD000002VbDW","005al00000RVcKvAAL"
"a1WWD000002k6Eh2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002263707584064","Residential Development Budget Template","005al00000RVcKvAAL"
"a1WWD000002k4mA2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002467017970348","LLC BI  Budget 001-3b8992","005al00000RVcKvAAL"
"a1WWD000002k67D2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003125084906511","test1","005al00000RVcKvAAL"
"a1WWD000002k62y2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003150998921657","Revenue Budget","005al00000RVcKvAAL"
"a1WWD000002k5bU2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003160427848041","a1WWD000002VbDR","005al00000RVcKvAAL"
"a1WWD000002k6DL2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003202093743175","Residential Construction Template","005al00000RVcKvAAL"
"a1WWD000002k5uQ2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003318215361547","Exc F Source - from VC IT2","005al00000RVcKvAAL"
"a1WWD000002k5q42AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003483141393928","Budget for the Construction of a Walgreens","005al00000RVcKvAAL"
"a1WWD000002k4hO2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003579055072242","Elite budget","005al00000RVcKvAAL"
"a1WWD000002k5mN2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003703762454493","CLA Complex Budget 1 Template7","005al00000RVcKvAAL"
"a1WWD000002k5N12AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003808461101274","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5dv2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004252410373565","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k6BE2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004508283410969","LLC BI  Budget 003-c93a45","005al00000RVcKvAAL"
"a1WWD000002k4Xf2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004570192104474","new 102","005al00000RVcKvAAL"
"a1WWD000002k5Tj2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004726312844685","a1WWD000002VhE6","005al00000RVcKvAAL"
