"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDNfYAO","005al00000RVcKvAAL","false","Collateral","lob-loan-post-collateral2","","LLC_BI__Collateral_2_Management","","","n-icon-collateral","false","nforce__navigation","","","","a0sWD00000Xo7ePYAR","nforce__sub_navigation","lob-loan-post-collateral2","","nforce__topbar","005370332B394716925D7705720C4E01"
"a0mWD000003RDwSYAW","005al00000RVcKvAAL","false","Compliance","post-approval-compliance","","llc_bi__hmda_applicants","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000Xo7kLYAR","nforce__sub_navigation","post-approval-compliance","","nforce__topbar","00581619447513732"
"a0mWD000003RDjSYAW","005al00000RVcKvAAL","false","Authorized Signers","small-business-loan-post-approval-ui-authorized-signers","","llc_bi__multitierinvolvement","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7dGYAR","nFORCE__sub_navigation","retail-loan-ui-application","","nforce__topbar","01761663700623998"
"a0mWD000003RDwTYAW","005al00000RVcKvAAL","false","Fees Summary","post-approval-fees-summary","Lightning Web Component","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7kMYAR","nforce__sub_navigation","post-approval-fees-summary","","nforce__topbar","01981619447513720"
"a0mWD000003RDNhYAO","005al00000RVcKvAAL","false","Order Entry","tm-oe-13deposit-a-13","","nforce__ncdatagrid","","","n-icon-treasury_management","false","nforce__navigation","","","","a0sWD00000Xo7bYYAR","nforce__sub_navigation","","","nforce__topbar","020166758"
"a0mWD000003RDjTYAW","005al00000RVcKvAAL","false","Adverse Actions","small-business-loan-post-approval-ui-adverse-actions","","nforce__ncrelatedlist","","","n-icon-reject","false","nforce__navigation","","readonly=true","","a0sWD00000Xo7cwYAB","nforce__sub_navigation","adverse-actions","","nforce__topbar","02311663700623961"
"a0mWD000003RDNkYAO","005al00000RVcKvAAL","false","Editable Fields","lobloanbooked-editable-fields","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7csYAB","nforce__sub_navigation","lobloanbooked-editable-fields","","nforce__topbar","033B430C1F4D4457A7557D4D4E005742"
"a0mWD000003RDNnYAO","005al00000RVcKvAAL","false","Risk Rating","lob-loan-post-risk-rating","","nforce__ncrelatedlist","","","n-icon-risk_grading","false","nforce__navigation","","readonly=true","","a0sWD00000Xo7cLYAR","nforce__sub_navigation","lob-loan-post-risk-rating","","nforce__topbar","037832003D424C6F8659735B125B7025"
"a0mWD000003RDjUYAW","005al00000RVcKvAAL","false","Collateral Summary","retail-loan-ui-collateral-summary","Visualforce Page","LLC_BI__Collateral_2_Management","This productized route is the retail template for the Collateral Summary route. Users clone this route to reduce configuration and implementation time.","","n-icon-collateral","false","nFORCE__navigation","","","","a0sWD00000Xo7czYAB","nFORCE__sub_navigation","retail-loan-ui-collateral-summary","","nretail__summaryheadertopbar","04151600720267654"
"a0mWD000003RDjVYAW","005al00000RVcKvAAL","false","Fees","retail-loan--post-approval-ui-manage-fees","Visualforce Page","llc_bi__manageloanfees","This productized route is the retail template for the Manage Fees route. Users clone this route to reduce configuration and implementation time.","","n-icon-fees","false","nFORCE__navigation","","","","a0sWD00000Xo7d9YAB","nFORCE__sub_navigation","retail-loan--post-approval-ui-manage-fees","","nforce__topbar","04551602764630875"
