"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a3YDV000000vXJV2A2","false","Accounting Grid (Other)","8825_Amorization_ACCTGRD","8825 Amortization","0058c00000Dk4fdAAB"
"a3YDV000000vXED2A2","false","Accounting Grid (Other)","8825_Depreciation_ACCTGRD","8825 Depreciation","0058c00000Dk4fdAAB"
"a3YDV000000vXEs2AM","false","Accounting Grid (Other)","8825_Interest_ACCTGRD","8825 Interest","0058c00000Dk4fdAAB"
"a3YDV000000vXHM2A2","false","Accounting Grid (Balance Sheet)","AccountsNotes_Rec_LTP_ACCTGRD","Accounts/Notes Rec - LTP","0058c00000Dk4fdAAB"
"a3YDV000000vXGz2AM","false","Accounting Grid (Ratios/Stats)","Accounts_Pay_Days_excl_Depr_ACCTGRD","Accounts Pay Days (excl Depr)","0058c00000Dk4fdAAB"
"a3YDV000000vXE12AM","false","Accounting Grid (Balance Sheet)","Accounts_PayableTrade_ACCTGRD","Accounts Payable-Trade","0058c00000Dk4fdAAB"
"a3YDV000000vXJL2A2","false","Accounting Grid (Ratios/Stats)","Accounts_Payable_Days_ACCTGRD","Accounts Payable Days","0058c00000Dk4fdAAB"
"a3YDV000000vXFM2A2","false","Accounting Grid (Balance Sheet)","Accounts_Rec_Trade_CP_ACCTGRD","Accounts Receivable Trade - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXEx2AM","false","Accounting Grid (Cash Accounting)","Accounts_Receivable_ManualAdjust_ACCTGRD","Accounts Receivable - Manual Adjust","0058c00000Dk4fdAAB"
"a3YDV000000vXEw2AM","false","Accounting Grid (Cash Accounting)","Accrued_Interest_ManualAdjust_ACCTGTD","Accrued Interest - Manual Adjust","0058c00000Dk4fdAAB"
"a3YDV000000vXHj2AM","false","Accounting Grid (Balance Sheet)","Accrued_Payroll_Taxes_ACCTGRD","Accrued Payroll Taxes","0058c00000Dk4fdAAB"
"a3YDV000000vXJT2A2","false","Accounting Grid (Balance Sheet)","Accum_Amort_Impairment_ACCTGRD","Accum Amort & Impairment","0058c00000Dk4fdAAB"
"a3YDV000000vXDy2AM","false","Accounting Grid (Balance Sheet)","Accum_Deprec_Impairment_ACCTGRD","Accum Deprec & Impairment","0058c00000Dk4fdAAB"
"a3YDV000000vXIP2A2","false","Accounting Grid (Balance Sheet)","Accumulated_OCI_ACCTGRD","Accumulated OCI","0058c00000Dk4fdAAB"
"a3YDV000000vXGh2AM","false","Accounting Grid (Other)","Adj_to_Retained_Earn_Accounting_Change_ACCTGRD","Adj to Retained Earn. - Accounting Change","0058c00000Dk4fdAAB"
"a3YDV000000vXGg2AM","false","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_ACCTGRD","Adj to Retained Earn. - Dividends","0058c00000Dk4fdAAB"
"a3YDV000000vXHd2AM","false","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_Stock_ACCTGRD","Adj to Retained Earn. - Dividends - Stock","0058c00000Dk4fdAAB"
"a3YDV000000vXGj2AM","false","Accounting Grid (Other)","Adj_to_Retained_Earn_Other_Change_ACCTGRD","Adj to Retained Earn. -Â  Other Change","0058c00000Dk4fdAAB"
"a3YDV000000vXGi2AM","false","Accounting Grid (Other)","Adj_to_Retained_Earn_Prior_Period_Adj_ACCTGRD","Adj to Retained Earn. - Prior Period Adj","0058c00000Dk4fdAAB"
