"Id","IsDeleted","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c","Name"
"a3gDV000000mjl8YAA","false","a3YDV000000vWfc2AE","a16DV000006IRj8YAG","42007096081095741","NetSales"
"a3gDV000000mjlgYAA","false","a3YDV000000vXK82AM","a16DV000006R4UeYAK","42054249331488447","a5ybn000000LSMs"
"a3gDV000000mjlWYAQ","false","a3YDV000000vXKA2A2","a16DV000006R4P3YAK","42063360465787223","a5ybn000000LSMz"
"a3gDV000000mjlbYAA","false","a3YDV000000vXK82AM","a16DV000006R4SLYA0","42101570617713476","a5ybn000000LSOk"
"a3gDV000000mjldYAA","false","a3YDV000000vXKA2A2","a16DV000006R4T8YAK","42156343681450188","a5ybn000000LSMz"
"a3gDV000000mjliYAA","false","a3YDV000000vXKA2A2","a16DV000006R4WSYA0","42188174937398631","a5ybn000000LSPK"
"a3gDV000000mjlVYAQ","false","a3YDV000000vXK82AM","a16DV000006R4OoYAK","42211072080005517","a5ybn000000LSMs"
"a3gDV000000mjlAYAQ","false","a3YDV000000vWfc2AE","a16DV000006IRnzYAG","42245541418561162","NetSales"
"a3gDV000000mjlhYAA","false","a3YDV000000vXKA2A2","a16DV000006R4UtYAK","42252258514286011","a5ybn000000LSMz"
"a3gDV000000mjl9YAA","false","a3YDV000000vWfd2AE","a16DV000006IRjhYAG","42390949963376248","TotalAssets"
"a3gDV000000mjlfYAA","false","a3YDV000000vXK82AM","a16DV000006R4XyYAK","42403514941770922","a5ybn000000LSPU"
"a3gDV000000mjlBYAQ","false","a3YDV000000vWfd2AE","a16DV000006IRoZYAW","42436098526762329","TotalAssets"
"a3gDV000000mjlXYAQ","false","a3YDV000000vXK92AM","a16DV000006R4OXYA0","42498366073153571","a3kbn000000CnQ5"
"a3gDV000000mjlYYAQ","false","a3YDV000000vXK82AM","a16DV000006R4NgYAK","42601169370435622","a5ybn000000LSNN"
"a3gDV000000mjlUYAQ","false","a3YDV000000vXKB2A2","a16DV000006R4NOYA0","42686664441723919","a5ybn000000LSMY"
"a3gDV000000mjlTYAQ","false","a3YDV000000vXKA2A2","a16DV000006R4NDYA0","42707039794917905","a5ybn000000LSMQ"
"a3gDV000000mjlSYAQ","false","a3YDV000000vXK82AM","a16DV000006R4N1YAK","42725551126555846","a5ybn000000LSMK"
"a3gDV000000mjlaYAA","false","a3YDV000000vXKA2A2","a16DV000006R4RwYAK","42726839451644150","a5ybn000000LSOa"
"a3gDV000000mjleYAA","false","a3YDV000000vXKA2A2","a16DV000006R4XdYAK","42812164929977448","a5ybn000000LSPK"
"a3gDV000000mjlcYAA","false","a3YDV000000vXK82AM","a16DV000006R4SoYAK","42864005960649409","a5ybn000000LSMs"
"a3gDV000000mjlZYAQ","false","a3YDV000000vXKA2A2","a16DV000006R4NwYAK","42918256480688572","a5ybn000000LSNU"
"a3gDV000000mjljYAA","false","a3YDV000000vXK82AM","a16DV000006R4WfYAK","42932715326669137","a5ybn000000LSPU"
