"Id","IsDeleted","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Spread_Statement_Type__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","Name"
"a16DV000006R4NbYAK","false","","false","","Financial","false","false","false","true","false","false","false","","","","8.75","false","","a19DV000002qH1jYAE","Growing Crops Change","Standard","016d2a8e-3f2d-4544-9f3f-3f28825f9603","Growing Crops - Total Adj."
"a16DV000006IRlwYAG","false","","false","None","Financial","false","false","false","false","false","false","false","","","","595.0","false","","a19DV000002V1nhYAC","(A) UCA CFC (PP CPLTD) Denom","Standard","030cb269-8379-425d-8c69-4e4dd54d91ed","(A) UCA CFC (PP CPLTD) Denom"
"a16DV000006IRkyYAG","false","","false","None","Financial","false","true","false","true","false","false","false","","","","130.0","false","","a19DV000002V1neYAC","Profitability:","Standard","05008c24-3ea9-4960-9e73-e711d5809724","Profitability:"
"a16DV000006IRlsYAG","false","","false","None","Financial","false","true","false","true","false","false","false","","","","120.0","false","","a19DV000002V1nhYAC","LIQUIDITY","Standard","056360c4-bf7f-4c3a-b12a-37a28b33edda","LIQUIDITY"
"a16DV000006R4NdYAK","false","","false","","Financial","false","false","false","true","false","false","false","","","","9.6875","false","","a19DV000002qH1jYAE","Livestock Inventory Change","Standard","08a5945f-4709-433b-b1ec-56425a7efa3b","Livestock Inventory - Total Adj."
"a16DV000006IRkoYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","50.0","false","","a19DV000002V1ngYAC","Pro Forma Debt Service","Standard","0f010e3f-47af-4ae4-bb86-24b2be2de1e3","Total Pro Forma DS"
"a16DV000006IRkvYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","90.0","false","","a19DV000002V1neYAC","Provision for Taxes","Standard","115a9ea3-c319-4d24-9835-27982152a289","Total Provision for Taxes"
"a16DV000006IRm6YAG","false","","false","None","Decimal","false","false","false","false","false","false","false","","","","650.0","false","","a19DV000002V1nhYAC","(A) Accounts Payable Days","Standard","1ca3630d-ef7c-4297-a058-70a5287c3495","(A) Accounts Payable Days"
"a16DV000006R4OAYA0","false","","false","","Financial","false","false","false","true","false","false","false","","","","9.990234375","false","","a19DV000002qH1jYAE","Accounts Payable Change","Standard","27517c44-e256-4580-9e53-d2b1920e0317","Accounts Payable - Total Adjust"
"a16DV000006IRk6YAG","false","","false","None","Financial","false","true","false","true","false","false","true","","","","610.0","false","","a19DV000002V1nNYAS","Net Worth Values","Standard","2926faff-840a-433a-a4c5-435c9fe07347","Net Worth Values"
