"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c","Name","OwnerId"
"","a1GDV000008GH8G2AW","false","Use this Template for Tax Return Spreading only. 1120 S-Corp with 8825 Schedule and Debt Schedule 2023","","false","false","true","","","$","false","","","","00000103_1748_4885","1120 S Corp Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH7L2AW","false","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage)","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000112_8380_4274","Commercial Real Estate Analysis (FLEX) w Schedules (No Rent Roll in Sch. in NOI)","0058c00000BxeO9AAJ"
"","a1GDV000008GH7M2AW","false","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Nov.  2022 Updates by Adam Mann","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000115_B857_4507","Commercial Real Estate Analysis (FLEX) w Schedules/Rent Roll to Calc PGI/WALE","0058c00000BxeO9AAJ"
"","a1GDV000008GH8J2AW","false","Commercial Template with Complex Balance Sheet Layout (FLEX) w. Debt Schedule. PSO Master 2023","","false","false","true","","","$","true","","","","00000128_A8AC_4419","Complex Commercial","0058c00000Dk4fdAAB"
"","a1GDV000008GH8F2AW","false","Individual Template with abbreviated Cash Flow Schedules. Final.","","false","false","true","","","$","false","","","","00000131_86CD_4675","Individual with Cash Flow Schedules","0058c00000Dk4fdAAB"
"","a1GDV000008GH7K2AW","false","Use this template for Hotel Property Analysis.","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","00000135_484F_4128","Hotel Analysis Template (FLEX) w Schedules/Star Report Group","0058c00000BxeO9AAJ"
"","a1GDV000008GH8L2AW","false","Use this Template for Tax Return Spreading only. 1065 Partnership with 8825 Schedule and Debt Schedule 2023","","false","false","true","","","$","false","","","","00000142_4AAC_4737","1065 Partnership Spreads Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH8H2AW","false","Individual FLEX Template Full Schedules","","false","false","true","","","$","false","","","","0000014F_5587_4584","Individual with Full Schedules","0058c00000Dk4fdAAB"
"","a1GDV000008GH8K2AW","false","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Final for PSO Master May 2023","","false","false","true","","LLC_BI__Collateral__c","$","true","","","","00000150_0CC9_4520","Commercial Real Estate Analysis (FLEX)","0058c00000Dk4fdAAB"
"","a1GDV000008GH8E2AW","false","Agriculture Template with Schedules","","false","false","true","","","$","true","","","","00000151_9138_4416","Agriculture Owner/Operator Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH7N2AW","false","FBB Changes as of 01.27.23 w/OER formulas","","false","false","true","","","$","false","","","","0000015E_7772_4136","Agriculture  - Owner/Operator (FLEX) w Schedules 01.27.23","0058c00000BxeO9AAJ"
"","a1GDV000008GH8I2AW","false","Small Business Precision Template (FLEX). PSO Master 2023","","false","false","true","","","$","false","","","","00000171_E3B8_4847","Small Business","0058c00000Dk4fdAAB"
"","a1GDV000008GH7I2AW","false","11.14.22 updates","","false","false","true","","","m","true","a1GDV000008GH7H2AW","","","00000182_9736_4321","International Template","0058c00000BxeO9AAJ"
"","a1GDV000008GH722AG","false","Use this template for hotel property analysis.","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","04C882A0_6426_4F59","Hotel Analysis Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH772AG","false","A one for one mapping for the nCino Commercial Spreads Template","","true","false","true","","","$","false","","","","07303210_0F01_4E63","Commercial Consolidations Template","0058c00000BxeO9AAJ"
"","a1GDV000008GH792AG","false","A one for one mapping for the nCino Small Business Spreads Template","","true","false","true","","","$","false","","","","09111510_1052_4B29","Small Business Consolidations Template","0058c00000BxeO9AAJ"
"","a1GDV000008GH7F2AW","false","Precision owner/operator agriculture operations FLEX Template with I/S and B/S Schedules. 3 Approaches to Net Worth Recon and Detailed Cash Flow Analysis on Cash Income Statement.","","false","false","true","","","$","false","","","","1154051C_536E_4A37","Agriculture  - Owner/Operator (FLEX) - with Schedules","0058c00000BxeO9AAJ"
"","a1GDV000008GH702AG","false","Use this template for Individual Tax and Personal Financials","","false","false","true","","","$","false","","","","164D401A_5907_4F65","Individual","0058c00000BxeO9AAJ"
"","a1GDV000008GH7A2AW","false","Individual Template (FLEX)","","false","false","true","","","$","false","","","","1755293B_6724_4570","Individual (FLEX)","0058c00000Dk4fdAAB"
"","a1GDV000008GH782AG","false","A one for one mapping for the nCino Individual Spreads Template","","true","false","true","","","$","false","","","","1D6E5D4C_0D0E_495A","Individual Consolidations Template","0058c00000BxeO9AAJ"
"","a1GDV000008GH7H2AW","false","13 July 2022 updates","","false","false","true","","","m","true","","","","281E7921_3147_4A68","Comerica International Template","0058c00000BxeO9AAJ"
"","a1GDV000008GH7E2AW","false","11 October 2022 WIP","","false","false","true","","","$","false","","","","28255C1A_440B_4422","BOC Individual Schedules 1.0 DRAFT","0058c00000BxeO9AAJ"
"","a1GDV000008GH7G2AW","false","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage) Updated 7.22","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","2D610413_3230_4B77","Commercial Real Estate Analysis (FLEX) V2","0058c00000BxeO9AAJ"
"","a1GDV000008GH7D2AW","false","Commercial Template with Complex Balance Sheet Layout (FLEX)","","false","false","true","","","$","true","","","","31186C31_3F7C_486E","Complex Commercial FLEX","0058c00000Dk4fdAAB"
"","a1GDV000008GH742AG","false","Use this template for residential real estate analysis.","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","3D1931A5_41B2_4748","Residential Real Estate Analysis Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH7J2AW","false","Layout for the Precision Non-Profit General FLEX Template","","false","false","true","","","$","false","","","","42227396482344619","Non-Profit General (FLEX)","0058c00000BxeO9AAJ"
"","a1GDV000008GH7P2AW","false","QA Test","","false","false","true","","","$","false","","","","42452952873750038","QA-UR-Bundle-1209-001","0058c00000BxeO9AAJ"
"","a1GDV000008GH7B2AW","false","Small Business Precision Template (FLEX)","","false","false","true","","","$","false","","","","4D525D4A_264E_4536","Small Business (FLEX)","0058c00000Dk4fdAAB"
"","a1GDV000008GH712AG","false","Use this template for Business Commercial Business","","false","false","true","","","$","false","","","","550A3614_2A4E_4D76","Commercial","0058c00000BxeO9AAJ"
"","a1GDV000008GH7C2AW","false","Commercial  Precision Template with Simple Balance Sheet Layout (FLEX)","","false","false","true","","","$","false","","","","573E2A37_4400_4124","Commercial (FLEX)","0058c00000Dk4fdAAB"
"","a1GDV000008GH762AG","false","Use this template for Business Banking/Small Business","","false","false","true","","","$","false","","","","69007C63_783E_4412","Small Business","0058c00000BxeO9AAJ"
"","a1GDV000008GH732AG","false","Use this template for properties that have multiple types of tenants (commercial, residential, etc).","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","9BF2496F_E6FD_4E11","Mixed-Use Property Analysis Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH752AG","false","Use this template for retail real estate analysis.","","false","false","true","","LLC_BI__Collateral__c","$","false","","","","C6C30EDB_4294_4FA7","Retail Real Estate Analysis Template","0058c00000Dk4fdAAB"
"","a1GDV000008GH7O2AW","false","","","false","false","true","","","$","false","","","","a1G8c00001C2UOn","Schedule Bundle","0058c00000BxeO9AAJ"
