"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3Ybn0000004xJrEAI","005bn000003k2JdAAI","","8825 Amortization","Accounting Grid (Other)","8825_Amorization_ACCTGRD"
"a3Ybn0000004xDCEAY","005bn000003k2JdAAI","","8825 Depreciation","Accounting Grid (Other)","8825_Depreciation_ACCTGRD"
"a3Ybn0000004xEDEAY","005bn000003k2JdAAI","","8825 Interest","Accounting Grid (Other)","8825_Interest_ACCTGRD"
"a3Ybn0000004xLbEAI","005bn000003k2JdAAI","","8825 Net Rental RE Income","Accounting Grid (Other)","8825_Net_Rental_RE_Income_ACCTGRD"
"a3Ybn0000004xLaEAI","005bn000003k2JdAAI","","8825 Total Expenses","Accounting Grid (Other)","8825_Total_Expenses_ACCTGRD"
"a3Ybn0000004xLZEAY","005bn000003k2JdAAI","","8825 Total Gross Rents","Accounting Grid (Other)","8825_Total_Gross_Rents_ACCTGRD"
"a3Ybn0000004xHXEAY","005bn000003k2JdAAI","","Accounts/Notes Rec - LTP","Accounting Grid (Balance Sheet)","AccountsNotes_Rec_LTP_ACCTGRD"
"a3Ybn0000004xKbEAI","005bn000003k2JdAAI","","Accounts Receivable Total Adjust.","Accounting Grid (AG Owner Operator)","AccountsReceivable_TotalAdjust_ACCTGRD"
"a3Ybn0000004xH4EAI","005bn000003k2JdAAI","","Accounts Pay Days (excl Depr)","Accounting Grid (Ratios/Stats)","Accounts_Pay_Days_excl_Depr_ACCTGRD"
"a3Ybn0000004xCyEAI","005bn000003k2JdAAI","","Accounts Payable-Trade","Accounting Grid (Balance Sheet)","Accounts_PayableTrade_ACCTGRD"
"a3Ybn0000004xJfEAI","005bn000003k2JdAAI","","Accounts Payable Days","Accounting Grid (Ratios/Stats)","Accounts_Payable_Days_ACCTGRD"
"a3Ybn0000004xECEAY","005bn000003k2JdAAI","","Accounts Payable - Manual Adjust","Accounting Grid (Cash Accounting)","Accounts_Payable_ManualAdjust_ACCTGRD"
"a3Ybn0000004xMyEAI","005bn000003k2JdAAI","","Accounts Payable Total Adjust.","Accounting Grid (AG Owner Operator)","Accounts_Payable_TotalAdjust_ACCTGRD"
"a3Ybn0000004xFIEAY","005bn000003k2JdAAI","","Accounts Receivable Trade - CP","Accounting Grid (Balance Sheet)","Accounts_Rec_Trade_CP_ACCTGRD"
"a3Ybn0000004xEtEAI","005bn000003k2JdAAI","","Accounts Receivable - Manual Adjust","Accounting Grid (Cash Accounting)","Accounts_Receivable_ManualAdjust_ACCTGRD"
"a3Ybn0000004xLAEAY","005bn000003k2JdAAI","","Accrual Cash Avail for Debt Service","Accounting Grid (AG Accrual Income Statement)","Accrual_Cash_Avail_for_Debt_Service_ACCTGRD"
"a3Ybn0000004xKdEAI","005bn000003k2JdAAI","","Accrued Interest Total Adjust.","Accounting Grid (AG Owner Operator)","AccruedInterest_TotalAdjust_ACCTGRD"
"a3Ybn0000004xEsEAI","005bn000003k2JdAAI","","Accrued Interest - Manual Adjust","Accounting Grid (Cash Accounting)","Accrued_Interest_ManualAdjust_ACCTGTD"
"a3Ybn0000004xHwEAI","005bn000003k2JdAAI","","Accrued Payroll Taxes","Accounting Grid (Balance Sheet)","Accrued_Payroll_Taxes_ACCTGRD"
"a3Ybn0000004xJpEAI","005bn000003k2JdAAI","","Accum Amort & Impairment","Accounting Grid (Balance Sheet)","Accum_Amort_Impairment_ACCTGRD"
"a3Ybn0000004xCtEAI","005bn000003k2JdAAI","","Accum Deprec & Impairment","Accounting Grid (Balance Sheet)","Accum_Deprec_Impairment_ACCTGRD"
"a3Ybn0000004xIeEAI","005bn000003k2JdAAI","","Accumulated OCI","Accounting Grid (Balance Sheet)","Accumulated_OCI_ACCTGRD"
"a3Ybn0000004xGgEAI","005bn000003k2JdAAI","","Adj to Retained Earn. - Accounting Change","Accounting Grid (Other)","Adj_to_Retained_Earn_Accounting_Change_ACCTGRD"
"a3Ybn0000004xGfEAI","005bn000003k2JdAAI","","Adj to Retained Earn. - Dividends","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_ACCTGRD"
"a3Ybn0000004xHoEAI","005bn000003k2JdAAI","","Adj to Retained Earn. - Dividends - Stock","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_Stock_ACCTGRD"
