"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWD000002hC9j2AE","005al00000RVvFOAA1","false","Commercial Accelerate Loan","","comm-accel-loan","","false","","false","false","","","","comm-accel-loan","12091615577844223","","","","",""
"a0XWD000002hC9q2AE","005al00000RVvFOAA1","false","Small Business Loan Online Application","","small-business-loan-online-application","Online Application","false","","false","false","","","","portal-sbloan","41241666029060795","","","","",""
"a0XWD000002hCCj2AM","005al00000RVvFOAA1","false","MASTER-Loan","","m-loan","","false","","false","false","","","","m-loan","42044771180104939","Used in the Loan object's Commercial Workspace flexipage. Displays during Loan Stages before Approval.","","","",""
"a0XWD000002hCCk2AM","005al00000RVvFOAA1","false","Memo","","memo","","false","","false","false","","","","memo","42064981524503220","","","","",""
"a0XWD000002hC9z2AE","005al00000RVvFOAA1","false","Relationship - Individual","","relationship-individual","","false","","false","false","","","","relationship-individual","42074912432256224","","","","",""
"a0XWD000002hCCl2AM","005al00000RVvFOAA1","false","Deposit Product Details Maintenance","","dep-pm-details","","false","","false","false","","","","dep-pm-details","42075960643920713","","","","",""
"a0XWD000002hCCm2AM","005al00000RVvFOAA1","false","HVCRE","","HVCRE","","false","","false","true","","","","","42088290342052409","Used in the Compliance Route in the Loan UI","","","",""
"a0XWD000002hCCn2AM","005al00000RVvFOAA1","false","Deposit Product Creation","","dep-pc","","false","","false","false","","","","dep-pc","42103181906180590","","","","",""
"a0XWD000002hCA22AM","005al00000RVvFOAA1","false","DAO-Individual-KYC","Individual Account","dao-ind-kyc","null","false","null","false","true","","","","dao-ind-kyc","42109377760315962","null","","","",""
"a0XWD000002hCA92AM","005al00000RVvFOAA1","false","Secured Small Business Loan Application","","portal-sbl-secured","","false","","false","false","","","","portal-sbl-secured","42144815564389495","","","","",""
"a0XWD000002hCCo2AM","005al00000RVvFOAA1","false","Deposit Ancillary Services Maintenance","","dep-pm-ancillary-services","","false","","false","false","","","","dep-pm-ancillary-services","42154253801321945","","","","",""
"a0XWD000002hCHi2AM","005al00000RVvFOAA1","false","Retail Loan ADD","","","","false","","false","true","","","","","42161599347242956","","","","",""
"a0XWD000002hCCp2AM","005al00000RVvFOAA1","false","HMDA Questionnaire","","HMDA-questionnaire","","false","","false","true","","","","","42198546854157256","Used in the Compliance Route in the Loan UI","","","",""
"a0XWD000002hCCq2AM","005al00000RVvFOAA1","false","Deposit Product Maintenance","","dep-pm","","false","","false","false","","","","dep-pm","42226489752753856","","","","",""
"a0XWD000002hCAP2A2","005al00000RVvFOAA1","false","Relationship - Business","","relationship-business","","false","","false","false","","","","relationship-business","42245014383349897","","","","",""
"a0XWD000002hCAQ2A2","005al00000RVvFOAA1","false","ODAO- Business KYC","Business Account","odao-bus-kyc","null","false","null","false","true","","","","odao-bus-kyc","42245829912861432","null","","","",""
"a0XWD000002hCCr2AM","005al00000RVvFOAA1","false","Individual KYC","","","","false","","false","true","","","","","42245838511199639","","","","",""
"a0XWD000002hCAS2A2","005al00000RVvFOAA1","false","zzzSession (Not Used) - Unsecured Line of Credit","","loc","","false","","false","false","","","","loc","42260030052001085","Packaged - Do not use as this is not maintained (Summer 19)","","","",""
"a0XWD000002hCCs2AM","005al00000RVvFOAA1","false","MASTER-Relationship","","master-relationship","","false","","false","false","","","","master-relationship","42261562008922327","Used in the ""Products and Services"" tab in the Relationship Layout Flexipage","","","",""
"a0XWD000002hCAT2A2","005al00000RVvFOAA1","false","Deposit Online Application (Individual)","Deposit","portal-dep-odao","Online Application","false","","false","false","a0bWD0000011L6rYAE","","","portal-dep-odao","42263871326145242","","","","",""
"a0XWD000002hCAV2A2","005al00000RVvFOAA1","false","ACH Origination","","tmmg-Treasury00-00","","false","","false","false","","","a0sWD00000Xo7mHYAR","tmmg-Treasury00-00","42266445183227207","","","","",""
"a0XWD000002hCAZ2A2","005al00000RVvFOAA1","false","zzzMASTER-Loan - SBA","","m-sba","","false","","false","false","","","","m-sba","42298379943381721","PSO Clone - Not Used","","","",""
"a0XWD000002hCAe2AM","005al00000RVvFOAA1","false","zzzMASTER-Loan - Construction","","m-construction","","false","","false","false","","","","m-construction","42321562673586733","PSO Clone - Not Used","","","",""
"a0XWD000002hCI12AM","005al00000RVvFOAA1","false","Treasury Service Maintenance","","treasury-service-maintenance","","false","","false","false","","","a0sWD00000Xo7jBYAR","treasury-service-maintenance","42328704188845287","","","","",""
