"Id","OwnerId","IsDeleted","Name","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c"
"a4DKU00000003y62AA","0058c00000BxeO9AAJ","false","ETI-000000411","00X3g000000QlqH","Account Document Assigned - Bulk","a4FKU0000004mT32AI","a4o3g000000k9wvAAA"
"a4DKU00000003xf2AA","0058c00000BxeO9AAJ","false","ETI-000000384","00X3g000000QlqIEAS","Account Document Rejected-arun","a4FKU0000004mT32AI","a4o3g000000k9wwAAA"
"a4DKU00000003xg2AA","0058c00000BxeO9AAJ","false","ETI-000000385","00X3g000000QlqJ","Borrower Added (Existing)","a4FKU0000004mT32AI","a4o3g000000k9wxAAA"
"a4DKU00000003xh2AA","0058c00000BxeO9AAJ","false","ETI-000000386","00X3g000000QlqK","Borrower Added (New)","a4FKU0000004mT32AI","a4o3g000000k9wyAAA"
"a4DKU00000003xm2AA","0058c00000BxeO9AAJ","false","ETI-000000391","00X3g000000QlqL","Co-Owner Added (Existing)","a4FKU0000004mT32AI","a4o3g000000k9wzAAA"
"a4DKU00000003xi2AA","0058c00000BxeO9AAJ","false","ETI-000000387","00X3g000000QlqM","Co-Owner Added (New)","a4FKU0000004mT32AI","a4o3g000000k9x0AAA"
"a4DKU00000003xj2AA","0058c00000BxeO9AAJ","false","ETI-000000388","00X3g000000QlqO","Deposit Documents Assigned","a4FKU0000004mT32AI","a4o3g000000k9x1AAA"
"a4DKU00000003xk2AA","0058c00000BxeO9AAJ","false","ETI-000000389","00X3g000000QlqN","Deposit Document Rejected","a4FKU0000004mT32AI","a4o3g000000k9x2AAA"
"a4DKU00000003xl2AA","0058c00000BxeO9AAJ","false","ETI-000000390","00X3g000000Qlq3","Guarantor Added (Existing)","a4FKU0000004mT32AI","a4o3g000000k9x3AAA"
"a4DKU00000003xn2AA","0058c00000BxeO9AAJ","false","ETI-000000392","00X3g000000Qlq4","Guarantor Added (New)","a4FKU0000004mT32AI","a4o3g000000k9x4AAA"
"a4DKU00000003xo2AA","0058c00000BxeO9AAJ","false","ETI-000000393","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a4FKU0000004mT32AI","a4o3g000000k9x5AAA"
"a4DKU00000003xp2AA","0058c00000BxeO9AAJ","false","ETI-000000394","00X3g000000QlqP","Loan Document Rejected Email","a4FKU0000004mT32AI","a4o3g000000k9x6AAA"
"a4DKU00000003xw2AA","0058c00000BxeO9AAJ","false","ETI-000000401","00X3g000000QlqD","Save and Continue","a4FKU0000004mT32AI","a4o3g000000k9x7AAA"
"a4DKU00000003y52AA","0058c00000BxeO9AAJ","false","ETI-000000410","00X4T000000GTs7","null","a4FKU0000004mT32AI","dth56htrshrh5"
