"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c"
"a2gWD000006rVbuYAE","005al00000RVcKvAAL","false","ETI-000000023","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqH","Account Document Assigned - Bulk","a31WD0000028089YAA","a4o3g000000k9wvAAA"
"a2gWD000006rVbhYAE","005al00000RVcKvAAL","false","ETI-000000010","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqIEAS","Account Document Rejected-arun","a31WD0000028089YAA","a4o3g000000k9wwAAA"
"a2gWD000006rVbiYAE","005al00000RVcKvAAL","false","ETI-000000011","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqJ","Borrower Added (Existing)","a31WD0000028089YAA","a4o3g000000k9wxAAA"
"a2gWD000006rVbjYAE","005al00000RVcKvAAL","false","ETI-000000012","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqK","Borrower Added (New)","a31WD0000028089YAA","a4o3g000000k9wyAAA"
"a2gWD000006rVboYAE","005al00000RVcKvAAL","false","ETI-000000017","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqL","Co-Owner Added (Existing)","a31WD0000028089YAA","a4o3g000000k9wzAAA"
"a2gWD000006rVbkYAE","005al00000RVcKvAAL","false","ETI-000000013","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqM","Co-Owner Added (New)","a31WD0000028089YAA","a4o3g000000k9x0AAA"
"a2gWD000006rVblYAE","005al00000RVcKvAAL","false","ETI-000000014","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqO","Deposit Documents Assigned","a31WD0000028089YAA","a4o3g000000k9x1AAA"
"a2gWD000006rVbmYAE","005al00000RVcKvAAL","false","ETI-000000015","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqN","Deposit Document Rejected","a31WD0000028089YAA","a4o3g000000k9x2AAA"
"a2gWD000006rVbnYAE","005al00000RVcKvAAL","false","ETI-000000016","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000Qlq3","Guarantor Added (Existing)","a31WD0000028089YAA","a4o3g000000k9x3AAA"
"a2gWD000006rVbpYAE","005al00000RVcKvAAL","false","ETI-000000018","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000Qlq4","Guarantor Added (New)","a31WD0000028089YAA","a4o3g000000k9x4AAA"
"a2gWD000006rVbqYAE","005al00000RVcKvAAL","false","ETI-000000019","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a31WD0000028089YAA","a4o3g000000k9x5AAA"
"a2gWD000006rVbrYAE","005al00000RVcKvAAL","false","ETI-000000020","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqP","Loan Document Rejected Email","a31WD0000028089YAA","a4o3g000000k9x6AAA"
"a2gWD000006rVbsYAE","005al00000RVcKvAAL","false","ETI-000000021","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X3g000000QlqD","Save and Continue","a31WD0000028089YAA","a4o3g000000k9x7AAA"
"a2gWD000006rVbtYAE","005al00000RVcKvAAL","false","ETI-000000022","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-07-21T06:08:45.000Z","005al00000RVvFOAA1","2026-07-21T06:08:45.000Z","00X4T000000GTs7","null","a31WD0000028089YAA","dth56htrshrh5"
