"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD000005tIcZ2AU","false","CLA-BD-0001798","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGk2AM","","Hard cost","Landscaping","","250.0","","","","","02eswj73js99umg1vc","0.0","","0.0","0.0"
"a1UWD000005tIca2AE","false","CLA-BD-0001799","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGm2AM","","Hard cost","Gutters and Downspouts","","140.0","","","","","077la94tgch2xw1r50","0.0","","","0.0"
"a1UWD000005tIcb2AE","false","CLA-BD-0001800","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGn2AM","1200.0","Soft cost","Permits / Fees","","10.0","","","","","07iktk76gpjzem8txw","0.0","100.0","","1200.0"
"a1UWD000005tIcc2AE","false","CLA-BD-0001801","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iGxq2AE","","Hard cost","Shingles","","211.0","","","","","0ac6h743h6ur16ecqu","0.0","","","0.0"
"a1UWD000005tIcd2AE","false","CLA-BD-0001802","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iGxp2AE","","","Stairs","","110.0","","","","","0cb3l7aexh2jummpbu","0.0","","0.0","0.0"
"a1UWD000005tIce2AE","false","CLA-BD-0001803","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGm2AM","850.0","Soft cost","Surveys","","11.0","","","","","0dspxzlayab0a1vv0r","0.0","100.0","","850.0"
"a1UWD000005tIcf2AE","false","CLA-BD-0001804","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGk2AM","","Soft cost","Bonds & Insurance","","6.0","","","","","0k1rh0jhewymbgej1e","0.0","","0.0","0.0"
"a1UWD000005tIcg2AE","false","CLA-BD-0001805","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iGxb2AE","","","Water Pump","","80.0","","","","","0kifxe0sc23zfovsyq","0.0","","","0.0"
"a1UWD000005tIch2AE","false","CLA-BD-0001806","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iGxp2AE","","","Steel","","50.0","","","","","0m3h6jm084u88tpgvr","0.0","","0.0","0.0"
"a1UWD000005tIci2AE","false","CLA-BD-0001807","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","005al00000RVvFOAA1","2026-07-20T18:19:11.000Z","","","","a1WWD000002iFGl2AM","5000.0","Soft cost","Commission & Fees","","510.0","","","","","0pwhz9wi5tosx4s61j","0.0","100.0","","5000.0"
