"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c"
"a1WWD000002iH0n2AE","005al00000RVcKvAAL","false","LLC BI  Budget 001-3b8992","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","FE15428229","","Automated credit analysis and risk assessment parameters","true","false","477.34","684.61","431.24","417.56","354.75","27.21","415.89","42005505772755189","158.7538","96.8278","82.2628","6.3097","-107.5179","-58.7538","96.4405","-463.66","-253.37"
"a1WWD000002iH452AE","005al00000RVcKvAAL","false","a1WWD000002Vb0a","2026-07-20T18:18:11.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","005al00000RVvFOAA1","2026-07-20T18:18:35.000Z","","","","","a1WWD000002iH2d2AE","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013481852284536","","","","","","","","0.0","0.0"
"a1WWD000002iH5s2AE","005al00000RVvFOAA1","false","nov24","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","","this is a description from me","true","false","0.0","4532.0","213.0","0.0","0.0","0.0","0.0","42015382099793331","2127.6995","0.0","0.0","0.0","100.0","-2027.6995","0.0","213.0","-4319.0"
"a1WWD000002iGw02AE","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-07-20T18:18:05.000Z","005al00000RVvFOAA1","2026-07-20T18:18:28.000Z","005al00000RVvFOAA1","2026-07-20T18:18:28.000Z","","","","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42021036359002676","","","","","","","","0.0","0.0"
"a1WWD000002iH5t2AE","005al00000RVvFOAA1","false","RS budget 65","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","","","true","false","0.0","634.0","0.0","763.0","0.0","0.0","0.0","42024469346205912","","","","","","","","-763.0","-634.0"
"a1WWD000002iH5n2AE","005al00000RVcKvAAL","false","a1WWD000002VhFi","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","005al00000RVvFOAA1","2026-07-20T18:18:36.000Z","","","","","a1WWD000002iH5d2AE","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42026726401074624","","","","","","","","0.0","0.0"
"a1WWD000002iH7Y2AU","005al00000RVvFOAA1","false","Budgets-05","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","005al00000RVvFOAA1","2026-07-20T18:18:37.000Z","","","","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42041988819572484","","","","","","","","0.0","0.0"
"a1WWD000002iH0u2AE","005al00000RVcKvAAL","false","LLC BI  Budget 008-248f83","2026-07-20T18:18:10.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","005al00000RVvFOAA1","2026-07-20T18:18:33.000Z","","","","RQ82991954","","Approval routing and delegation authority configuration","true","false","414.65","757.77","945.99","493.76","54.85","339.25","848.86","42051585902899248","80.1034","52.1951","5.7982","35.8619","3.9726","19.8966","89.7324","37.58","188.22"
"a1WWD000002iH5e2AE","005al00000RVcKvAAL","false","a1WWD000002VhE7","2026-07-20T18:18:13.000Z","005al00000RVvFOAA1","2026-07-20T18:21:00.000Z","005al00000RVvFOAA1","2026-07-20T18:21:00.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42052679731092714","","","","","","","","0.0","0.0"
"a1WWD000002iGzS2AU","005al00000RVvFOAA1","false","NcinoRecord-01","2026-07-20T18:18:07.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","005al00000RVvFOAA1","2026-07-20T18:18:30.000Z","","","","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42056301407591363","","","","","","","","0.0","0.0"
