"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a1nbn000001OLhKAAW","005bn000003k2JdAAI","","Loan Assistant","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","42146639854510830"
"a4eWD000000rMvGYAU","005al00000RVcKvAAL","false","Borrower","2026-06-26T14:41:36.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","","","","Primary borrower responsible for the loan obligation","","ROLE_BRW01"
"a4eWD000000rMvIYAU","005al00000RVcKvAAL","false","Co-Borrower","2026-06-26T14:41:36.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","","","","Secondary borrower sharing responsibility for the loan","","ROLE_CBR03"
"a4eWD000000rMvJYAU","005al00000RVcKvAAL","false","Collateral Owner","2026-06-26T14:41:36.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","","","","Owner of collateral pledged against the credit facility","","ROLE_COW04"
"a4eWD000000rMvHYAU","005al00000RVcKvAAL","false","Guarantor","2026-06-26T14:41:36.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","","","","Individual or entity guaranteeing repayment of the loan","","ROLE_GRT02"
"a4eWD000000rMvFYAU","005al00000RVcKvAAL","false","Trustee","2026-06-26T14:41:36.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","005al00000RVcKvAAL","2026-06-26T15:58:45.000Z","","","","Fiduciary party managing assets on behalf of the trust","","ROLE_TRS05"
"a1nbn000001OLhCAAW","005bn000003k2JdAAI","","Credit Analyst / Underwriter","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhLAAW"
"a1nbn000001OLhDAAW","005bn000003k2JdAAI","","Closer","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhMAAW"
"a1nbn000001OLhEAAW","005bn000003k2JdAAI","","Portfolio Manager","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhNAAW"
"a1nbn000001OLhFAAW","005bn000003k2JdAAI","","Loan Approver","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","","a1nbn000001OLhOAAW"
"a1nbn000001OLhGAAW","005bn000003k2JdAAI","","Loan Approver Queue","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","","a1nbn000001OLhPAAW"
"a1nbn000001OLhHAAW","005bn000003k2JdAAI","","Loan Ops","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhQAAW"
"a1nbn000001OLhIAAW","005bn000003k2JdAAI","","Loan Officer","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhRAAW"
"a1nbn000001OLhJAAW","005bn000003k2JdAAI","","Special Assets","2026-07-16T14:30:24.000Z","005al00000RVcKvAAL","2026-07-21T16:52:06.000Z","005al00000RVvFOAA1","2026-07-21T16:52:06.000Z","","","","","TEAM_ROLES","a1nbn000001OLhSAAW"
