"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWD000003bQ8HYAU","false","RER00025","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsOYAU","Lightning-Record-002-RuleEngineDescription","2025-03-31","Lightning-Record-002-RuleEngine","Lightning-Record-002-Ref","Lightning-Record-002-Rule","2024-04-01","098654298012","false"
"a0pWD000003bQ8IYAU","false","RER00026","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsLYAU","Lightning-Record-001","2025-05-03","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-001-RuleEngine","2024-05-01","12378135634","false"
"a0pWD000003bQ8JYAU","false","RER00027","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DscYAE","CLA Inspection placeholder in Document Manager-01","","Insert-InspectionPlaceholder","3008c000001JVlUAAW","Lightning-Record-103-Rule","2025-02-17","42105110371538988","true"
"a0pWD000003bQ8KYAU","false","RER00028","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsLYAU","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-103","Lightning-Record-103-Ref","Lightning-Record-104-Rule","2025-02-17","42105120371538988","true"
"a0pWD000003bQ8LYAU","false","RER00029","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","","","","a0nWD0000018DseYAE","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","true"
"a0pWD000003bQ8MYAU","false","RER00030","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsUYAU","CLA Inspection placeholder in Document Manager-01","","Initial_Credit_Request_Preprocssing","3005f000000llUtAAI","Lightning-Record-105-Rule","2025-02-17","4212510371538988","true"
"a0pWD000003bQ8NYAU","false","RER00031","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsLYAU","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-106-Rule","2025-02-17","4225120371538988","true"
"a0pWD000003bQ8OYAU","false","RER00032","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","","","","a0nWD0000018DsfYAE","Display Offers for Small Business","2042-03-31","Initial_Display_Offers","3005f000001YRNTAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42511303862797440","true"
"a0pWD000003bQ8PYAU","false","RER00033","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","","","","a0nWD0000018DsbYAE","Retrieve pricing options by product line","2042-04-01","Initial_Retrieve_Pricing_Options","3005f000001YRNmAAO","nFORCE.FlowRuleEngine:rule-engine","2022-04-01","42681346349231765","true"
"a0pWD000003bQ8QYAU","false","RER00034","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsQYAU","SRC-01","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","a338c000000OC0IAAW","false"
"a0pWD000003bQ8RYAU","false","RER00035","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsXYAU","CLA Inspection placeholder in Document Manager
SRC-02","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","a338c000000OC0JAAW","true"
"a0pWD000003bQ8UYAU","false","RER00038","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","","","","a0nWD0000018DscYAE","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWD000003bQ8VYAU","false","RER00039","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","005al00000RVcKvAAL","2026-07-17T14:46:08.000Z","","","","a0nWD0000018DsdYAE","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
"a0pWD000003bQ8SYAU","false","RER00036","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DsdYAE","","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","nSource000OC0I","false"
"a0pWD000003bQ8TYAU","false","RER00037","2026-06-25T06:43:34.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","005al00000RVcKvAAL","2026-07-16T14:58:39.000Z","","","","a0nWD0000018DscYAE","CLA Inspection placeholder in Document Manager","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","nSource0OC0J","true"
