"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD0000028089YAA","005al00000RVcKvAAL","false","nSight Financial","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsh2AG","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WD000002GJvDYAW","005al00000RVcKvAAL","false","Summit Financial Group","2026-08-07T13:32:02.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsx2AG","/summitfinancial","Summit Financial Client Hub","0DB5f000000KLMNO","D5G8J2L4Q7V1Z9X6F","D5G8J2L4Q7V1Z9X6F","LLC_BI__Institution_Manager",""
"a31WD000002GJvEYAW","005al00000RVcKvAAL","false","First National Bank","2026-08-07T13:32:02.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsw2AG","/firstnational","First National Community Portal","0DB5f000000XYZAB","H7K2M9R4P1N8V3Q6X","H7K2M9R4P1N8V3Q6X","LLC_BI__Institution_Admin",""
"a31WD000002808DYAQ","005al00000RVcKvAAL","false","First National Bank","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsi2AG","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WD000002808EYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsj2AG","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WD000002808BYAQ","005al00000RVcKvAAL","false","Midwest Savings Bank","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsk2AG","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WD000002808CYAQ","005al00000RVcKvAAL","false","Pacific Coast Financial","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsl2AG","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WD000002808AYAQ","005al00000RVcKvAAL","false","Summit Federal Bank","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsm2AG","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WD000002808LYAQ","005al00000RVcKvAAL","false","First National Bank","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsn2AG","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WD000002808MYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSso2AG","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WD000002808IYAQ","005al00000RVcKvAAL","false","First National Bank","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsp2AG","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WD000002808JYAQ","005al00000RVcKvAAL","false","Heritage Credit Union","2026-06-24T12:33:10.000Z","005al00000RVcKvAAL","2026-09-02T13:18:23.000Z","005al00000RVvFOAA1","2026-09-02T13:18:23.000Z","a0CWD00006tNSsq2AG","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
