"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002KEyY2AW","005al00000RVcKvAAL","false","FC-002526","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTByYAN","","false","","02611576590235403","Daily_Limit_Change__c"
"a0SWD000002KEyZ2AW","005al00000RVcKvAAL","false","FC-002527","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTCEYA3","","false","","02621576590190034","LLC_BI__Treasury_Service__c"
"a0SWD000002KEya2AG","005al00000RVcKvAAL","false","FC-002528","","","","","","","","LLC_BI__Employee_Relationship__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTBkYAN","","false","","03491663700626156","Account"
"a0SWD000002KEyb2AG","005al00000RVcKvAAL","false","FC-002529","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTb7YAF","","false","","04471576590190033","Daily_Limit_Change__c"
"a0SWD000002Fmdf2AC","005al00000RVcKvAAL","false","FC-001974","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNBiYAP","","false","","04891663700626156","Account"
"a0SWD000002FmeM2AS","005al00000RVcKvAAL","false","FC-002017","","","","","","","","LLC_BI__Product_Line__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNDAYA5","","false","","09451701790671658","LLC_BI__Deposit__c"
"a0SWD000002KEyc2AG","005al00000RVcKvAAL","false","FC-002530","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000JuTCZYA3","","false","","09931576256670096","Daily_Limit_Change__c"
"a0SWD000002KEyd2AG","005al00000RVcKvAAL","false","FC-002531","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTC5YAN","","false","","10551575853422917","Daily_Limit_Change__c"
"a0SWD000002KEye2AG","005al00000RVcKvAAL","false","FC-002532","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTCZYA3","","false","","11121576256670097","Daily_Limit_Change__c"
"a0SWD000002Fmjy2AC","005al00000RVcKvAAL","false","FC-002365","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTe6YAF","","false","","111234352324324","LLC_BI__Loan__c"
