"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1TWD000001ox7b2AA","a1TWD000001ox7b2AA","false","765","Chicago","","","a31WD000001k07hYAA","41.830047","87.602809","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='41.830047'
 longitude='87.602809'
]
}","","","","IL","3155 S Lake Shore Drive","60616","42637738016507082","Porters Neck","005al00000RVcKvAAL"
"a1TVx00000F44Z6MAJ","a1TWD000001ox7c2AA","false","","","","","","","","","","","","","","","42474163793354642","Branch 2-Updated 2","005al00000RVcKvAAL"
"a1TVx00000F44Z7MAJ","a1TWD000001ox7d2AA","false","","","","","","","","","","","","","","","42274697852735677","Branch new 1","005al00000RVcKvAAL"
"a1TVx00000F452hMAB","a1TWD000001ox7e2AA","false","","","","","","","","","","","","","","","\      981723123\ ","DT-5180-Record03-BackSlash","005al00000RVcKvAAL"
"a1TVx00000F452iMAB","a1TWD000001ox7f2AA","false","","","","","","","","","","","","","","","\      Test123\ ","Singlequote-DT5180","005al00000RVcKvAAL"
"a1TVx00000F44g4MAB","a1TWD000001ox7g2AA","false","","","","","","","","","","","","","","","\       981723123\ ","DT-5180-Record03-BackSlash","005al00000RVcKvAAL"
"a1TVx00000F44gFMAR","a1TWD000001ox7h2AA","false","","","","","","","","","","","","","","","\       Test123\ ","Singlequote-DT5180","005al00000RVcKvAAL"
"a1TVx00000F44ZCMAZ","a1TWD000001ox7i2AA","false","","","","","","","","","","","","","","","42405670057585693","Hyd Qa","005al00000RVcKvAAL"
"a1TVx00000F44Z8MAJ","a1TWD000001ox7j2AA","false","","","","","","","","","","","","","","","\        981723123\ ","DT-5180-Record03-BackSlash","005al00000RVcKvAAL"
"a1TVx00000F44Z9MAJ","a1TWD000001ox7k2AA","false","","","","","","","","","","","","","","","\        Test123\ ","Singlequote-DT5180","005al00000RVcKvAAL"
