"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","Name","OwnerId"
"","a31WD000001k07hYAA","false","a0CWD00005vM0qn2AC","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community","nSight Financial","005al00000RVcKvAAL"
"","a31WE000001UH9JYAW","false","a0CWE00006hQ4Pj2AK","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User","First National Bank","005al00000RVcKvAAL"
"","a31WE000001UH9KYAW","false","a0CWE00006hQ4Pk2AK","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access","Heritage Credit Union","005al00000RVcKvAAL"
"","a31WE000001UH9LYAW","false","a0CWE00006hQ4Pl2AK","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User","Midwest Savings Bank","005al00000RVcKvAAL"
"","a31WE000001UH9MYAW","false","a0CWE00006hQ4Pm2AK","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access","Pacific Coast Financial","005al00000RVcKvAAL"
"","a31WE000001UH9NYAW","false","a0CWE00006hQ4Pn2AK","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal","Summit Federal Bank","005al00000RVcKvAAL"
"","a31WE000001UH9OYAW","false","a0CWE00006hQ4Po2AK","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User","First National Bank","005al00000RVcKvAAL"
"","a31WE000001UH9PYAW","false","a0CWE00006hQ4Pp2AK","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User","Heritage Credit Union","005al00000RVcKvAAL"
"","a31WE000001UH9QYAW","false","a0CWE00006hQ4Pq2AK","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access","First National Bank","005al00000RVcKvAAL"
"","a31WE000001UH9RYAW","false","a0CWE00006hQ4Pr2AK","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access","Heritage Credit Union","005al00000RVcKvAAL"
"","a31WE000001UH9SYAW","false","a0CWE00006hQ4Ps2AK","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender","Summit Commercial Lending","005al00000RVcKvAAL"
"","a31WE000001UH9TYAW","false","a0CWE00006hQ4Pt2AK","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator","Heritage Mortgage Corp","005al00000RVcKvAAL"
"","a31WE000001UH9UYAW","false","a0CWE00006hQ4Pv2AK","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor","Westlake Trust & Wealth","005al00000RVcKvAAL"
"","a31WE000001UH9VYAW","false","a0CWE00006hQ4Pu2AK","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access","Pacific Trust Credit Union","005al00000RVcKvAAL"
