"Id","IsDeleted","LLC_BI__City__c","LLC_BI__Country__c","LLC_BI__Is_Current__c","LLC_BI__Monthly_Housing_Expense__c","LLC_BI__Months_At_Residence__c","LLC_BI__Postal_Code__c","LLC_BI__Residence_Type__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
"a1GWD00000PkrkU2AR","false","","","false","","","","Lives with relatives or others","","","Physical","","a1GWD00000PkrkU","005al00000RVcKvAAL"
