"Id","IsDeleted","Name","OwnerId","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000001lzib2AA","false","FC-001512","005al00000RVcKvAAL","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003SOAXYA4","","a0qWD00000GSggLYAT","","false","","368ac54f-72bd-5c87-41c9-43d0c2c04e31","nFORCE__Field_Configuration__c"
"a0SWD000001lzic2AA","false","FC-001513","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","","a0qWD00000GSgjUYAT","","false","","42048633114611653","LLC_BI__Legal_Entities__c"
"a0SWD000001lzid2AA","false","FC-001514","005al00000RVcKvAAL","","","","","","","","Paid_Defaults_2k__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSggFYAT","","false","","42182148697712435","LLC_BI__Loan__c"
"a0SWD000001lzie2AA","false","FC-001515","005al00000RVcKvAAL","","","","","","","","LLC_BI__InterestRate__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSgh7YAD","","false","","42182148697712436","LLC_BI__Loan__c"
"a0SWD000001lzif2AA","false","FC-001516","005al00000RVcKvAAL","","","","","","","","LLC_BI__Amount__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSgh7YAD","","false","","42182148697712437","LLC_BI__Loan__c"
"a0SWD000001lzig2AA","false","FC-001517","005al00000RVcKvAAL","","","","","","","","LLC_BI__Monthly_Payment__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSgh7YAD","","false","","42182148697712438","LLC_BI__Loan__c"
"a0SWD000001lzih2AA","false","FC-001518","005al00000RVcKvAAL","","","","","","","","LLC_BI__Payment_Schedule__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSgh7YAD","","false","","42182148697712439","LLC_BI__Loan__c"
"a0SWD000001lzii2AA","false","FC-001519","005al00000RVcKvAAL","","","","","","","","LLC_BI__Term_Months__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","","a0qWD00000GSgh7YAD","","false","","42182148697712440","LLC_BI__Loan__c"
"a0SWD000001lzij2AA","false","FC-001520","005al00000RVcKvAAL","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","","a0qWD00000GSgNYYA1","","false","","42242293480412932","LLC_BI__Credit_Memo_Modifcation__c"
"a0SWD000001lzik2AA","false","FC-001521","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","","a0qWD00000GSgN2YAL","","false","","42284339143491482","LLC_BI__Legal_Entities__c"
