"Description_Custom__c","Id","IsDeleted","Name","OwnerId","Route_Group__c","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c"
"","a0XWD000002hC9d2AE","false","HMDA Questionnaire","005al00000RVcKvAAL","","","","","false","","false","true","","","","","010B70686B5547768D54530668190A55"
"","a0XWD000002hC9e2AE","false","LOB Review","005al00000RVcKvAAL","","","lobreview","","false","","false","false","","","","","027C217E211F4778B3496A6F0D4C1F55"
"Live Oak Bank SBA Pre-Approval Loan UI","a0XWD000002hC9f2AE","false","LOB-SBA-Loan-Pre","005al00000RVcKvAAL","","","lobsba-loanpre","","false","","false","false","","","","","065E653D6D58421AB67438107A243B22"
"Live Oak SBA Post Approval UI","a0XWD000002hC9g2AE","false","LOB-SBA-Loan-Post","005al00000RVcKvAAL","","","lobsba-loanpost","","false","","false","false","","","","","073479326E0F4E3A8C0F713F3B240932"
"","a0XWD000002hC9h2AE","false","Loan - Residential Mortgage Refinance - APAC","005al00000RVcKvAAL","","","apac-res-mtg-refinance","","false","","false","false","","","","","096E450C3B0C4F4284601C447D765211"
"","a0XWD000002hC9i2AE","false","First Draw Loan","005al00000RVcKvAAL","","","first-draw-loan","","false","","false","false","","","","","09921610326271972"
"","a0XWD000002hC9j2AE","false","Commercial Accelerate Loan","005al00000RVcKvAAL","","","comm-accel-loan","","false","","false","false","","","","comm-accel-loan","12091615577844223"
"","a0XWD000002hC9k2AE","false","Small Business Forgiveness","005al00000RVcKvAAL","","","sba-forgiv","","false","","false","false","","","","","194987166415"
"","a0XWD000002hC9l2AE","false","Loan - Residential Mortgage APAC - Primary UI","005al00000RVcKvAAL","","","apac-res-mtg-defaultui","","false","","false","false","","","","","1D71277579024345943759185B486D66"
"","a0XWD000002hC9m2AE","false","clone","005al00000RVcKvAAL","","","clone","Online Application","false","","false","false","a0bWD0000011L6rYAE","","","clone","21671598553323537"
"","a0XWD000002xhhI2AQ","false","atbk_Loan.Retail","005al00000RVcKvAAL","","","core-specific-info","","false","","false","true","","","","core-specific-info","23452345236546435"
"","a0XWD000002hC9n2AE","false","Individual KYC","005al00000RVcKvAAL","","","","","false","","false","true","","","","","257E6F756B4A425095602C163A0F4E31"
"","a0XWD000002hC9o2AE","false","Second Draw Loan","005al00000RVcKvAAL","","","second-draw-loan","","false","","false","false","","","","","31321610041032562"
"","a0XWD000002hC9p2AE","false","CRA","005al00000RVcKvAAL","","","","","false","","false","true","","","","","406D671A185344659B422A6E1E790811"
"","a0XWD000002hC9q2AE","false","Small Business Loan Online Application","005al00000RVcKvAAL","","","small-business-loan-online-application","Online Application","false","","false","false","","","","portal-sbloan","41241666029060795"
"","a0XWD000002xhh12AA","false","CP Group_M_03","005al00000RVcKvAAL","","","CP_UIConfig_M_03","","false","","false","false","","a0XWD000002xhgz2AA","","","42006593820447392"
"","a0XWD000002hC9r2AE","false","OB Security Services","005al00000RVcKvAAL","","","tmmg-OBSecurityServices00-00","","false","","false","false","","","a0sWD00000Xo7ZJYAZ","","42013006377047603"
"","a0XWD000002hC9s2AE","false","Deposit Ancillary Services","005al00000RVcKvAAL","","","tm-deposit-a-74","","false","","false","false","","","","","42015437848862616"
"","a0XWD000002xhhW2AQ","false","New PP Group","005al00000RVcKvAAL","","","new pp-group","","false","","false","false","","","","","42016060607857011"
"","a0XWD000002hC9t2AE","false","CD-Rom","005al00000RVcKvAAL","","","tmmg-CDRom00-00","","false","","false","false","","","a0sWD00000Xo7ZcYAJ","","42024555182888674"
"","a0XWD000002hC9u2AE","false","Wire Incoming","005al00000RVcKvAAL","","","tmmg-WireIncoming00-00","","false","","false","false","","","a0sWD00000Xo7YXYAZ","","42027612952237912"
