"Id","IsDeleted","Name","OwnerId","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Group__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Primary_Button_Text__c","nFORCE__Question_Group__c","nFORCE__Route__c","nFORCE__Visibility_Criteria__c","nFORCE__lookupKey__c"
"a0jWD000006mrfWYAQ","false","19298","005al00000RVcKvAAL","post-approval-team-members","<a href=""/a0sWD00000Xo7Zl"" target=""_blank"">Team Members</a>","","{{IF=""A AND B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Booked""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Complete""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCDI2A2","false","true","false","false","1625.0","a0mWD000003RE1AYAW","","","a0mWD000003RE1CYAW","","00041619447513221"
"a0jWD000006mrikYAA","false","19498","005al00000RVcKvAAL","loan-post-team-members-lob-pwc","<a href=""/a0sWD00000Xo7el"" target=""_blank"">Loan Team Member Information</a>","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCT2A2","false","false","false","false","1560.0","","","","a0mWD000003RDglYAG","","0004450706"
"a0jWD000006mrilYAA","false","19499","005al00000RVcKvAAL","lob-sba-paycheck-modification-category","<a href=""/"" target=""_blank""> </a>","","{{IF=""A OR B OR C OR D OR E OR F""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Review""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Complete""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Hold""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCa2AM","false","false","false","false","8.0","","","","a0mWD000003RDPpYAO","","001448294D"
"a0jWD000006mrimYAA","false","19500","005al00000RVcKvAAL","lobloanbooked-borrowing-structure-lob-pwc","<a href=""/a0sWD00000Xo7g5"" target=""_blank"">Borrowing Structure Information</a>","","","a0XWD000002hC9i2AE","false","false","true","false","2.0","","","","a0mWD000003RDgBYAW","","001D45295A"
"a0jWD000006mrinYAA","false","19501","005al00000RVcKvAAL","balance-information-approved-m-lob-pwc","<a href=""/a0sWD00000Xo7fs"" target=""_blank"">Balance Details</a>","","","a0XWD000002hCCV2A2","false","true","true","false","1.0","","","","a0mWD000003RDfLYAW","","004B42503F"
"a0jWD000006mrioYAA","false","19502","005al00000RVcKvAAL","lobloanbooked-reg-o","<a href=""/"" target=""_blank""> </a>","","","a0XWD000002hC9d2AE","false","false","true","false","20.0","","","","a0mWD000003RDcdYAG","","004D09501C"
"a0jWD000006mripYAA","false","19503","005al00000RVcKvAAL","post-editable-risk-ratingsummary-lob-pwc","<a href=""/a0sWD00000Xo7i5"" target=""_blank"">Risk Rating Summary</a>","","","a0XWD000002hC9o2AE","false","true","false","false","15.0","","","","a0mWD000003RDj7YAG","","005E07254E"
"a0jWD000006mriqYAA","false","19504","005al00000RVcKvAAL","reviewheader","<a href=""/"" target=""_blank""> </a>","","","a0XWD000002hCCb2AM","false","false","false","false","10.0","","","","a0mWD000003RDOdYAO","","0060637A65"
"a0jWD000006mrirYAA","false","19505","005al00000RVcKvAAL","booked-approved-details","<a href=""/a0sWD00000XnoKF"" target=""_blank"">Approved Details</a>","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCC2A2","false","false","false","false","1510.0","a0mWD000003RE22YAG","","","a0mWD000003RDQUYA4","","00731620937670249"
"a0jWD000006mrfXYAQ","false","19299","005al00000RVcKvAAL","post-approval-participations","<a href=""/a0sWD00000Xo7kZ"" target=""_blank"">Participations</a>","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Is_Participation__c"" IS=""True""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCDI2A2","false","false","false","false","11000.0","","","","a0mWD000003RDwpYAG","","00871619447513222"
