"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9iLXYAZ","false","SC-000020446","1.01","","","a0bWD0000011L56YAE","0.0","false","","","a0qWD00000GSgSCYA1","","","false","00001602764632534","LLC_BI__Loan__c"
"a0vWD00000B9lTnYAJ","false","SC-000027408","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a0bWD0000011LDiYAM","0.0","false","a0vWD00000B9ityYAB","LLC_BI__Contingent_Liabilties__r","a0qWD00000GSgNmYAL","","","false","00231560278867809","LLC_BI__Contingent_Liabilty__c"
"a0vWD00000B9iLYYAZ","false","SC-000020447","1.01","","","a0bWD0000011L6kYAE","0.0","false","","","a0qWD00000GSgU7YAL","","","false","00321663700626422","LLC_BI__Loan__c"
"a0vWD00000B9id0YAB","false","SC-000021529","1.01","","","","","false","","","a0qWD00000GSggrYAD","","","false","00801620937672786","LLC_BI__Loan__c"
"a0vWD00000B9iD5YAJ","false","SC-000019922","1.01","","","a0bWD0000011LCbYAM","0.0","false","","","a0qWD00000GSTTPYA5","","","false","01231620937672796","LLC_BI__Loan__c"
"a0vWD00000B9iLZYAZ","false","SC-000020448","0.0","LLC_BI__Income_Schedule","","","","false","","","a0qWD00000GSgTsYAL","Income Schedule","","false","01261602764632532","LLC_BI__Income__c"
"a0vWD00000B9iyPYAR","false","SC-000022716","2.01","","","a0bWD0000011LDzYAM","0.0","false","a0vWD00000B9ifuYAB","LLC_BI__Product_Package__r","a0qWD00000GSggjYAD","","","false","01341567002572391","LLC_BI__Product_Package__c"
"a0vWD00000B9id1YAB","false","SC-000021530","1.01","LLC_BI__UI_Budget_Details","","a0bWD0000011LCfYAM","","false","","","a0qWD00000GSgg1YAD","","","false","01501620937672803","LLC_BI__Loan__c"
"a0vWD00000B9iLaYAJ","false","SC-000020449","1.01","NPORTAL__Secured_RL_Eligibility_Loan","","","","false","","","a0qWD00000GSgRGYA1","","","false","01671602078251889","LLC_BI__Loan__c"
"a0vWD00000B9iD6YAJ","false","SC-000019923","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","a0qWD00000GSgNaYAL","Property Location","","false","01841620937672801","LLC_BI__Loan__c"
