"Id","OwnerId","IsDeleted","Name","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a0dWE00000DI9GgYAL","005al00000RVvFOAA1","false","OR-000810","equal to","a0gWE000001QK8wYAG","a0eWE0000058rJMYAY","a0gWE000001QK8RYAW","157414416421196833"
"a0dWE00000DI9GhYAL","005al00000RVvFOAA1","false","OR-000811","equal to","a0gWE000001QK8nYAG","a0eWE0000058rKAYAY","a0gWE000001QK8dYAG","167239791704037961"
"a0dWE00000DI9GiYAL","005al00000RVvFOAA1","false","OR-000812","equal to","a0gWE000001QK8sYAG","a0eWE0000058rJMYAY","a0gWE000001QK8RYAW","337065213448562634"
"a0dWE00000DI9GjYAL","005al00000RVvFOAA1","false","OR-000813","equal to","a0gWE000001QK8qYAG","a0eWE0000058rHzYAI","a0gWE000001QK8QYAW","369445451405573998"
"a0dWE00000DI9GkYAL","005al00000RVvFOAA1","false","OR-000814","equal to","a0gWE000001QK8vYAG","a0eWE0000058rJMYAY","a0gWE000001QK8RYAW","402593914880540994"
"a0dWE00000DI9GlYAL","005al00000RVvFOAA1","false","OR-000815","equal to","a0gWE000001QK7sYAG","a0eWE0000058rIRYAY","a0gWE000001QK7qYAG","42017805827372123"
"a0dWE00000ECosFYAT","005al00000Q6IbCAAV","false","OR-000891","equal to","a0gWE000001WJ5RYAW","a0eWE000005K2LhYAK","a0gWE000001WJ5VYAW","42035142097728267"
"a0dWE00000DI9GmYAL","005al00000RVvFOAA1","false","OR-000816","equal to","a0gWE000001QK7hYAG","a0eWE0000058rIeYAI","a0gWE000001QK7rYAG","42064026548812802"
"a0dWE00000ECosGYAT","005al00000RVcKvAAL","false","OR-000892","equal to","a0gWE000001WJ3CYAW","a0eWE000005K2J1YAK","a0gWE000001WJ3BYAW","42065070763544206"
"a0dWE00000DI9GnYAL","005al00000RVvFOAA1","false","OR-000817","equal to","a0gWE000001QK8TYAW","a0eWE0000058rJ5YAI","a0gWE000001QK7ZYAW","42086017857468942"
"a0dWE00000DI9GoYAL","005al00000RVvFOAA1","false","OR-000818","equal to","a0gWE000001QK86YAG","a0eWE0000058rL0YAI","a0gWE000001QK8XYAW","42104740385859730"
"a0dWE00000DI9GpYAL","005al00000RVvFOAA1","false","OR-000819","equal to","a0gWE000001QK7TYAW","a0eWE0000058rIzYAI","a0gWE000001QK7sYAG","42172802895162931"
"a0dWE00000DI9GqYAL","005al00000RVvFOAA1","false","OR-000820","equal to","a0gWE000001QK7eYAG","a0eWE0000058rIZYAY","a0gWE000001QK7ZYAW","42193590832606361"
"a0dWE00000DI9GrYAL","005al00000RVvFOAA1","false","OR-000821","equal to","a0gWE000001QK8TYAW","a0eWE0000058rI7YAI","a0gWE000001QK7UYAW","42215033561654427"
"a0dWE00000DI9GsYAL","005al00000RVvFOAA1","false","OR-000822","equal to","a0gWE000001QK8TYAW","a0eWE0000058rIPYAY","a0gWE000001QK7qYAG","42221193512321666"
"a0dWE00000DI9GtYAL","005al00000RVvFOAA1","false","OR-000823","equal to","a0gWE000001QK7oYAG","a0eWE0000058rIcYAI","a0gWE000001QK7dYAG","42229084093957598"
"a0dWE00000DI9GuYAL","005al00000RVvFOAA1","false","OR-000824","equal to","a0gWE000001QK7VYAW","a0eWE0000058rIcYAI","a0gWE000001QK7dYAG","42313234671225807"
"a0dWE00000DI9GvYAL","005al00000RVvFOAA1","false","OR-000825","equal to","a0gWE000001QK8TYAW","a0eWE0000058rIyYAI","a0gWE000001QK7lYAG","42372371951429361"
"a0dWE00000DI9GwYAL","005al00000RVvFOAA1","false","OR-000826","equal to","a0gWE000001QK7bYAG","a0eWE0000058rINYAY","a0gWE000001QK7OYAW","42413896844418967"
"a0dWE00000DI9GxYAL","005al00000RVvFOAA1","false","OR-000827","equal to","a0gWE000001QK8TYAW","a0eWE0000058rIlYAI","a0gWE000001QK7eYAG","42468387247652216"
"a0dWE00000ECosHYAT","005al00000RVcKvAAL","false","OR-000893","equal to","a0gWE000001QK7fYAG","a0eWE0000058rIGYAY","a0gWE000001QK7mYAG","42472669467171238"
"a0dWE00000DI9GyYAL","005al00000RVvFOAA1","false","OR-000828","equal to","a0gWE000001QK8TYAW","a0eWE0000058rJ0YAI","a0gWE000001QK7TYAW","42501867452139735"
"a0dWE00000DI9GzYAL","005al00000RVvFOAA1","false","OR-000829","equal to","a0gWE000001QK7OYAW","a0eWE0000058rIeYAI","a0gWE000001QK7rYAG","42554915819931925"
"a0dWE00000ECosIYAT","005al00000Q6IbCAAV","false","OR-000894","equal to","a0gWE000001WJ5RYAW","a0eWE000005K2MHYA0","a0gWE000001WJ5VYAW","42564897157637404"
"a0dWE00000DI9H0YAL","005al00000RVvFOAA1","false","OR-000830","equal to","a0gWE000001QK8YYAW","a0eWE0000058rL0YAI","a0gWE000001QK8XYAW","42614734659258523"
"a0dWE00000DI9H1YAL","005al00000RVvFOAA1","false","OR-000831","equal to","a0gWE000001QK7cYAG","a0eWE0000058rJ1YAI","a0gWE000001QK7pYAG","42667413908385436"
"a0dWE00000DI9H2YAL","005al00000RVvFOAA1","false","OR-000832","equal to","a0gWE000001QK7qYAG","a0eWE0000058rIBYAY","a0gWE000001QK7lYAG","42748404248800057"
"a0dWE00000DI9H3YAL","005al00000RVvFOAA1","false","OR-000833","equal to","a0gWE000001QK7zYAG","a0eWE0000058rIdYAI","a0gWE000001QK7TYAW","42764744764896710"
"a0dWE00000DI9H4YAL","005al00000RVvFOAA1","false","OR-000834","equal to","a0gWE000001QK7zYAG","a0eWE0000058rJ6YAI","a0gWE000001QK7eYAG","42817339260416303"
"a0dWE00000DI9H5YAL","005al00000RVvFOAA1","false","OR-000835","equal to","a0gWE000001QK7fYAG","a0eWE0000058rJ7YAI","a0gWE000001QK7NYAW","42820878331447219"
"a0dWE00000DI9H6YAL","005al00000RVvFOAA1","false","OR-000836","equal to","a0gWE000001QK7lYAG","a0eWE0000058rJ2YAI","a0gWE000001QK7UYAW","42842234031549797"
"a0dWE00000ECosJYAT","005al00000RVcKvAAL","false","OR-000895","equal to","a0gWE000001WJ37YAG","a0eWE000005K2J1YAK","a0gWE000001WJ3BYAW","42902124794470674"
"a0dWE00000DI9H7YAL","005al00000RVvFOAA1","false","OR-000837","equal to","a0gWE000001QK7SYAW","a0eWE0000058rIcYAI","a0gWE000001QK7dYAG","42918585451623218"
"a0dWE00000DI9H8YAL","005al00000RVvFOAA1","false","OR-000838","equal to","a0gWE000001QK7gYAG","a0eWE0000058rIiYAI","a0gWE000001QK7sYAG","42920767451520855"
"a0dWE00000DI9H9YAL","005al00000RVvFOAA1","false","OR-000839","equal to","a0gWE000001QK7ZYAW","a0eWE0000058rIpYAI","a0gWE000001QK7gYAG","42940642738627721"
"a0dWE00000DI9HAYA1","005al00000RVvFOAA1","false","OR-000840","equal to","a0gWE000001QK7zYAG","a0eWE0000058rIAYAY","a0gWE000001QK7gYAG","42977459294331486"
"a0dWE00000ECosKYAT","005al00000Q6IbCAAV","false","OR-000896","equal to","a0gWE000001WJ5TYAW","a0eWE000005K2LUYA0","a0gWE000001WJ5RYAW","42986561932540012"
"a0dWE00000DI9HBYA1","005al00000RVvFOAA1","false","OR-000841","equal to","a0gWE000001QK8oYAG","a0eWE0000058rKAYAY","a0gWE000001QK8dYAG","476271547201690502"
"a0dWE00000DI9HCYA1","005al00000RVvFOAA1","false","OR-000842","equal to","a0gWE000001QK8rYAG","a0eWE0000058rJMYAY","a0gWE000001QK8RYAW","505525074955899211"
"a0dWE00000DI9HDYA1","005al00000RVvFOAA1","false","OR-000843","equal to","a0gWE000001QK8uYAG","a0eWE0000058rJMYAY","a0gWE000001QK8RYAW","587205368299443070"
"a0dWE00000DI9HEYA1","005al00000RVvFOAA1","false","OR-000844","equal to","a0gWE000001QK8iYAG","a0eWE0000058rJQYAY","a0gWE000001QK8hYAG","679581452003245025"
"a0dWE00000DI9HFYA1","005al00000RVvFOAA1","false","OR-000845","equal to","a0gWE000001QK8eYAG","a0eWE0000058rKAYAY","a0gWE000001QK8dYAG","696948244045324971"
