"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c"
"a0Ebn000001gXrgEAE","005bn000003k2JdAAI","","CFG-CV00014476","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Renewal","42013176837116171","This value controls which fields should not clone when you do a renewal or modification. The value should be the field set which includes the fields you do not want cloned. "
"a0Ebn000001gXruEAE","005bn000003k2JdAAI","","CFG-CV00014490","Copy Loan","Fields_To_Not_Clone","","Fields_to_Not_Clone_Deal_MGMT","42026525999140936",""
"a0Ebn000001gXrqEAE","005bn000003k2JdAAI","","CFG-CV00014486","Credit Action","Name_Format","","_R","42042792201932624","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0Ebn000001gXrpEAE","005bn000003k2JdAAI","","CFG-CV00014485","Credit Action","Status_Renewal_Allowed","","Open","42047431713720027","This Configuration will specify what status a loan must be in before a specific credit action can be performed on it"
"a0Ebn000001gXrwEAE","005bn000003k2JdAAI","","CFG-CV00014492","Copy Loan","field_set:override_fields","","cm_DMW_Loan_Creation_Addition_Fields","42154837463632753",""
"a0Ebn000001gXrsEAE","005bn000003k2JdAAI","","CFG-CV00014488","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Modification","42205899172674511",""
"a0Ebn000001gXrvEAE","005bn000003k2JdAAI","","CFG-CV00014491","Copy Loan","Relatives_To_Clone","","[
{""relative"":""LLC_BI__Legal_Entities__r"",""required"":false},
{""relative"": ""LLC_BI__Legal_Entities__r"", ""required"": true,""children"": [{""relative"": ""LLC_BI__Contingent_Liabilties__r""},{""relative"": ""LLC_BI__Authorized_Accounts__r""}]},
{""relative"": ""LLC_BI__Loan_Collateral__r"", ""required"": false},
{""relative"": ""LLC_BI__Policy_Exceptions__r"", ""required"": false},
{""relative"": ""LLC_BI__Loan_Teams__r"", ""required"": false}
]","42236262719945881",""
"a0Ebn000001gXroEAE","005bn000003k2JdAAI","","CFG-CV00014484","Credit Action","Stages_Renewal_Allowed","","Booked","42367445419086240","This Configuration will specify what stage a loan must be in before a specific credit action can be performed on it"
"a0Ebn000001gXrrEAE","005bn000003k2JdAAI","","CFG-CV00014487","Credit Action","Name_Format","","_M","42384509260746486","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0Ebn000001gXrmEAE","005bn000003k2JdAAI","","CFG-CV00014482","Credit Action","Clone_Rate_and_Payment_Structures","","FALSE","42390322604356729","You should specify true in the value field to specify the Rate and Payment Structure should clone. It always performs asynchronously. "
"a0Ebn000001gXrnEAE","005bn000003k2JdAAI","","CFG-CV00014483","Credit Action","Clone_Credit_Memo","","FALSE","42439628166151715"," You should specify true in the value field to specify the Credit Memo should clone. It always performs asynchronously. "
"a0Ebn000001gXrlEAE","005bn000003k2JdAAI","","CFG-CV00014481","Credit Action","Clone_Budget","","FALSE","42452837413171255","You should specify true in the value field to specify the Budget should clone. It always performs asynchronously.  "
"a0Ebn000001gXrhEAE","005bn000003k2JdAAI","","CFG-CV00014477","Credit Action","Credit_Action_Starting_Status","","Open","42807171020083101","This specifies what the status a renewed or modified loan is placed in. "
"a0Ebn000001gXrtEAE","005bn000003k2JdAAI","","CFG-CV00014489","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42813871210569191",""
"a0Ebn000001gXrjEAE","005bn000003k2JdAAI","","CFG-CV00014479","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42941812476047246","This specifies what related lists should clone immediately when you renew or modify the loan. "
"a0Ebn000001gXriEAE","005bn000003k2JdAAI","","CFG-CV00014478","Credit Action","Credit_Action_Starting_Stage","","Qualification","42958440805630604","This specifies what the stage a renewed or modified loan is placed in. "
"a0Ebn000001gXreEAE","005bn000003k2JdAAI","","CFG-CV00014474","Change Product","Allowed_Stages","","Qualification","Allowed_Stages",""
"a0Ebn000001gXrfEAE","005bn000003k2JdAAI","","CFG-CV00014475","Change Product","Allowed_Status","","Open","Allowed_Status",""
"a0Ebn000001gXrCEAU","005bn000003k2JdAAI","","CFG-CV00014446","General","Bankr_BI_Prefix","","LLC_BI__","Bankr_BI_Prefix",""
"a0Ebn000001gXrIEAU","005bn000003k2JdAAI","","CFG-CV00014452","Change Memo","CM_DocManLookupKey","","LLC_Loan","CM_DocManLookupKey",""
"a0Ebn000001gXrGEAU","005bn000003k2JdAAI","","CFG-CV00014450","Change Memo","CM_DocTabLookupKey","","TAB-LOAN-CREDIT","CM_DocTabLookupKey",""
"a0Ebn000001gXrHEAU","005bn000003k2JdAAI","","CFG-CV00014451","Change Memo","CM_DocTypeLookupKey","","DM-DT-001","CM_DocTypLookupKey",""
"a0Ebn000001gXrDEAU","005bn000003k2JdAAI","","CFG-CV00014447","Change Memo","CM_Enabled","","Enabled","CM_Enabled",""
