"Id","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__CFG_ConfigKeys__c","LLC_BI__CFG_ConfigValue__c","LLC_BI__Product_Type__c","LLC_BI__lookupKey__c","LLC_BI__Product__c","LLC_BI__sObject_Type__c"
"a0CHo00000INPwrMAH","","CFG-CKJ00014929","","","a0DHo00000hOf4QMAS","a0EHo00001ZYk12MAD","","42009698359266972","",""
"a0CHo00000INPwmMAH","","CFG-CKJ00014924","","","a0DHo00000hOf4QMAS","a0EHo00001ZYk0vMAD","","42026650481773982","",""
"a0CHo00000INPx5MAH","","CFG-CKJ00014943","","","a0DHo00000hOf4SMAS","a0EHo00001ZYk0uMAD","","42029281540716260","",""
"a0CHo00000INTTQMA5","","CFG-CKJ00015025","","","a0DHo00000hPUXmMAO","a0EHo00001ZYwYGMA1","","42050590802912157","",""
"a0CHo00000INPwjMAH","","CFG-CKJ00014921","","","a0DHo00000hOf4OMAS","a0EHo00001ZYk15MAD","","42052270018555007","",""
"a0CHo00000INPwbMAH","","CFG-CKJ00014913","","","a0DHo00000hOf4OMAS","a0EHo00001ZYk0zMAD","","42068200496914160","",""
"a0CHo00000INPwxMAH","","CFG-CKJ00014935","","","a0DHo00000hOf4RMAS","a0EHo00001ZYk0yMAD","","42071174774357513","",""
"a0CHo00000INPx0MAH","","CFG-CKJ00014938","","","a0DHo00000hOf4RMAS","a0EHo00001ZYk11MAD","","42092876895874880","",""
"a0CHo00000INTTRMA5","","CFG-CKJ00015026","","","a0DHo00000hPUXlMAO","a0EHo00001ZYwYGMA1","","42097703335347599","",""
"a0CHo00000INPwsMAH","","CFG-CKJ00014930","","","a0DHo00000hOf4QMAS","a0EHo00001ZYk14MAD","","42102552367986118","",""
"a0CHo00000INTTCMA5","","CFG-CKJ00015011","","","a0DHo00000hPUXkMAO","a0EHo00001ZYk0SMAT","","42126191284441096","",""
"a0CHo00000INTTSMA5","","CFG-CKJ00015027","","","a0DHo00000hPUXkMAO","a0EHo00001ZYwYGMA1","","42141410172630057","",""
"a0CHo00000INPwnMAH","","CFG-CKJ00014925","","","a0DHo00000hOf4QMAS","a0EHo00001ZYk0yMAD","","42144169869546434","",""
