"Id","OwnerId","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__lookupKey__c","LLC_BI__Action_Name__c","LLC_BI__Action_Type__c","LLC_BI__Action_Display_Name__c"
"a0DHo00000hOf4RMAS","005Ho00000AXM6UIAX","","Collateral Adjustment","","","42069006513967105","Modify","Material Modification","Collateral Adjustment"
"a0DHo00000hOf4QMAS","005Ho00000AXM6UIAX","","Borrowing Structure Adjustment","","","42087581767096825","Modify","Material Modification","Borrowing Structure Adjustment"
"a0DHo00000hOf4SMAS","005Ho00000AXM6UIAX","","Rate Change","","","42180530733978430","Modify","Material Modification","Rate Change"
"a0DHo00000hOf4OMAS","005Ho00000AXM6UIAX","","Modification","","","42440627222022945","Modify","Material Modification","Modification"
"a0DHo00000hOf4PMAS","005Ho00000AXM6UIAX","","Renewal","","","42713401968631377","Renew","Material Modification","Renewal"
"a0DHo00000hOf4HMAS","005Ho00000AXM6UIAX","","KY_DM_AWSBucket","","","KY_DM_AWSBucket","","",""
"a0DHo00000hOf4IMAS","005Ho00000AXM6UIAX","","KY_DM_ReviewerRoles","","","KY_DM_ReviewRoles","","",""
"a0DHo00000hOf4KMAS","005Ho00000AXM6UIAX","","KY_GBL_ChangeMemo","","","KY_GBL_ChangeMemo","","",""
"a0DHo00000hOf4LMAS","005Ho00000AXM6UIAX","","KY_GBL_CreditRole","","","KY_GBL_CreditRole","","",""
"a0DHo00000hOf4JMAS","005Ho00000AXM6UIAX","","KY_GBL_NamespacePrefixBI","","","KY_GBL_NS_PrefixBI","","",""
"a0DHo00000hOf4MMAS","005Ho00000AXM6UIAX","","KY_VER_Configuration","","","KY_VER_Config","","",""
"a0DHo00000hOf4NMAS","005Ho00000AXM6UIAX","","PT-Com-RE","","","PT-Com-RE","","",""
"a0DHo00000hOf4FMAS","005Ho00000AXM6UIAX","","PT-Consume0541007","","","PT-Consume0541007","","",""
"a0DHo00000hOf4GMAS","005Ho00000AXM6UIAX","","PT-Consume0771309","","","PT-Consume0771309","","",""
"a0DHo00000hOf4EMAS","005Ho00000AXM6UIAX","","PT-NonReal0808040","","","PT-NonReal0808040","","",""
"a0DHo00000hPUXlMAO","005Ho00000AXM6UIAX","","PT-NonReal0872933","","","PT-NonReal0872933","","",""
"a0DHo00000hPUXmMAO","005Ho00000AXM6UIAX","","PT-RealEst0789302","","","PT-RealEst0789302","","",""
"a0DHo00000hPUXkMAO","005Ho00000AXM6UIAX","","PT-Unsecur0066628","","","PT-Unsecur0066628","","",""
