"Id","OwnerId","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c"
"a0EHo00001ZYk0tMAD","005Ho00000AXM6UIAX","","CFG-CV00014476","","","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Renewal","42013176837116171","This value controls which fields should not clone when you do a renewal or modification. The value should be the field set which includes the fields you do not want cloned. "
"a0EHo00001ZYk13MAD","005Ho00000AXM6UIAX","","CFG-CV00014486","","","Credit Action","Name_Format","","_R","42042792201932624","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0EHo00001ZYk12MAD","005Ho00000AXM6UIAX","","CFG-CV00014485","","","Credit Action","Status_Renewal_Allowed","","Open","42047431713720027","This Configuration will specify what status a loan must be in before a specific credit action can be performed on it"
"a0EHo00001ZYwYFMA1","005Ho00000AXM6UIAX","","CFG-CV00014490","","","Change Product","Allowed_Status","","Open,Hold","42134004742805794",""
"a0EHo00001ZYk15MAD","005Ho00000AXM6UIAX","","CFG-CV00014488","","","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Modification","42205899172674511",""
"a0EHo00001ZYk11MAD","005Ho00000AXM6UIAX","","CFG-CV00014484","","","Credit Action","Stages_Renewal_Allowed","","Booked","42367445419086240","This Configuration will specify what stage a loan must be in before a specific credit action can be performed on it"
"a0EHo00001ZYk14MAD","005Ho00000AXM6UIAX","","CFG-CV00014487","","","Credit Action","Name_Format","","_M","42384509260746486","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0EHo00001ZYk0zMAD","005Ho00000AXM6UIAX","","CFG-CV00014482","","","Credit Action","Clone_Rate_and_Payment_Structures","","FALSE","42390322604356729","You should specify true in the value field to specify the Rate and Payment Structure should clone. It always performs asynchronously. "
"a0EHo00001ZYk10MAD","005Ho00000AXM6UIAX","","CFG-CV00014483","","","Credit Action","Clone_Credit_Memo","","FALSE","42439628166151715"," You should specify true in the value field to specify the Credit Memo should clone. It always performs asynchronously. "
"a0EHo00001ZYk0yMAD","005Ho00000AXM6UIAX","","CFG-CV00014481","","","Credit Action","Clone_Budget","","FALSE","42452837413171255","You should specify true in the value field to specify the Budget should clone. It always performs asynchronously.  "
"a0EHo00001ZYwYGMA1","005Ho00000AXM6UIAX","","CFG-CV00014491","","","Change Product","Allowed_Stages","","Qualification,Proposal,Credit Underwriting,Final Review,Approval / Loan Committee","42578323501384827",""
"a0EHo00001ZYk0uMAD","005Ho00000AXM6UIAX","","CFG-CV00014477","","","Credit Action","Credit_Action_Starting_Status","","Open","42807171020083101","This specifies what the status a renewed or modified loan is placed in. "
"a0EHo00001ZYk16MAD","005Ho00000AXM6UIAX","","CFG-CV00014489","","","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42813871210569191",""
"a0EHo00001ZYk0wMAD","005Ho00000AXM6UIAX","","CFG-CV00014479","","","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42941812476047246","This specifies what related lists should clone immediately when you renew or modify the loan. "
"a0EHo00001ZYk0vMAD","005Ho00000AXM6UIAX","","CFG-CV00014478","","","Credit Action","Credit_Action_Starting_Stage","","Qualification","42958440805630604","This specifies what the stage a renewed or modified loan is placed in. "
"a0EHo00001ZYk0rMAD","005Ho00000AXM6UIAX","","CFG-CV00014474","","","Change Product","Allowed_Stages","","Qualification","Allowed_Stages",""
"a0EHo00001ZYk0sMAD","005Ho00000AXM6UIAX","","CFG-CV00014475","","","Change Product","Allowed_Status","","Open","Allowed_Status",""
"a0EHo00001ZYk0PMAT","005Ho00000AXM6UIAX","","CFG-CV00014446","","","General","Bankr_BI_Prefix","","LLC_BI__","Bankr_BI_Prefix",""
"a0EHo00001ZYk0VMAT","005Ho00000AXM6UIAX","","CFG-CV00014452","","","Change Memo","CM_DocManLookupKey","","LLC_Loan","CM_DocManLookupKey",""
"a0EHo00001ZYk0TMAT","005Ho00000AXM6UIAX","","CFG-CV00014450","","","Change Memo","CM_DocTabLookupKey","","TAB-LOAN-CREDIT","CM_DocTabLookupKey",""
"a0EHo00001ZYk0UMAT","005Ho00000AXM6UIAX","","CFG-CV00014451","","","Change Memo","CM_DocTypeLookupKey","","DM-DT-001","CM_DocTypLookupKey",""
"a0EHo00001ZYk0QMAT","005Ho00000AXM6UIAX","","CFG-CV00014447","","","Change Memo","CM_Enabled","","Enabled","CM_Enabled",""
"a0EHo00001ZYk0LMAT","005Ho00000AXM6UIAX","","CFG-CV00014442","","","Change Memo","CM_Name","","Change Memo","CM_Name",""
"a0EHo00001ZYk0SMAT","005Ho00000AXM6UIAX","","CFG-CV00014449","","","Loan Stage","Closed","","Booked","Closed",""
"a0EHo00001ZYk0RMAT","005Ho00000AXM6UIAX","","CFG-CV00014448","","","Loan Stage","Complete","","Complete","Complete",""
"a0EHo00001ZYk0MMAT","005Ho00000AXM6UIAX","","CFG-CV00014443","","","General","CreditRole","","Credit","CreditRole",""
"a0EHo00001ZYk0mMAD","005Ho00000AXM6UIAX","","CFG-CV00014469","","","Delete_Versions_Allowed","ALL","","LATEST","DELETE_VER_ALLOWED",""
"a0EHo00001ZYk0dMAD","005Ho00000AXM6UIAX","","CFG-CV00014460","","","Delete_Feature_Enabled","ALL","","Enabled","DEL_FEATURE_ENABLE",""
"a0EHo00001ZYk0eMAD","005Ho00000AXM6UIAX","","CFG-CV00014461","","","Stages_Deletion_Allowed","ALL","","Qualification,Booked","DEL_STAGES_ALLOWED",""
"a0EHo00001ZYk0fMAD","005Ho00000AXM6UIAX","","CFG-CV00014462","","","Status_Deletion_Allowed","ALL","","Open","DEL_STATUS_ALLOWED",""
"a0EHo00001ZYk0KMAT","005Ho00000AXM6UIAX","","CFG-CV00014441","","","Document Manager","DM_AmzOrgBucketName","","","DM_OrgBucketName",""
"a0EHo00001ZYk0JMAT","005Ho00000AXM6UIAX","","CFG-CV00014439","","","Document Manager","DM_ReviewerRoles","","nCino Administrator","DM_ReviewerRoles",""
"a0EHo00001ZYk0IMAT","005Ho00000AXM6UIAX","","CFG-CV00014440","","","Loan Status","Declined","","Declined","Declined",""
