"Id","OwnerId","IsDeleted","Name","LLC_BI__Active__c","LLC_BI__Advance_Rate__c","LLC_BI__Collateral_Code__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Manufactured_Home__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Start_Date__c","LLC_BI__Subtype__c","LLC_BI__Type__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__lookupKey__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Highest_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Parent_Type__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","LLC_BI__Auto_Update_Collateral_Value__c","LLC_BI__Primary_Valuation_Sources__c","LLC_BI__Valuation_Field_Set__c","nPortal__OA_Collateral_Image__c","LLC_BI__Category__c","LLC_BI__Group_Type__c","nPortal__OA_Collateral_Name__c","nPortal__OA_Collateral_Type_Display_Field_Set__c"
"a1xbn000001eQKzAAM","005bn000003k2JdAAI","","Real Estate-Construction","","80.0","","false","","","false","","2023-11-08","Construction","Real Estate","670B7B","fff","custom/custom24","a1x5f000000mHAIAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Real_Estate"
"a1xbn000001eQL0AAM","005bn000003k2JdAAI","","Titled-Motor Vehicle","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-11-08","Motor Vehicle","Titled","Ba202E","fff","custom/custom31","a1x5f000000mHAJAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Titled"
"a1xbn000001eQL3AAM","005bn000003k2JdAAI","","Titled-Other Titled","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-11-08","Other Titled","Titled","Ba202E","fff","custom/custom31","a1x5f000000mHANAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Titled"
"a1xbn000001eQL4AAM","005bn000003k2JdAAI","","UCC-Inventory","","80.0","","false","","","false","","2023-11-08","Inventory","UCC","F1B643","fff","custom/custom18","a1x5f000000mHAOAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","Inventory","SBL_OA_UCC"
"a1xbn000001eQL5AAM","005bn000003k2JdAAI","","UCC-Equipment","","80.0","","false","","","false","","2023-11-08","Equipment","UCC","F1B643","fff","custom/custom18","a1x5f000000mHAQAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","Equipment","SBL_OA_UCC"
"a1xbn000001eQL7AAM","005bn000003k2JdAAI","","UCC-Fixtures","","80.0","","false","","","false","","2023-11-08","Fixtures","UCC","F1B643","fff","custom/custom18","a1x5f000000mHASAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","Fixtures","SBL_OA_UCC"
"a1xbn000001eQL8AAM","005bn000003k2JdAAI","","Real Estate-1-4 Family","","80.0","","false","","","false","","2023-08-15","1-4 Family","Real Estate","670B7B","fff","custom/custom24","a1x5f000000mHBBAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Real_Estate"
"a1xbn000001eQLKAA2","005bn000003k2JdAAI","","UCC-Accounts","","80.0","","false","","","false","","2023-08-15","Accounts","UCC","F1B643","fff","custom/custom18","a1x5f000000mHBRAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","Accounts Receivables","SBL_OA_UCC"
"a1xbn000001eQLLAA2","005bn000003k2JdAAI","","UCC-General Intangibles","","80.0","","false","","","false","","2023-08-15","General Intangibles","UCC","F1B643","fff","custom/custom18","a1x5f000000mHBTAA2","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","General Intangibles / All Business Assets","SBL_OA_UCC"
"a1xbn000001eQLTAA2","005bn000003k2JdAAI","","Real Estate-Multi-Family","","80.0","","false","","","false","","2023-08-15","Multi-Family","Real Estate","670B7B","fff","custom/custom24","a1x5f000000mHBdAAM","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Real_Estate"
"a1xbn000001eQLYAA2","005bn000003k2JdAAI","","Real Estate-Office","","80.0","","false","","","false","","2023-08-15","Office","Real Estate","670B7B","fff","custom/custom24","a1x5f000000mHBiAAM","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","","","SBL_OA_Real_Estate"
