"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a2Bbn000000J52WEAS","005bn000003k2JdAAI","","HVCRE","","42088290342052409","false","false","true","","","","","","","","false",""
"a2Bbn000000LQnVEAW","005bn000003k2JdAAI","","DAO-Individual-KYC","dao-ind-kyc","42109377760315962","false","false","true","","dao-ind-kyc","","Individual Account","","","","true",""
"a2Bbn000000LQnZEAW","005bn000003k2JdAAI","","Retail Loan ADD","","42161599347242956","false","false","true","","","","","","","","false",""
"a2Bbn000000J52aEAC","005bn000003k2JdAAI","","HMDA Questionnaire","","42198546854157256","false","false","true","","","","","","","","false",""
"a2Bbn000000LQnXEAW","005bn000003k2JdAAI","","ODAO- Business KYC","odao-bus-kyc","42245829912861432","false","false","true","","odao-bus-kyc","","Business Account","","","","true",""
"a2Bbn000000J52bEAC","005bn000003k2JdAAI","","Individual KYC","","42245838511199639","false","false","true","","","","","","","","false",""
"a2Bbn000000J52UEAS","005bn000003k2JdAAI","","Reg O Loan Questionnaire","","42403246748782453","false","false","true","","","","","","","","false",""
"a2Bbn000000J52VEAS","005bn000003k2JdAAI","","Reg W","","42609568878702857","false","false","true","","","","","","","","false",""
"a2Bbn000000J52XEAS","005bn000003k2JdAAI","","CRA","","42628075973481801","false","false","true","","","","","","","","false",""
"a2Bbn000000LQnYEAW","005bn000003k2JdAAI","","Loan Gold Questions","","42662481910622078","false","false","true","","","","","","","","false",""
"a2Bbn000000LQnWEAW","005bn000003k2JdAAI","","DAO- Individual-Account Due Diligence","dao-ind-add","42677444022408553","false","false","true","","dao-ind-add","","Deposit","","","","true",""
"a2Bbn000000J52cEAC","005bn000003k2JdAAI","","Business KYC","bus-kyc","42940369988812827","false","false","true","","","","","","","","false",""
"a2Bbn000000KME5EAO","005bn000003k2JdAAI","","Small Business Loan - Business - KYC","small-business-loan-bus-kyc","small-business-loan-bus-kyc","false","false","true","","","Online Application","Loan","","","","true",""
