"Id","OwnerId","IsDeleted","Name","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2ybn000004BhvgAAC","005bn000003k2JdAAI","","OR-000228","equal to","a30bn000004af6dAAA","a2zbn000000DogxAAC","a30bn000004af68AAA","157414416421196833"
"a2ybn000004BhvXAAS","005bn000003k2JdAAI","","OR-000219","equal to","a30bn000004af6TAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","167239791704037961"
"a2ybn000004BhveAAC","005bn000003k2JdAAI","","OR-000226","equal to","a30bn000004af6ZAAQ","a2zbn000000DogxAAC","a30bn000004af68AAA","337065213448562634"
"a2ybn000004BhviAAC","005bn000003k2JdAAI","","OR-000230","equal to","a30bn000004af6XAAQ","a2zbn000000DohOAAS","a30bn000004af67AAA","369445451405573998"
"a2ybn000004BhvfAAC","005bn000003k2JdAAI","","OR-000227","equal to","a30bn000004af6cAAA","a2zbn000000DogxAAC","a30bn000004af68AAA","402593914880540994"
"a2ybn000004BhvrAAC","005bn000003k2JdAAI","","OR-000239","equal to","a30bn000004af6hAAA","a2zbn000000Doi8AAC","a30bn000004af6gAAA","42017805827372123"
"a2ybn000004xWWGAA2","005bn000003k2JdAAI","","OR-000251","equal to","a30bn000005Gdk8AAC","a2zbn000000FVMtAAO","a30bn000005Gdk7AAC","42064026548812802"
"a2ybn000004BhvzAAC","005bn000003k2JdAAI","","OR-000247","equal to","a30bn000004af6AAAQ","a2zbn000000Doi0AAC","a30bn000004af6kAAA","42086017857468942"
"a2ybn000004BhvkAAC","005bn000003k2JdAAI","","OR-000232","equal to","a30bn000004af5nAAA","a2zbn000000DofgAAC","a30bn000004af6EAAQ","42104740385859730"
"a2ybn000004BhvsAAC","005bn000003k2JdAAI","","OR-000240","equal to","a30bn000004af6iAAA","a2zbn000000DohtAAC","a30bn000004af6hAAA","42172802895162931"
"a2ybn000004BhvyAAC","005bn000003k2JdAAI","","OR-000246","equal to","a30bn000004af6lAAA","a2zbn000000DohzAAC","a30bn000004af6kAAA","42193590832606361"
"a2ybn000004BhvnAAC","005bn000003k2JdAAI","","OR-000235","equal to","a30bn000004af6AAAQ","a2zbn000000Doi4AAC","a30bn000004af6eAAA","42215033561654427"
"a2ybn000004BhvqAAC","005bn000003k2JdAAI","","OR-000238","equal to","a30bn000004af6AAAQ","a2zbn000000Doi7AAC","a30bn000004af6gAAA","42221193512321666"
"a2ybn000004xWWKAA2","005bn000003k2JdAAI","","OR-000255","equal to","a30bn000005GdkFAAS","a2zbn000000FVN2AAO","a30bn000005GdkEAAS","42229084093957598"
"a2ybn000004xWWJAA2","005bn000003k2JdAAI","","OR-000254","equal to","a30bn000005GdkGAAS","a2zbn000000FVN2AAO","a30bn000005GdkEAAS","42313234671225807"
"a2ybn000004BhvoAAC","005bn000003k2JdAAI","","OR-000236","equal to","a30bn000004af6AAAQ","a2zbn000000Doi5AAC","a30bn000004af6fAAA","42372371951429361"
"a2ybn000004xWWIAA2","005bn000003k2JdAAI","","OR-000253","equal to","a30bn000005GdkAAAS","a2zbn000000FVMuAAO","a30bn000005Gdk9AAC","42413896844418967"
"a2ybn000004Bhw1AAC","005bn000003k2JdAAI","","OR-000249","equal to","a30bn000004af6AAAQ","a2zbn000000Doi2AAC","a30bn000004af6lAAA","42468387247652216"
"a2ybn000004BhvvAAC","005bn000003k2JdAAI","","OR-000243","equal to","a30bn000004af6AAAQ","a2zbn000000DohwAAC","a30bn000004af6iAAA","42501867452139735"
"a2ybn000004xWWHAA2","005bn000003k2JdAAI","","OR-000252","equal to","a30bn000005Gdk9AAC","a2zbn000000FVMtAAO","a30bn000005Gdk7AAC","42554915819931925"
"a2ybn000004BhvlAAC","005bn000003k2JdAAI","","OR-000233","equal to","a30bn000004af6FAAQ","a2zbn000000DofgAAC","a30bn000004af6EAAQ","42614734659258523"
"a2ybn000004ZoaqAAC","005bn000003k2JdAAI","","OR-000250","equal to","a30bn000004w387AAA","a2zbn000000EcLdAAK","a30bn000004w386AAA","42667413908385436"
"a2ybn000004BhvpAAC","005bn000003k2JdAAI","","OR-000237","equal to","a30bn000004af6gAAA","a2zbn000000Doi6AAC","a30bn000004af6fAAA","42748404248800057"
"a2ybn000004BhvuAAC","005bn000003k2JdAAI","","OR-000242","equal to","a30bn000004af5jAAA","a2zbn000000DohvAAC","a30bn000004af6iAAA","42764744764896710"
"a2ybn000004Bhw0AAC","005bn000003k2JdAAI","","OR-000248","equal to","a30bn000004af5jAAA","a2zbn000000Doi1AAC","a30bn000004af6lAAA","42817339260416303"
"a2ybn000004xWWMAA2","005bn000003k2JdAAI","","OR-000257","equal to","a30bn000005Gdk6AAC","a2zbn000000FVNDAA4","a30bn000005GdkKAAS","42820878331447219"
"a2ybn000004BhvmAAC","005bn000003k2JdAAI","","OR-000234","equal to","a30bn000004af6fAAA","a2zbn000000Doi3AAC","a30bn000004af6eAAA","42842234031549797"
"a2ybn000004xWWLAA2","005bn000003k2JdAAI","","OR-000256","equal to","a30bn000005GdkHAAS","a2zbn000000FVN2AAO","a30bn000005GdkEAAS","42918585451623218"
"a2ybn000004BhvtAAC","005bn000003k2JdAAI","","OR-000241","equal to","a30bn000004af6jAAA","a2zbn000000DohuAAC","a30bn000004af6hAAA","42920767451520855"
"a2ybn000004BhvxAAC","005bn000003k2JdAAI","","OR-000245","equal to","a30bn000004af6kAAA","a2zbn000000DohyAAC","a30bn000004af6jAAA","42940642738627721"
"a2ybn000004BhvwAAC","005bn000003k2JdAAI","","OR-000244","equal to","a30bn000004af5jAAA","a2zbn000000DohxAAC","a30bn000004af6jAAA","42977459294331486"
"a2ybn000004BhvYAAS","005bn000003k2JdAAI","","OR-000220","equal to","a30bn000004af6UAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","476271547201690502"
"a2ybn000004BhvbAAC","005bn000003k2JdAAI","","OR-000223","equal to","a30bn000004af6YAAQ","a2zbn000000DogxAAC","a30bn000004af68AAA","505525074955899211"
"a2ybn000004BhvcAAC","005bn000003k2JdAAI","","OR-000224","equal to","a30bn000004af6bAAA","a2zbn000000DogxAAC","a30bn000004af68AAA","587205368299443070"
"a2ybn000004BhvaAAC","005bn000003k2JdAAI","","OR-000222","equal to","a30bn000004af6PAAQ","a2zbn000000DogZAAS","a30bn000004af6OAAQ","679581452003245025"
"a2ybn000004BhvUAAS","005bn000003k2JdAAI","","OR-000216","equal to","a30bn000004af6LAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","696948244045324971"
"a2ybn000004BhvdAAC","005bn000003k2JdAAI","","OR-000225","equal to","a30bn000004af6aAAA","a2zbn000000DogxAAC","a30bn000004af68AAA","741645842906899069"
"a2ybn000004BhvhAAC","005bn000003k2JdAAI","","OR-000229","equal to","a30bn000004af6VAAQ","a2zbn000000Doh7AAC","a30bn000004af62AAA","768343726252058932"
"a2ybn000004BhvTAAS","005bn000003k2JdAAI","","OR-000215","equal to","a30bn000004af6RAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","798087243795497386"
"a2ybn000004BhvjAAC","005bn000003k2JdAAI","","OR-000231","not equal to","a30bn000004af6YAAQ","a2zbn000000DohdAAC","a30bn000004af6ZAAQ","846421204813844502"
"a2ybn000004BhvZAAS","005bn000003k2JdAAI","","OR-000221","equal to","a30bn000004af6KAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","909295577383983993"
"a2ybn000004BhvVAAS","005bn000003k2JdAAI","","OR-000217","equal to","a30bn000004af6MAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","954304745233254588"
"a2ybn000004BhvWAAS","005bn000003k2JdAAI","","OR-000218","equal to","a30bn000004af6SAAQ","a2zbn000000Dog1AAC","a30bn000004af6JAAQ","996790203376396096"
"a2ybn000004BhuuAAC","005bn000003k2JdAAI","","OR-000180","equal to","a30bn000004af6FAAQ","a2zbn000000DofaAAC","a30bn000004af6BAAQ","a2ybn000004Bhw2AAC"
"a2ybn000004BhusAAC","005bn000003k2JdAAI","","OR-000177","equal to","a30bn000004af6FAAQ","a2zbn000000DofCAAS","a30bn000004af5mAAA","a2ybn000004Bhw3AAC"
"a2ybn000004BhurAAC","005bn000003k2JdAAI","","OR-000178","equal to","a30bn000004af6DAAQ","a2zbn000000DofZAAS","a30bn000004af5mAAA","a2ybn000004Bhw4AAC"
"a2ybn000004BhutAAC","005bn000003k2JdAAI","","OR-000179","equal to","a30bn000004af6FAAQ","a2zbn000000DofcAAC","a30bn000004af6CAAQ","a2ybn000004Bhw5AAC"
"a2ybn000004BhuxAAC","005bn000003k2JdAAI","","OR-000184","equal to","a30bn000004af6BAAQ","a2zbn000000DoffAAC","a30bn000004af6DAAQ","a2ybn000004Bhw6AAC"
"a2ybn000004BhuvAAC","005bn000003k2JdAAI","","OR-000181","equal to","a30bn000004af6CAAQ","a2zbn000000DofbAAC","a30bn000004af6BAAQ","a2ybn000004Bhw7AAC"
"a2ybn000004BhuwAAC","005bn000003k2JdAAI","","OR-000182","equal to","a30bn000004af6EAAQ","a2zbn000000DofdAAC","a30bn000004af6CAAQ","a2ybn000004Bhw8AAC"
"a2ybn000004BhuyAAC","005bn000003k2JdAAI","","OR-000183","equal to","a30bn000004af6FAAQ","a2zbn000000DofeAAC","a30bn000004af6DAAQ","a2ybn000004Bhw9AAC"
"a2ybn000004BhuzAAC","005bn000003k2JdAAI","","OR-000185","equal to","a30bn000004af6GAAQ","a2zbn000000DofiAAC","a30bn000004af5uAAA","a2ybn000004BhwAAAS"
"a2ybn000004Bhv0AAC","005bn000003k2JdAAI","","OR-000186","equal to","a30bn000004af6GAAQ","a2zbn000000DofjAAC","a30bn000004af5uAAA","a2ybn000004BhwBAAS"
"a2ybn000004Bhv1AAC","005bn000003k2JdAAI","","OR-000187","equal to","a30bn000004af6GAAQ","a2zbn000000DofkAAC","a30bn000004af5uAAA","a2ybn000004BhwCAAS"
"a2ybn000004Bhv2AAC","005bn000003k2JdAAI","","OR-000188","equal to","a30bn000004af5vAAA","a2zbn000000DofKAAS","a30bn000004af5uAAA","a2ybn000004BhwDAAS"
"a2ybn000004Bhv3AAC","005bn000003k2JdAAI","","OR-000189","equal to","a30bn000004af6GAAQ","a2zbn000000DoflAAC","a30bn000004af5vAAA","a2ybn000004BhwEAAS"
"a2ybn000004Bhv5AAC","005bn000003k2JdAAI","","OR-000190","equal to","a30bn000004af5wAAA","a2zbn000000DofLAAS","a30bn000004af5vAAA","a2ybn000004BhwFAAS"
"a2ybn000004Bhv4AAC","005bn000003k2JdAAI","","OR-000191","equal to","a30bn000004af6GAAQ","a2zbn000000DofmAAC","a30bn000004af5wAAA","a2ybn000004BhwGAAS"
"a2ybn000004Bhv6AAC","005bn000003k2JdAAI","","OR-000192","equal to","a30bn000004af5xAAA","a2zbn000000DofMAAS","a30bn000004af5wAAA","a2ybn000004BhwHAAS"
