"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD000001jcGfYAI","005al00000RVcKvAAL","false","nSight Financial","2026-04-08T06:42:51.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00005v3RYB2A2","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WD0000027UUrYAM","005al00000RVcKvAAL","false","Summit Financial Group","2026-06-22T16:24:31.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00006Wc8XY2AZ","/summitfinancial","Summit Financial Client Hub","0DB5f000000KLMNO","D5G8J2L4Q7V1Z9X6F","D5G8J2L4Q7V1Z9X6F","LLC_BI__Institution_Manager",""
"a31WD0000027UUsYAM","005al00000RVcKvAAL","false","First National Bank","2026-06-22T16:24:31.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00006Wc8XV2AZ","/firstnational","First National Community Portal","0DB5f000000XYZAB","H7K2M9R4P1N8V3Q6X","H7K2M9R4P1N8V3Q6X","LLC_BI__Institution_Admin",""
"a31WD000001mGumYAE","005al00000RVcKvAAL","false","First National Bank","2026-04-19T07:27:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060BZUf2AO","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WD000001mGunYAE","005al00000RVcKvAAL","false","Heritage Credit Union","2026-04-19T07:27:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060BZUd2AO","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WD000001mGukYAE","005al00000RVcKvAAL","false","Midwest Savings Bank","2026-04-19T07:27:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060BZUe2AO","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WD000001mGulYAE","005al00000RVcKvAAL","false","Pacific Coast Financial","2026-04-19T07:27:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060BZUb2AO","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WD000001mGujYAE","005al00000RVcKvAAL","false","Summit Federal Bank","2026-04-19T07:27:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060BZUc2AO","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WD000001n6IEYAY","005al00000RVcKvAAL","false","First National Bank","2026-04-22T11:14:43.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mC4w2AE","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WD000001n6IFYAY","005al00000RVcKvAAL","false","Heritage Credit Union","2026-04-22T11:14:43.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mC4x2AE","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WD000001mJ1QYAU","005al00000RVcKvAAL","false","First National Bank","2026-04-19T11:32:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060GiaB2AS","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WD000001mJ1RYAU","005al00000RVcKvAAL","false","Heritage Credit Union","2026-04-19T11:32:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000060GiaC2AS","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
"a31WD000001mJ1OYAU","005al00000RVcKvAAL","false","Summit Commercial Lending","2026-04-19T11:32:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mC4y2AE","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender",""
"a31WD000001mJ1PYAU","005al00000RVcKvAAL","false","Heritage Mortgage Corp","2026-04-19T11:32:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mC4z2AE","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator",""
"a31WD000001mJ1NYAU","005al00000RVcKvAAL","false","Westlake Trust & Wealth","2026-04-19T11:32:38.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mByh2AE","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor",""
"a31WD000001n6IDYAY","005al00000RVcKvAAL","false","Pacific Trust Credit Union","2026-04-22T11:14:43.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD000061mC4v2AE","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access",""
"a31WD0000027UUtYAM","005al00000RVcKvAAL","false","Valley Commerce Bank","2026-06-22T16:24:31.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00006Wc8XZ2AZ","/valleycommerce","Valley Commerce Business Portal","0DB5f000000PQRST","M1N4T7Y2H5K8P3W6B","M1N4T7Y2H5K8P3W6B","LLC_BI__Community_Admin",""
"a31WD0000027UUuYAM","005al00000RVcKvAAL","false","Heartland Savings Bank","2026-06-22T16:24:31.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00006Wc8XX2AZ","/heartlandsavings","Heartland Savings Online","0DB5f000000FGHIJ","R8P4N1X7B3K6M9S2Y","R8P4N1X7B3K6M9S2Y","LLC_BI__Institution_Read_Only",""
"a31WD0000027UUvYAM","005al00000RVcKvAAL","false","Pacific Coast Credit Union","2026-06-22T16:24:31.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","005al00000RVcKvAAL","2026-07-16T14:38:52.000Z","a0CWD00006Wc8XW2AZ","/pacificcoast","Pacific Coast Member Portal","0DB5f000000ABCDE","W3T6L9F2D5A8C1G4J","W3T6L9F2D5A8C1G4J","LLC_BI__Community_User",""
