"Id","OwnerId","IsDeleted","Name","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD000001HFzlYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","01081666029078575"
"a0bWD000001HFzmYAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","01681619447516419"
"a0bWD000001HFznYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","03681641354326563"
"a0bWD000001HFzoYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04001641831942815"
"a0bWD000001HFzpYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04271641831942814"
"a0bWD000001HFzqYAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","04431620937673263"
"a0bWD000001HFzrYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06041619447516421"
"a0bWD000001HGQmYAO","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06771663700626753"
"a0bWD000001HFzsYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06951620937673263"
"a0bWD000001HFztYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","07351640791249090"
"a0bWD000001HHCZYA4","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","0A6B1D582F6E404D876831747D6E7A24"
"a0bWD000001HHCaYAO","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","0F3F3A611F244D5C973C096A301A0440"
"a0bWD000001HFzuYAG","005al00000RVcKvAAL","false","a2Cbn000002Vb7P","","Html.Layouts.TableLayout","","","","1.193733913374961"
"a0bWD000001HGQnYAO","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","1.95854780623117E"
"a0bWD000001HFzvYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","11821663700626751"
"a0bWD000001HFzwYAG","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","12171602764632749"
"a0bWD000001HFzxYAG","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","12551620937673259"
"a0bWD000001HFzyYAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","12931640206780120"
"a0bWD000001HFzzYAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","13621640791249091"
"a0bWD000001HG00YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14301640791249090"
"a0bWD000001HG01YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14431560278867960"
"a0bWD000001HG02YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","15531663700626749"
"a0bWD000001HG03YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","16931619447516420"
"a0bWD000001HG04YAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","16941567002572494"
"a0bWD000001HG05YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","17201666029078572"
"a0bWD000001HG06YAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","18171640791249089"
"a0bWD000001HG07YAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","18881663700626752"
"a0bWD000001HG08YAG","005al00000RVcKvAAL","false","TableLayout","","Html.Layouts.TableLayout","","","","19081620937673264"
"a0bWD000001HG09YAG","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","19191641354326565"
"a0bWD000001HG0AYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","19751663700626753"
"a0bWD000001HG0BYAW","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","19811666029078570"
"a0bWD000001HG0CYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","2.721376314360757"
"a0bWD000001HG0DYAW","005al00000RVcKvAAL","false","a2Cbn000002Vb76","","Html.Layouts.NoLayout","","","","2.995585592039385"
"a0bWD000001HG0EYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","20471666029078577"
"a0bWD000001HG0FYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","21931701790672164"
"a0bWD000001HG0GYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","22451602764632751"
"a0bWD000001HG0HYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","23381560278867959"
"a0bWD000001HG0IYAW","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","24071640791249091"
"a0bWD000001HG0JYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","25521641354326564"
"a0bWD000001HG0KYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","26471641831942812"
"a0bWD000001HG0LYAW","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","26531641354326563"
"a0bWD000001HG0MYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","26681663700626752"
"a0bWD000001HG0NYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","27241641354326566"
"a0bWD000001HG0OYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","28431666029078571"
"a0bWD000001HHCbYAO","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","2C200A0F4B184964B07E2873243D2A40"
"a0bWD000001HGQoYAO","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","31521663700626754"
"a0bWD000001HG0PYAW","005al00000RVcKvAAL","false","NoLayout","","Html.Layouts.NoLayout","","","","32101620937673259"
"a0bWD000001HG0QYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","32291619447516420"
"a0bWD000001HG0RYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","33181640791249088"
"a0bWD000001HG0SYAW","005al00000RVcKvAAL","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","33721619447516419"
"a0bWD000001HG0TYAW","005al00000RVcKvAAL","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","34791641348182005"
