"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c","AutorabitExtId__c","YM_ExternalIDDestination__c","YM_ExternalIDSource__c"
"a1WWD00000362DX2AY","005al00000RVvFOAA1","false","LLC BI  Budget 002-0912e8","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001906756237248","","","","","","","","0.0","0.0","","",""
"a1WWD00000362De2AI","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002253202969028","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJx2AM","005al00000RVcKvAAL","false","test1","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004970698759921","","","","","","","","0.0","0.0","","",""
"a1WWD00000365oB2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 005-854d6d","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008272306958224","","","","","","","","0.0","0.0","","",""
"a1WWD00000365oE2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 008-248f83","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008348863296313","","","","","","","","0.0","0.0","","",""
"a1WWD0000036aYg2AI","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009363604646049","","","","","","","","0.0","0.0","","",""
"a1WWD0000035xCG2AY","005al00000RVvFOAA1","false","LLC BI  Budget 003-c93a45","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011220166745896","","","","","","","","0.0","0.0","","",""
"a1WWE000005dB9g2AE","005al00000RVcKvAAL","false","a1WWD000002Vb0a","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T09:45:54.000Z","005al00000RVvFOAA1","2026-09-04T09:45:57.000Z","","","","","","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013481852284536","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAV2A2","005al00000RVcKvAAL","false","nov24","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","","this is a description from me","true","false","0.0","4532.0","213.0","0.0","0.0","0.0","0.0","42015382099793331","2127.6995","0.0","0.0","0.0","100.0","-2027.6995","0.0","213.0","-4319.0","","",""
"a1WWD0000035UtW2AU","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42017076570010317","","","","","","","","0.0","0.0","","",""
