"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c","AutorabitExtId__c","YM_ExternalIDSource__c"
"a1WWE000005dchR2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 002-0912e8","2026-09-03T09:30:31.000Z","005al00000RVvFOAA1","2026-09-03T09:30:31.000Z","005al00000RVvFOAA1","2026-09-03T09:30:31.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001906756237248","","","","","","","","0.0","0.0","",""
"a1WWE000005dchY2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","2026-09-03T09:30:31.000Z","005al00000RVvFOAA1","2026-09-03T09:30:31.000Z","005al00000RVvFOAA1","2026-09-03T09:30:31.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002253202969028","","","","","","","","0.0","0.0","",""
"a1WWE000005dchy2AA","005al00000RVvFOAA1","false","LLC BI  Budget 005-854d6d","2026-09-03T17:30:27.000Z","005al00000RVvFOAA1","2026-09-03T17:30:27.000Z","005al00000RVvFOAA1","2026-09-03T17:30:27.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008272306958224","","","","","","","","0.0","0.0","",""
"a1WWE000005dci12AA","005al00000RVvFOAA1","false","LLC BI  Budget 008-248f83","2026-09-03T17:30:27.000Z","005al00000RVvFOAA1","2026-09-03T17:30:27.000Z","005al00000RVvFOAA1","2026-09-03T17:30:27.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008348863296313","","","","","","","","0.0","0.0","",""
"a1WWE000005dcj02AA","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","2026-09-04T03:30:23.000Z","005al00000RVvFOAA1","2026-09-04T03:30:23.000Z","005al00000RVvFOAA1","2026-09-04T03:30:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009363604646049","","","","","","","","0.0","0.0","",""
"a1WWE000005dcgU2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 003-c93a45","2026-09-02T21:30:06.000Z","005al00000RVvFOAA1","2026-09-02T21:30:06.000Z","005al00000RVvFOAA1","2026-09-02T21:30:06.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011220166745896","","","","","","","","0.0","0.0","",""
"a1WWE000005dcfm2AA","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","2026-09-02T11:30:03.000Z","005al00000RVvFOAA1","2026-09-02T11:30:03.000Z","005al00000RVvFOAA1","2026-09-02T11:30:03.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42017076570010317","","","","","","","","0.0","0.0","",""
"a1WWE000005dch22AA","005al00000RVvFOAA1","false","LLC BI  Budget 007-ed7281","2026-09-03T03:30:03.000Z","005al00000RVvFOAA1","2026-09-03T03:30:03.000Z","005al00000RVvFOAA1","2026-09-03T03:30:03.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42020931794699530","","","","","","","","0.0","0.0","",""
"a1WWE000005dchM2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 007-ed7281","2026-09-03T07:30:08.000Z","005al00000RVvFOAA1","2026-09-03T07:30:08.000Z","005al00000RVvFOAA1","2026-09-03T07:30:08.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42031437603532531","","","","","","","","0.0","0.0","",""
"a1WWE000005dciO2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 001-3b8992","2026-09-03T21:30:05.000Z","005al00000RVvFOAA1","2026-09-03T21:30:05.000Z","005al00000RVvFOAA1","2026-09-03T21:30:05.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42033145547390041","","","","","","","","0.0","0.0","",""
