"Id","OwnerId","IsDeleted","Name","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c","nPortal__Picklist_Buttons_Enabled__c"
"a3Tbn000000MFQTEA4","005bn000003k2JdAAI","","FC-000129","","","","","LLC_BI__Total_Direct_Exposure__c","","false","","","false","true","false","","","a2Fbn000000CzGnEAK","","false","","04891663700626156","Account","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBrEAO","005bn000003k2JdAAI","","FC-000626","","","","","LLC_BI__Product_Line__c","","false","","","true","false","false","","","a2Fbn000000DvU0EAK","","false","","09451701790671658","LLC_BI__Deposit__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBsEAO","005bn000003k2JdAAI","","FC-000627","","","","","LLC_BI__Product_Type__c","","false","","","true","false","false","","","a2Fbn000000DvU0EAK","","false","","13071701790671659","LLC_BI__Deposit__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFRPEA4","005bn000003k2JdAAI","","FC-000187","","","","","LLC_BI__Income_Type__c","","false","","","false","false","false","","","a2Fbn000000CzH8EAK","","false","","14611666029076797","LLC_BI__Income__c","false","","false","false","","","false","false","false","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","false"
"a3Tbn000000KmWTEA0","005bn000003k2JdAAI","","FC-000013","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3VUEA0","","false","","21378021376520","LLC_BI__Loan__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmWPEA0","005bn000003k2JdAAI","","FC-000088","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3VZEA0","","false","","239625719236459201","LLC_BI__Loan__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6vEAG","005bn000003k2JdAAI","","FC-000320","","","","","LLC_BI__Income_Type__c","","false","","","false","false","false","","","a2Fbn000000DvR5EAK","","false","","42017678075385560","LLC_BI__Income__c","false","","false","false","","","false","false","false","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","false"
"a3Tbn000000LXkBEAW","005bn000003q1G5AAI","","FC-000108","Registered Address Street","","","","SIOC__Address1Line2__c","","false","","","false","false","false","","","a2Fbn000000CX0DEAW","","false","","42036584670590207","SIOC__CompanyInfo__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBNEA4","005bn000003k2JdAAI","","FC-000596","","","","","LLC_BI__Account__c","","false","","","false","true","false","","","a2Fbn000000DvTlEAK","","false","","42044457071802355","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6pEAG","005bn000003k2JdAAI","","FC-000314","","","100","","LLC_BI__Ownership_Percent__c","","false","","","true","false","false","","","a2Fbn000000DvRWEA0","","false","","42044963066399826","LLC_BI__Connection__c","false","","false","false","","","false","false","false","","","false"
