"Id","OwnerId","IsDeleted","Name","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWE000001bbInYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","01081666029078575"
"a0bWE000001bbHiYAI","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","01681619447516419"
"a0bWE000001e5y5YAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","03681641354326563"
"a0bWE000001e5y6YAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04001641831942815"
"a0bWE000001e5y7YAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","04271641831942814"
"a0bWE000001bbHpYAI","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","04431620937673263"
"a0bWE000001bbHPYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06041619447516421"
"a0bWE000001e5wvYAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","06951620937673263"
"a0bWE000001bbILYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","07351640791249090"
"a0bWE000001e5y9YAA","005al00000RVvFOAA1","false","a2Cbn000002Vb7P","","Html.Layouts.TableLayout","","","","1.193733913374961"
"a0bWE000001bbIbYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","11821663700626751"
"a0bWE000001e5reYAA","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","12171602764632749"
"a0bWE000001bbHuYAI","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","12551620937673259"
"a0bWE000001e5yAYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","12931640206780120"
"a0bWE000001bbIPYAY","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","13621640791249091"
"a0bWE000001bbIMYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14301640791249090"
"a0bWE000001bbGTYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","14431560278867960"
"a0bWE000001bbIXYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","15531663700626749"
"a0bWE000001bbHLYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","16931619447516420"
"a0bWE000001bbGeYAI","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","16941567002572494"
"a0bWE000001bbIlYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","17201666029078572"
"a0bWE000001bbIIYAY","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","18171640791249089"
"a0bWE000001bbIdYAI","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","18881663700626752"
"a0bWE000001bbHqYAI","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","19081620937673264"
"a0bWE000001e5yBYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","19191641354326565"
"a0bWE000001bbIgYAI","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","19751663700626753"
"a0bWE000001bbIiYAI","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","19811666029078570"
"a0bWE000001e5yCYAQ","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","2.721376314360757"
"a0bWE000001e5yDYAQ","005al00000RVvFOAA1","false","a2Cbn000002Vb76","","Html.Layouts.NoLayout","","","","2.995585592039385"
"a0bWE000001bbIqYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","20471666029078577"
"a0bWE000001bbKKYAY","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","21931701790672164"
"a0bWE000001e5rfYAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","22451602764632751"
"a0bWE000001bbGVYAY","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","23381560278867959"
"a0bWE000001bbIRYAY","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","24071640791249091"
"a0bWE000001e5yEYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","25521641354326564"
"a0bWE000001e5yFYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","26471641831942812"
"a0bWE000001e5yGYAQ","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","26531641354326563"
"a0bWE000001bbIeYAI","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","26681663700626752"
"a0bWE000001e5yHYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","27241641354326566"
"a0bWE000001bbIkYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","28431666029078571"
"a0bWE000001bbHmYAI","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","32101620937673259"
"a0bWE000001bbHIYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","32291619447516420"
"a0bWE000001bbIGYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","33181640791249088"
"a0bWE000001bbHtYAI","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","33721619447516419"
"a0bWE000001e5yJYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","34791641348182005"
"a0bWE000001e5rgYAA","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","35811602764632751"
"a0bWE000001e5yKYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","36231641831942810"
"a0bWE000001e5yLYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","36601641831942814"
"a0bWE000001e5yMYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","36651641354326566"
"a0bWE000001bbHXYAY","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","36931620937673260"
"a0bWE000001bbHaYAI","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","37061620937673260"
"a0bWE000001bbHJYAY","005al00000RVvFOAA1","false","NoLayout","","Html.Layouts.NoLayout","","","","37721619447516418"
"a0bWE000001e5yNYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","38451641354326565"
"a0bWE000001bbIjYAI","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","39161666029078571"
"a0bWE000001e5yOYAQ","005al00000RVvFOAA1","false","TwoColumnGrid","","Html.Layouts.TwoColumnGrid","","","","40571641831942814"
"a0bWE000001e5yPYAQ","005al00000RVvFOAA1","false","SingleColumnGrid","","Html.Layouts.SingleColumnGrid","","","","41291641348182005"
"a0bWE000001e5yUYAQ","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","42003847141885742"
"a0bWE000001e5yVYAQ","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","42003903540204994"
"a0bWE000001e5yWYAQ","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","42004136659224709"
"a0bWE000001e5yXYAQ","005al00000RVvFOAA1","false","TableLayout","","Html.Layouts.TableLayout","","","","42004280373068350"
