"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000UNVmdYAH","false","Loan Compliance","","","a0sWE000002YqYmYAK","false","false","false","false","","false","true","false","false","false","15.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","000008EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","","",""
"a0qWE00000USgnNYAT","false","Loan","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000009C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000UNVmeYAH","false","Loan Compliance","","","a0sWE000002YqZCYA0","false","false","false","false","","true","true","false","false","false","15.0","slide","true","false","false","false","","true","","","","","a16WE000008toyvYAA","MappedSObjectScreenResource","","","000009EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","","",""
"a0qWE00000USgnOYAT","false","Entity Involvement","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000011C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000USgnPYAT","false","Fee","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000014C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000USgnQYAT","false","Collateral Pledged","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000017C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000USgnRYAT","false","Loan Covenant","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000020C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000USgnSYAT","false","Loan Team Member","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000023C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000USgnTYAT","false","Loan Pricing Information","","","a0sWE000002ZR0MYAW","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000026C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWE00000UydObYAJ","false","Deposit","","","a0sWE000002cb5SYAQ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000030C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
"a0qWE00000UydOcYAJ","false","Entity Involvement","","","a0sWE000002cb5SYAQ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000032C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
