"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a1fWE000002SqvNYAS","005al00000RVvFOAA1","false","8825 Amortization","","","Accounting Grid (Other)","8825_Amorization_ACCTGRD"
"a1fWE000002SqvOYAS","005al00000RVvFOAA1","false","8825 Depreciation","","","Accounting Grid (Other)","8825_Depreciation_ACCTGRD"
"a1fWE000002SqvPYAS","005al00000RVvFOAA1","false","8825 Interest","","","Accounting Grid (Other)","8825_Interest_ACCTGRD"
"a1fWE000002LEf0YAG","005al00000RVvFOAA1","false","8825 Net Rental RE Income","","","Accounting Grid (Other)","8825_Net_Rental_RE_Income_ACCTGRD"
"a1fWE000002LEf1YAG","005al00000RVvFOAA1","false","8825 Total Expenses","","","Accounting Grid (Other)","8825_Total_Expenses_ACCTGRD"
"a1fWE000002LEf2YAG","005al00000RVvFOAA1","false","8825 Total Gross Rents","","","Accounting Grid (Other)","8825_Total_Gross_Rents_ACCTGRD"
"a1fWE000002SqvRYAS","005al00000RVvFOAA1","false","Accounts/Notes Rec - LTP","","","Accounting Grid (Balance Sheet)","AccountsNotes_Rec_LTP_ACCTGRD"
"a1fWE000002LEf3YAG","005al00000RVvFOAA1","false","Accounts Receivable Total Adjust.","","","Accounting Grid (AG Owner Operator)","AccountsReceivable_TotalAdjust_ACCTGRD"
"a1fWE000002SqvSYAS","005al00000RVvFOAA1","false","Accounts Pay Days (excl Depr)","","","Accounting Grid (Ratios/Stats)","Accounts_Pay_Days_excl_Depr_ACCTGRD"
"a1fWE000002SqvTYAS","005al00000RVvFOAA1","false","Accounts Payable-Trade","","","Accounting Grid (Balance Sheet)","Accounts_PayableTrade_ACCTGRD"
"a1fWE000002SqvVYAS","005al00000RVvFOAA1","false","Accounts Payable Days","","","Accounting Grid (Ratios/Stats)","Accounts_Payable_Days_ACCTGRD"
"a1fWE000002SqvWYAS","005al00000RVvFOAA1","false","Accounts Payable - Manual Adjust","","","Accounting Grid (Cash Accounting)","Accounts_Payable_ManualAdjust_ACCTGRD"
"a1fWE000002LEf4YAG","005al00000RVvFOAA1","false","Accounts Payable Total Adjust.","","","Accounting Grid (AG Owner Operator)","Accounts_Payable_TotalAdjust_ACCTGRD"
"a1fWE000002SqvXYAS","005al00000RVvFOAA1","false","Accounts Receivable Trade - CP","","","Accounting Grid (Balance Sheet)","Accounts_Rec_Trade_CP_ACCTGRD"
"a1fWE000002SqvYYAS","005al00000RVvFOAA1","false","Accounts Receivable - Manual Adjust","","","Accounting Grid (Cash Accounting)","Accounts_Receivable_ManualAdjust_ACCTGRD"
"a1fWE000002LEf5YAG","005al00000RVvFOAA1","false","Accrual Cash Avail for Debt Service","","","Accounting Grid (AG Accrual Income Statement)","Accrual_Cash_Avail_for_Debt_Service_ACCTGRD"
"a1fWE000002LEf6YAG","005al00000RVvFOAA1","false","Accrued Interest Total Adjust.","","","Accounting Grid (AG Owner Operator)","AccruedInterest_TotalAdjust_ACCTGRD"
"a1fWE000002SqvZYAS","005al00000RVvFOAA1","false","Accrued Interest - Manual Adjust","","","Accounting Grid (Cash Accounting)","Accrued_Interest_ManualAdjust_ACCTGTD"
"a1fWE000002SqvaYAC","005al00000RVvFOAA1","false","Accrued Payroll Taxes","","","Accounting Grid (Balance Sheet)","Accrued_Payroll_Taxes_ACCTGRD"
"a1fWE000002SqvbYAC","005al00000RVvFOAA1","false","Accum Amort & Impairment","","","Accounting Grid (Balance Sheet)","Accum_Amort_Impairment_ACCTGRD"
"a1fWE000002SqvcYAC","005al00000RVvFOAA1","false","Accum Deprec & Impairment","","","Accounting Grid (Balance Sheet)","Accum_Deprec_Impairment_ACCTGRD"
"a1fWE000002SqvgYAC","005al00000RVvFOAA1","false","Accumulated OCI","","","Accounting Grid (Balance Sheet)","Accumulated_OCI_ACCTGRD"
"a1fWE000002SqviYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. - Accounting Change","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Accounting_Change_ACCTGRD"
"a1fWE000002SqvjYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. - Dividends","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_ACCTGRD"
"a1fWE000002SqvkYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. - Dividends - Stock","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Dividends_Stock_ACCTGRD"
"a1fWE000002SqvlYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. -Â  Other Change","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Other_Change_ACCTGRD"
"a1fWE000002SqvmYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. - Prior Period Adj","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Prior_Period_Adj_ACCTGRD"
"a1fWE000002SqvnYAC","005al00000RVvFOAA1","false","Adj to Retained Earn. - Withdrawals","","","Accounting Grid (Other)","Adj_to_Retained_Earn_Withdrawals_ACCTGRD"
"a1fWE000002SqvpYAC","005al00000RVvFOAA1","false","Advertising And Marketing","","","NOI Statement","Advertising_And_Marketing"
"a1fWE000002SqvvYAC","005al00000RVvFOAA1","false","Amortization 2","","","Accounting Grid (Other)","Amortization_2_ACCTGRD"
"a1fWE000002SqvwYAC","005al00000RVvFOAA1","false","Amortization 2nd Mortgage","","","Accounting Grid (Other)","Amortization_2nd_Mortgage_ACCTGRD"
"a1fWE000002SqvxYAC","005al00000RVvFOAA1","false","Amortization 3","","","Accounting Grid (Other)","Amortization_3_ACCGRD"
"a1fWE000002SqvyYAC","005al00000RVvFOAA1","false","Amortization Expense","","","Accounting Grid (Income Statement)","Amortization_Expense_ACCTGRD"
"a1fWE000002SqvzYAC","005al00000RVvFOAA1","false","Annualized COGS","","","Accounting Grid (Ratios/Stats)","Annualized_COGS_ACCTGRD"
