"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gbn000000K8rZAAS","","a3gbn000000K8wA","a3Ybn0000004xMvEAI","a16bn00000108JBAAY","0bbfd471-90be-4625-9528-07ea47e98f8d"
"a3gbn000000K8mFAAS","","a3gbn000000K8vo","a3Ybn0000004xKcEAI","a16bn00000108IeAAI","1650525e-9034-48c5-9d9e-d7cd7942325a"
"a3gbn000000K8mIAAS","","a3gbn000000K8vr","a3Ybn0000004xKfEAI","a16bn00000108IfAAI","40c1fff2-b11a-4918-b0ae-1fbd47b61c69"
"a3gbn000000K8r7AAC","","a5ybn000000LSMo","a3Ybn0000004xLMEAY","a16bn00000108bPAAQ","42004104699452621"
"a3gbn000000K8qTAAS","","a3gbn000000K8w5","a3Ybn0000004xMmEAI","a16bn00000108aTAAQ","42004961636977045"
"a3gbn000000K8nZAAS","","Book Operating Expenses","a3Ybn0000004xLdEAI","a16bn00000108WEAAY","42011290711115746"
"a3gbn000000K8obAAC","","a5ybn000000LSNX","a3Ybn0000004xKxEAI","a16bn00000108J1AAI","42012167785917882"
"a3gbn000000K8pRAAS","","a5ybn000000LSOO","a3Ybn0000004xLPEAY","a16bn00000108ZiAAI","42012645115220232"
"a3gbn000000K8paAAC","","a5ybn000000LSOV","a3Ybn0000004xMREAY","a16bn00000108ZkAAI","42018811766614810"
"a3gbn000000K8snAAC","","a5ybn000000LSNA","a3Ybn0000004xLDEAY","a16bn00000108d4AAA","42022184342966776"
"a3gbn000000K8ouAAC","","a5ybn000000LSNq","a3Ybn0000004xLKEAY","a16bn00000108X5AAI","42022906345089532"
"a3gbn000000K8s6AAC","","a5ybn000000LSPT","a3Ybn0000004xL8EAI","a16bn00000108gAAAQ","42026472917041212"
"a3gbn000000K8uSAAS","","TotalCurrentAssetsCommTemplate","a3Ybn0000004xKhEAI","a16bn00000108eaAAA","42037145380991856"
"a3gbn000000K8oEAAS","","schccashflow","a3Ybn0000004xM2EAI","a16bn00000108WdAAI","42037937281534068"
"a3gbn000000K8r1AAC","","a5ybn000000LSMj","a3Ybn0000004xLHEAY","a16bn00000108bJAAQ","42038286401474223"
"a3gbn000000K8qYAAS","","a3kbn000000CnQK","a3Ybn0000004xMrEAI","a16bn00000108aaAAA","42039439674578553"
"a3gbn000000K8pkAAC","","Total Other Income","a3Ybn0000004xMWEAY","a16bn00000108ZyAAI","42041407651412534"
"a3gbn000000K8rDAAS","","a5ybn000000LSNG","a3Ybn0000004xLkEAI","a16bn00000108bVAAQ","42042572456978408"
"a3gbn000000K8u0AAC","","a5ybn000000LSQ9","a3Ybn0000004xMJEAY","a16bn00000108e5AAA","42046016267009992"
"a3gbn000000K8qpAAC","","a5ybn000000LSN4","a3Ybn0000004xLREAY","a16bn00000108bAAAQ","42048388067433629"
"a3gbn000000K8ttAAC","","a5ybn000000LSQ1","a3Ybn0000004xMIEAY","a16bn00000108dpAAA","42050351744082340"
"a3gbn000000K8sYAAS","","a5ybn000000LSMx","a3Ybn0000004xLPEAY","a16bn00000108cgAAA","42050553807544192"
"a3gbn000000K8rTAAS","","Book Other Income and Expense","a3Ybn0000004xLWEAY","a16bn00000108btAAA","42051137590623597"
"a3gbn000000K8rjAAC","","a5ybn000000LSPA","a3Ybn0000004xLUEAY","a16bn00000108fNAAQ","42052236131167047"
"a3gbn000000K8rkAAC","","proformadebtservice","a3Ybn0000004xLDEAY","a16bn00000108fOAAQ","42052500396166288"
"a3gbn000000K8sTAAS","","a5ybn000000LSMs","a3Ybn0000004xKlEAI","a16bn00000108cbAAA","42054249331488447"
"a3gbn000000K8pGAAS","","a5ybn000000LSOD","a3Ybn0000004xLhEAI","a16bn00000108XkAAI","42058569784677103"
"a3gbn000000K8toAAC","","a5ybn000000LSPx","a3Ybn0000004xMHEAY","a16bn00000108dkAAA","42058576649492746"
"a3gbn000000K8meAAC","","a3gbn000000K8vu","a3Ybn0000004xKzEAI","a16bn00000108ILAAY","42059762453350825"
"a3gbn000000K8nCAAS","","a5ybn000000LSMy","a3Ybn0000004xKgEAI","a16bn00000108VFAAY","42061992940384417"
"a3gbn000000K8nEAAS","","a5ybn000000LSMz","a3Ybn0000004xKuEAI","a16bn00000108VOAAY","42063360465787223"
"a3gbn000000K8q0AAC","","Net Fixed Assets","a3Ybn0000004xMeEAI","a16bn00000108aDAAQ","42070127839245937"
"a3gbn000000K8nBAAS","","a5ybn000000LSMw","a3Ybn0000004xLOEAY","a16bn00000108VDAAY","42070338554331701"
