"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Grand_Total__c"
"a51WE00001GbjeCYAR","false","Growing Crops - Total Adj.","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","8.75","false","","Growing Crops Change","Standard","016d2a8e-3f2d-4544-9f3f-3f28825f9603","false"
"a51WE00001GbjeDYAR","false","Livestock Inventory - Total Adj.","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","9.6875","false","","Livestock Inventory Change","Standard","08a5945f-4709-433b-b1ec-56425a7efa3b","false"
"a51WE00001GbjeEYAR","false","Accounts Payable - Total Adjust","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","9.990234375","false","","Accounts Payable Change","Standard","27517c44-e256-4580-9e53-d2b1920e0317","false"
"a51WE00001GbjeFYAR","false","Cash After Financing","a55WE000025VlyiYAC","","false","None","Financial","false","false","false","true","false","false","","","","220.0","false","","Cash After Financing","Standard","3.423068353313185","false"
"a51WE00001GbjeGYAR","false","Income Taxes Payable - Total Adjust","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","9.9951171875","false","","Income Taxes Payable Change","Standard","32f979dd-ebaf-473b-a113-653d10211ff7","false"
"a51WE00001GbjeHYAR","false","Other Current Liabilities - Total Adjust","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","9.99755859375","false","","Other Current Liabilities Change","Standard","3ecd0f86-6c20-4755-83f8-0b3483bf1c87","false"
"a51WE00001GbjeIYAR","false","Book Other Income (Expense)","a55WE000025Vlz0YAC","","false","None","Financial","false","false","false","true","false","false","","","","60.0","false","","Book Other Income (Expense)","Standard","42001515854377996","false"
"a51WE00001GbjeJYAR","false","Change in Net Fixed Assets","a55WE00001vjgfPYAQ","","false","None","Financial","false","false","false","true","false","false","","","","11.0","false","","Change in Net Fixed Assets","Standard","42001865691724166","false"
"a51WE00001GbjeKYAR","false","Total Stated Net Worth (subT)","a55WE00001vjgfXYAQ","","false","Total Equity","Financial","true","false","false","true","false","false","","","","50.0","false","","Stated Net Worth (Subtotal)","Standard","42003406963362553","false"
"a51WE00001GbjeLYAR","false","Partial Year Adjustment","a55WE00001vjgfZYAQ","","false","None","Decimal","false","false","false","true","false","false","","","","10.0","false","","Partial Year Adjustment","Standard","42005280418166961","false"
"a51WE00001GbjeMYAR","false","Coverage","a55WE00001vjgeUYAQ","","false","None","Decimal","false","true","false","true","false","false","","","","41.0","false","","Coverage","Standard","42009109441138057","false"
"a51WE00001GbjeNYAR","false","Unexplained Difference","a55WE00001vjgeuYAA","","false","None","Financial","false","false","false","true","true","false","","","","80.0","false","","Balance Check","Standard","42013467159291865","false"
"a51WE00001GbjeOYAR","false","Total Operating Expense","a55WE00001vjgeaYAA","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Operating Expense","Standard","42014494498503595","false"
"a51WE00001GbjePYAR","false","Total Pro Forma DS","a55WE00001vjgejYAA","","false","Debt Service","Financial","false","false","false","true","false","false","","","","30.0","false","","Pro Forma Debt Service","Standard","42017108418753674","false"
"a51WE00001GbjeQYAR","false","Net Farm Income","a55WE000025VlyfYAC","","false","None","Financial","false","false","false","true","false","false","","","","70.0","false","","Farm Income","Standard","42020288825167884","false"
"a51WE00001GbjeRYAR","false","Net Cash Provided by Financing","a55WE000025VlzGYAS","","false","None","Financial","true","false","false","true","false","false","","","","71.0","false","","Cash Provided by Financing","Standard","42020311423315643","false"
"a51WE00001GbjeSYAR","false","Change in Net Intangibles","a55WE00001vjgf7YAA","","false","None","Financial","false","false","false","true","false","false","","","","141.0","false","","Change in Net Intangibles","Standard","42020686727650154","false"
"a51WE00001GbjeTYAR","false","Estimated Value","a55WE00001vjgfjYAA","","false","None","Financial","false","false","false","true","false","false","","","","8000.0","false","","Estimated Value","Standard","42020776820091236","false"
"a51WE00001GbjeUYAR","false","Net Profit/(Loss)","a55WE00001vjgesYAA","","false","None","Financial","true","false","false","true","false","false","","","","70.0","false","","Net Profit/(Loss)","Standard","42020912471766237","false"
"a51WE00001GbjeVYAR","false","Net Cash Income","a55WE00001vjgfUYAQ","","false","None","Financial","true","false","false","true","false","false","","","","100.0","false","","Net Cash Income","Standard","42021911595128920","false"
"a51WE00001GbjeWYAR","false","Total Taxes Paid","a55WE000025VlyuYAC","","false","None","Financial","false","false","false","true","false","false","","","","85.0","false","","Taxes Paid","Standard","42022446136432261","false"
"a51WE00001GbjeXYAR","false","Total Other Non-Current Assets","a55WE000025VlyrYAC","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Other Non-Current Assets","Standard","42024311777662746","false"
"a51WE00001GbjeYYAR","false","Income/(Loss) from REMICS","a55WE000025VlybYAC","","false","None","Financial","false","false","false","false","false","false","","","","50.0","false","","Income/(Loss) from Real Estate Mortgage Investment Conduits","Standard","42026303096664249","false"
"a51WE00001GbjeZYAR","false","Change in Net Intangibles","a55WE000025VlzGYAS","","false","None","Financial","false","false","false","true","false","false","","","","31.0","false","","Change in Net Intangibles","Standard","42026397997138926","false"
"a51WE00001GbjeaYAB","false","Deductions","a55WE000025VlyqYAC","","false","None","Financial","false","false","false","true","false","false","","","","30.0","false","","Deductions","Standard","42027631129189426","false"
