"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWE0000048GDN2A2","005al00000RVvFOAA1","false","1120 S Corp Template","Use this Template for Tax Return Spreading only. 1120 S-Corp with 8825 Schedule and Debt Schedule 2023","","false","false","false","true","","","$","false","","","","00000103_1748_4885"
"a5VWE0000048GDO2A2","005al00000RVvFOAA1","false","Complex Commercial","Commercial Template with Complex Balance Sheet Layout (FLEX) w. Debt Schedule. PSO Master 2023","","false","false","false","true","","","$","true","","","","00000128_A8AC_4419"
"a5VWE0000048GDP2A2","005al00000RVvFOAA1","false","Individual with Cash Flow Schedules","Individual Template with abbreviated Cash Flow Schedules. Final.","","false","false","false","true","","","$","false","","","","00000131_86CD_4675"
"a5VWE0000048GDQ2A2","005al00000RVvFOAA1","false","1065 Partnership Spreads Template","Use this Template for Tax Return Spreading only. 1065 Partnership with 8825 Schedule and Debt Schedule 2023","","false","false","false","true","","","$","false","","","","00000142_4AAC_4737"
"a5VWE0000048GDR2A2","005al00000RVvFOAA1","false","Individual with Full Schedules","Individual FLEX Template Full Schedules","","false","false","false","true","","","$","false","","","","0000014F_5587_4584"
"a5VWE0000048GDS2A2","005al00000RVvFOAA1","false","Commercial Real Estate Analysis (FLEX)","Use this template for Retail, Office, Industrial, Non-Residential Mixed-Use Collateral (Square Footage). Final for PSO Master May 2023","","false","false","false","true","","LLC_BI__Collateral__c","$","true","","","","00000150_0CC9_4520"
"a5VWE0000048GDT2A2","005al00000RVvFOAA1","false","Agriculture Owner/Operator Template","Agriculture Template with Schedules","","false","false","false","true","","","$","true","","","","00000151_9138_4416"
"a5VWE0000048GDU2A2","005al00000RVvFOAA1","false","Small Business","Small Business Precision Template (FLEX). PSO Master 2023","","false","false","false","true","","","$","false","","","","00000171_E3B8_4847"
"a5VWE000003uJeN2AU","005al00000RVvFOAA1","false","Hotel Analysis Template","Use this template for hotel property analysis.","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","04C882A0_6426_4F59"
"a5VWE000003uJeS2AU","005al00000RVvFOAA1","false","Individual (FLEX)","Individual Template (FLEX)","","false","false","false","true","","","$","false","","","","1755293B_6724_4570"
"a5VWE000003uJeX2AU","005al00000RVvFOAA1","false","Complex Commercial FLEX","Commercial Template with Complex Balance Sheet Layout (FLEX)","","false","false","false","true","","","$","true","","","","31186C31_3F7C_486E"
"a5VWE000003uJeY2AU","005al00000RVvFOAA1","false","Residential Real Estate Analysis Template","Use this template for residential real estate analysis.","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","3D1931A5_41B2_4748"
"a5VWE000003uJeb2AE","005al00000RVvFOAA1","false","Small Business (FLEX)","Small Business Precision Template (FLEX)","","false","false","false","true","","","$","false","","","","4D525D4A_264E_4536"
"a5VWE000003uJed2AE","005al00000RVvFOAA1","false","Commercial (FLEX)","Commercial  Precision Template with Simple Balance Sheet Layout (FLEX)","","false","false","false","true","","","$","false","","","","573E2A37_4400_4124"
"a5VWE000003uJef2AE","005al00000RVvFOAA1","false","Mixed-Use Property Analysis Template","Use this template for properties that have multiple types of tenants (commercial, residential, etc).","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","9BF2496F_E6FD_4E11"
"a5VWE000003uJeg2AE","005al00000RVvFOAA1","false","Retail Real Estate Analysis Template","Use this template for retail real estate analysis.","","false","false","false","true","","LLC_BI__Collateral__c","$","false","","","","C6C30EDB_4294_4FA7"
