"Id","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__Data_Source__c","LLC_BI__External_Name__c","LLC_BI__Sort_Order__c","LLC_BI__lookupKey__c","LLC_BI__Data_Source_Section__c"
"a4L4x0000019niLEAQ","","42364002294699506","","","a4N4x0000017jP8EAI","","133.0","00da9372-edee-4f75-afb9-17663af41f0f",""
"a4L4x0000019nbyEAA","","42905215538572986","","","a4N4x0000017jP9EAI","","22.0","011a1929-264c-4256-954b-29e2afab5bb6",""
"a4L4x0000019nc3EAA","","42897503751603072","","","a4N4x0000017jP9EAI","","46.0","012eaf2b-4a3d-4521-b10f-0cc4c8bedaee",""
"a4L4x0000019nd6EAA","","42300348245885256","","","a4N4x0000017jP9EAI","","138.0","023954cf-d9a1-4c8a-95c6-3944a6ac15a2",""
"a4L4x0000019nbLEAQ","","42405149040563109","","","a4N4x0000017jP9EAI","","176.0","02f5d2aa-4984-4f8d-a2d0-47977162ad02",""
"a4L4x0000019niFEAQ","","42708793478122007","","","a4N4x0000017jP8EAI","","127.0","03ddb705-c229-4177-b58a-0ada47bdc753",""
"a4L4x0000019nc6EAA","","42902017503937982","","","a4N4x0000017jP9EAI","","49.0","0402f569-daa8-4879-84a7-2ab58b75341e",""
"a4L4x0000019nh7EAA","","42675576301500911","","","a4N4x0000017jP8EAI","","69.0","04980a54-918b-4487-a02f-7b537fd3bf56",""
"a4L4x0000019njAEAQ","","42629186673622384","","","a4N4x0000017jP8EAI","","53.0","0499e94b-9a52-4e27-a846-0961fffcfa5c",""
"a4L4x0000019nfMEAQ","","f7a6d048-7dfd-40a4-bff4-5c217098be65","","","a4N4x0000017jP7EAI","","72.0","04e9ec52-7d79-4917-bc60-88cb8767f7ee",""
"a4L4x0000019niuEAA","","42617912387046652","","","a4N4x0000017jP8EAI","","46.0","052728eb-b32e-40ec-8a20-61d8013637ff",""
"a4L4x0000019nhLEAQ","","42625837370692353","","","a4N4x0000017jP8EAI","","90.0","0536f0b8-367e-4fb8-956d-367ceeb12a7f",""
"a4L4x0000019nbvEAA","","42601621554412493","","","a4N4x0000017jP9EAI","","19.0","05af1b36-772f-4dcf-be07-051aebbcda0c",""
"a4L4x0000019nepEAA","","42983296632538570","","","a4N4x0000017jP9EAI","","41.0","05c332e7-1cfb-4801-a0c9-0dfe4aae8384",""
