"Id","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__Underwriting_Bundle__c","LLC_BI__Data_Source_Item__c","LLC_BI__Exclude__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c","LLC_BI__externalLookupKey__c"
"a4U4x000001mmQuEAI","","a4U1Y0000008izo","","","a1G4x000000B1pIEAS","a4L4x0000019ne4EAA","false","","002f224d-d2ce-4c06-857f-13e51c4c89e5","002f224d-d2ce-4c06-857f-13e51c4c89e5"
"a4U4x000001mm8wEAA","","a4U1Y0000008iqH","","","a1G4x000000B1pHEAS","a4L4x0000019nfmEAA","false","","0037280a-2f43-4dde-ae11-7ddbe1879905","0037280a-2f43-4dde-ae11-7ddbe1879905"
"a4U4x000001mmHQEAY","","a4U1Y0000008ie0","","","a1G4x000000B1pGEAS","a4L4x0000019ndqEAA","false","","0060f3a9-5165-4a81-9af0-4731939f638b","0060f3a9-5165-4a81-9af0-4731939f638b"
"a4U4x000001mmFmEAI","","a4U1Y0000008idv","","","a1G4x000000B1pGEAS","a4L4x0000019neGEAQ","false","","009d03b7-4c24-4f6f-acf5-1f213e10c830","009d03b7-4c24-4f6f-acf5-1f213e10c830"
"a4U4x000001mmIgEAI","","a4U1Y0000008iex","","","a1G4x000000B1pGEAS","a4L4x0000019nbHEAQ","false","","00a4ac97-af34-4c81-8ccd-8a4c6cbc248f","00a4ac97-af34-4c81-8ccd-8a4c6cbc248f"
"a4U4x000001mmOsEAI","","a4U1Y0000008iyo","","","a1G4x000000B1pIEAS","a4L4x0000019nd7EAA","false","","0123bdca-bd96-4bd4-af7e-03276ac631ed","0123bdca-bd96-4bd4-af7e-03276ac631ed"
"a4U4x000001mm98EAA","","a4U1Y0000008iis","","","a1G4x000000B1pHEAS","a4L4x0000019nibEAA","false","","0155e6fb-65b0-4381-bf2c-9c29b24f8345","0155e6fb-65b0-4381-bf2c-9c29b24f8345"
"a4U4x000001mmIUEAY","","a4U1Y0000008iel","","","a1G4x000000B1pGEAS","a4L4x0000019neOEAQ","false","","01c0cd31-0011-40f4-9123-a4a3eb4b1f01","01c0cd31-0011-40f4-9123-a4a3eb4b1f01"
"a4U4x000001mmN3EAI","","a4U1Y0000008ivV","","","a1G4x000000B1pGEAS","a4L4x0000019nfEEAQ","false","","01dc9299-4491-42e4-b244-037319b5ddac","01dc9299-4491-42e4-b244-037319b5ddac"
"a4U4x000001mmEOEAY","","a4U1Y0000008iml","","","a1G4x000000B1pHEAS","a4L4x0000019ndqEAA","false","","01e79ac1-c744-4dda-9d89-bd98671e73e4","01e79ac1-c744-4dda-9d89-bd98671e73e4"
"a4U4x000001mmLxEAI","","a4U1Y0000008iw1","","","a1G4x000000B1pGEAS","a4L4x0000019nfTEAQ","false","","0200c418-4e5c-4355-8604-050476f4008b","0200c418-4e5c-4355-8604-050476f4008b"
"a4U4x000001mmO9EAI","","a4U1Y0000008ixU","","","a1G4x000000B1pIEAS","a4L4x0000019ncMEAQ","false","","0211d5f4-0081-4a2b-9c85-82a0574e2410","0211d5f4-0081-4a2b-9c85-82a0574e2410"
"a4U4x000001mmNbEAI","","a4U1Y0000008iwr","","","a1G4x000000B1pIEAS","a4L4x0000019nbuEAA","false","","024bf2fe-3eb8-4358-9b33-5161a88d52db","024bf2fe-3eb8-4358-9b33-5161a88d52db"
"a4U4x000001mmLXEAY","","a4U1Y0000008ihS","","","a1G4x000000B1pGEAS","a4L4x0000019nhPEAQ","false","","025347e5-b124-42c8-b072-11cb45fddf3f","025347e5-b124-42c8-b072-11cb45fddf3f"
"a4U4x000001mmQLEAY","","a4U1Y0000008iyQ","","","a1G4x000000B1pIEAS","a4L4x0000019nerEAA","false","","025fcd74-2d37-4f82-84b5-c706c69dcb3a","025fcd74-2d37-4f82-84b5-c706c69dcb3a"
"a4U4x000001mmFfEAI","","a4U1Y0000008idg","","","a1G4x000000B1pGEAS","a4L4x0000019ndhEAA","false","","0263b0ce-ad26-4a9f-8285-8e4638e13018","0263b0ce-ad26-4a9f-8285-8e4638e13018"
"a4U4x000001mmNZEAY","","a4U1Y0000008iwS","","","a1G4x000000B1pGEAS","a4L4x0000019ngAEAQ","false","","02fc9253-ca62-4fab-ac57-c220a77ee567","02fc9253-ca62-4fab-ac57-c220a77ee567"
"a4U4x000001mmGfEAI","","a4U1Y0000008idG","","","a1G4x000000B1pGEAS","a4L4x0000019ncYEAQ","false","","030bb7dd-c5e4-4da2-ba63-dad566a45832","030bb7dd-c5e4-4da2-ba63-dad566a45832"
