"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0oWD00000EBgSdYAL","005al00000RVcKvAAL","false","DocMan","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","","132h4hk5123498yhfoin"
"a0oWD00000EBgSBYA1","005al00000RVcKvAAL","false","Loan Decisioning","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42036220080364727"
"a0oWD00000EBgSCYA1","005al00000RVcKvAAL","false","Retrieve Pricing Options","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","Create the pricing option(s) based on information in the Loan.","42064981411428099"
"a0oWD00000EBgScYAL","005al00000RVcKvAAL","false","Pricing Options","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42089961001116585"
"a0oWD00000EBgSYYA1","005al00000RVcKvAAL","false","Contruction Loan Administration","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42115817145944385"
"a0oWD00000EBgSkYAL","005al00000RVcKvAAL","false","Loan Policy Exception","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
"a0oWD00000EBgSDYA1","005al00000RVcKvAAL","false","Proposed Pricing Option","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","Create the proposed pricing option based on information in the loan.","42215523819185420"
"a0oWD00000EBgSEYA1","005al00000RVcKvAAL","false","Pricing Options","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42281826358127939"
"a0oWD00000EBgSlYAL","005al00000RVcKvAAL","false","Construction Loan Administration","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42287488552732632"
"a0oWD00000EBgSZYA1","005al00000RVcKvAAL","false","Credit Request","2026-04-07T19:25:20.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","005al00000RVcKvAAL","2026-07-01T06:42:21.000Z","","","","The Context for Credit Request Rules","42331471435935127"
