"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a23bn000001w0RxAAI","false","CLA-BD-0000000","","","","","","","","","a25bn000002bxROAAY","0.0","","Landscaping","","3.0","","","","","a23bn000001w0RxAAI","0.0","0.0","","0.0"
"a23bn000001w0RyAAI","false","CLA-BD-0000001","","","","","","","","","a25bn000002bxROAAY","0.0","","Bituminous Damproofing","","11.0","","","","","a23bn000001w0RyAAI","0.0","0.0","","0.0"
"a23bn000001w0RzAAI","false","CLA-BD-0000002","","","","","","","","","a25bn000002bxROAAY","0.0","","Linear Metal Ceilings","","19.0","","","","","a23bn000001w0RzAAI","0.0","0.0","","0.0"
"a23bn000001w0S0AAI","false","CLA-BD-0000003","","","","","","","","","a25bn000002bxROAAY","0.0","","Hydraulic Elevators","","24.0","","","","","a23bn000001w0S0AAI","0.0","0.0","","0.0"
"a23bn000001w0S1AAI","false","CLA-BD-0000004","","","","","","","","","a25bn000002bxROAAY","0.0","","Glass/Glazing","","15.0","","","","","a23bn000001w0S1AAI","0.0","0.0","","0.0"
"a23bn000001w0S2AAI","false","CLA-BD-0000005","","","","","","","","","a25bn000002bxROAAY","0.0","","General Conditions","","29.0","","","","","a23bn000001w0S2AAI","0.0","0.0","","0.0"
"a23bn000001w0S3AAI","false","CLA-BD-0000006","","","","","","","","","a25bn000002bxROAAY","0.0","","S & C Bond","","30.0","","","","","a23bn000001w0S3AAI","0.0","0.0","","0.0"
"a23bn000001w0S4AAI","false","CLA-BD-0000007","","","","","","","","","a25bn000002bxROAAY","0.0","","Rough Carpentry","","9.0","","","","","a23bn000001w0S4AAI","0.0","0.0","","0.0"
"a23bn000001w0S5AAI","false","CLA-BD-0000008","","","","","","","","","a25bn000002bxROAAY","0.0","","Finish Carpentry/Millwork","","10.0","","","","","a23bn000001w0S5AAI","0.0","0.0","","0.0"
"a23bn000001w0S6AAI","false","CLA-BD-0000009","","","","","","","","","a25bn000002bxROAAY","0.0","","HVAC","","27.0","","","","","a23bn000001w0S6AAI","0.0","0.0","","0.0"
"a23bn000001w0S7AAI","false","CLA-BD-0000010","","","","","","","","","a25bn000002bxROAAY","0.0","","Acoustical Ceilings","","18.0","","","","","a23bn000001w0S7AAI","0.0","0.0","","0.0"
"a23bn000001w0S8AAI","false","CLA-BD-0000011","","","","","","","","","a25bn000002bxROAAY","0.0","","Structural Steel","","8.0","","","","","a23bn000001w0S8AAI","0.0","0.0","","0.0"
"a23bn000001w0S9AAI","false","CLA-BD-0000012","","","","","","","","","a25bn000002bxROAAY","0.0","","Plumbing","","25.0","","","","","a23bn000001w0S9AAI","0.0","0.0","","0.0"
"a23bn000001w0SAAAY","false","CLA-BD-0000013","","","","","","","","","a25bn000002bxROAAY","0.0","","Fabric Awnings","","23.0","","","","","a23bn000001w0SAAAY","0.0","0.0","","0.0"
"a23bn000001w0SBAAY","false","CLA-BD-0000014","","","","","","","","","a25bn000002bxROAAY","0.0","","Doors/Frames/Hardware","","14.0","","","","","a23bn000001w0SBAAY","0.0","0.0","","0.0"
"a23bn000001w0SCAAY","false","CLA-BD-0000015","","","","","","","","","a25bn000002bxROAAY","0.0","","Unit Masonry","","7.0","","","","","a23bn000001w0SCAAY","0.0","0.0","","0.0"
"a23bn000001w0SDAAY","false","CLA-BD-0000016","","","","","","","","","a25bn000002bxROAAY","0.0","","Termite Control","","2.0","","","","","a23bn000001w0SDAAY","0.0","0.0","","0.0"
"a23bn000001w0SEAAY","false","CLA-BD-0000017","","","","","","","","","a25bn000002bxROAAY","0.0","","Fire Protection","","26.0","","","","","a23bn000001w0SEAAY","0.0","0.0","","0.0"
"a23bn000001w0SFAAY","false","CLA-BD-0000018","","","","","","","","","a25bn000002bxROAAY","0.0","","Joint Sealers","","13.0","","","","","a23bn000001w0SFAAY","0.0","0.0","","0.0"
"a23bn000001w0SGAAY","false","CLA-BD-0000019","","","","","","","","","a25bn000002bxROAAY","0.0","","Resilient and Carpet Flooring","","20.0","","","","","a23bn000001w0SGAAY","0.0","0.0","","0.0"
"a23bn000001w0SHAAY","false","CLA-BD-0000020","","","","","","","","","a25bn000002bxROAAY","0.0","","Building Excavator","","4.0","","","","","a23bn000001w0SHAAY","0.0","0.0","","0.0"
"a23bn000001w0SIAAY","false","CLA-BD-0000021","","","","","","","","","a25bn000002bxROAAY","0.0","","Painting","","21.0","","","","","a23bn000001w0SIAAY","0.0","0.0","","0.0"
"a23bn000001w0SJAAY","false","CLA-BD-0000022","","","","","","","","","a25bn000002bxROAAY","0.0","","Sitework","","1.0","","","","","a23bn000001w0SJAAY","0.0","0.0","","0.0"
"a23bn000001w0SKAAY","false","CLA-BD-0000023","","","","","","","","","a25bn000002bxROAAY","0.0","","Misc. Specialities","","22.0","","","","","a23bn000001w0SKAAY","0.0","0.0","","0.0"
"a23bn000001w0SLAAY","false","CLA-BD-0000024","","","","","","","","","a25bn000002bxROAAY","0.0","","Electrical","","28.0","","","","","a23bn000001w0SLAAY","0.0","0.0","","0.0"
"a23bn000001w0SMAAY","false","CLA-BD-0000025","","","","","","","","","a25bn000002bxROAAY","0.0","","Ceramic Tile","","17.0","","","","","a23bn000001w0SMAAY","0.0","0.0","","0.0"
"a23bn000001w0SNAAY","false","CLA-BD-0000026","","","","","","","","","a25bn000002bxROAAY","0.0","","Cast in Place Concrete","","5.0","","","","","a23bn000001w0SNAAY","0.0","0.0","","0.0"
"a23bn000001w0SOAAY","false","CLA-BD-0000027","","","","","","","","","a25bn000002bxROAAY","0.0","","Roofing &Sheetmetal Flashing","","12.0","","","","","a23bn000001w0SOAAY","0.0","0.0","","0.0"
"a23bn000001w0SPAAY","false","CLA-BD-0000028","","","","","","","","","a25bn000002bxROAAY","0.0","","Studs/Drywall/EIFS","","16.0","","","","","a23bn000001w0SPAAY","0.0","0.0","","0.0"
"a23bn000001w0SQAAY","false","CLA-BD-0000029","","","","","","","","","a25bn000002bxROAAY","0.0","","Tilt-Up Precast Concrete","","6.0","","","","","a23bn000001w0SQAAY","0.0","0.0","","0.0"
"a23bn000001w0SRAAY","false","CLA-BD-0000030","","","","","","","","","a25bn000002bxROAAY","0.0","","Change Orders","","36.0","","","","","a23bn000001w0SRAAY","0.0","0.0","","0.0"
"a23bn000001w0SSAAY","false","CLA-BD-0000031","","","","","","","","","a25bn000002bxROAAY","0.0","","Allowance - Precast Concrete Pane","","35.0","","","","","a23bn000001w0SSAAY","0.0","0.0","","0.0"
"a23bn000001w0STAAY","false","CLA-BD-0000032","","","","","","","","","a25bn000002bxROAAY","0.0","","Allowance - Drywall Support/Finishing","","34.0","","","","","a23bn000001w0STAAY","0.0","0.0","","0.0"
"a23bn000001w0SUAAY","false","CLA-BD-0000033","","","","","","","","","a25bn000002bxROAAY","0.0","","Fee","","31.0","","","","","a23bn000001w0SUAAY","0.0","0.0","","0.0"
"a23bn000001w0SVAAY","false","CLA-BD-0000034","","","","","","","","","a25bn000002bxROAAY","0.0","","Allowance - Add'l Steel Support","","33.0","","","","","a23bn000001w0SVAAY","0.0","0.0","","0.0"
"a23bn000001w0SWAAY","false","CLA-BD-0000035","","","","","","","","","a25bn000002bxROAAY","0.0","","Allowance - Mis Paving Earthwork","","32.0","","","","","a23bn000001w0SWAAY","0.0","0.0","","0.0"
"a23bn000001w0SXAAY","false","CLA-BD-0000036","","","","","","","","","a25bn000002bxRPAAY","0.0","","Exterior Glass (7xS450)","","21.0","","","","","a23bn000001w0SXAAY","0.0","0.0","","0.0"
"a23bn000001w0SYAAY","false","CLA-BD-0000037","","","","","","","","","a25bn000002bxRPAAY","0.0","","General Conditions","","22.0","","","","","a23bn000001w0SYAAY","0.0","0.0","","0.0"
"a23bn000001w0SZAAY","false","CLA-BD-0000038","","","","","","","","","a25bn000002bxRPAAY","0.0","","O&P","","23.0","","","","","a23bn000001w0SZAAY","0.0","0.0","","0.0"
"a23bn000001w0SaAAI","false","CLA-BD-0000039","","","","","","","","","a25bn000002bxRPAAY","0.0","","Insurance","","24.0","","","","","a23bn000001w0SaAAI","0.0","0.0","","0.0"
"a23bn000001w0SbAAI","false","CLA-BD-0000040","","","","","","","","","a25bn000002bxRPAAY","0.0","","Millwork","","14.0","","","","","a23bn000001w0SbAAI","0.0","0.0","","0.0"
"a23bn000001w0ScAAI","false","CLA-BD-0000041","","","","","","","","","a25bn000002bxRPAAY","0.0","","Structural ( Entry Feature)","","15.0","","","","","a23bn000001w0ScAAI","0.0","0.0","","0.0"
"a23bn000001w0SdAAI","false","CLA-BD-0000042","","","","","","","","","a25bn000002bxRPAAY","0.0","","Concrete Fill In Plumbing Trenches","","16.0","","","","","a23bn000001w0SdAAI","0.0","0.0","","0.0"
"a23bn000001w0SeAAI","false","CLA-BD-0000043","","","","","","","","","a25bn000002bxRPAAY","0.0","","Site Stripping (ADA)","","17.0","","","","","a23bn000001w0SeAAI","0.0","0.0","","0.0"
"a23bn000001w0SfAAI","false","CLA-BD-0000044","","","","","","","","","a25bn000002bxRPAAY","0.0","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","","","a23bn000001w0SfAAI","0.0","0.0","","0.0"
"a23bn000001w0SgAAI","false","CLA-BD-0000045","","","","","","","","","a25bn000002bxRPAAY","0.0","","Roofing","","19.0","","","","","a23bn000001w0SgAAI","0.0","0.0","","0.0"
"a23bn000001w0ShAAI","false","CLA-BD-0000046","","","","","","","","","a25bn000002bxRPAAY","0.0","","Lights - LED","","20.0","","","","","a23bn000001w0ShAAI","0.0","0.0","","0.0"
"a23bn000001w0SiAAI","false","CLA-BD-0000047","","","","","","","","","a25bn000002bxRPAAY","0.0","","Electrical and Low Voltage","","1.0","","","","","a23bn000001w0SiAAI","0.0","0.0","","0.0"
"a23bn000001w0SjAAI","false","CLA-BD-0000048","","","","","","","","","a25bn000002bxRPAAY","0.0","","Mechanical","","2.0","","","","","a23bn000001w0SjAAI","0.0","0.0","","0.0"
"a23bn000001w0SkAAI","false","CLA-BD-0000049","","","","","","","","","a25bn000002bxRPAAY","0.0","","Plumbing","","3.0","","","","","a23bn000001w0SkAAI","0.0","0.0","","0.0"
"a23bn000001w0SlAAI","false","CLA-BD-0000050","","","","","","","","","a25bn000002bxRPAAY","0.0","","Painting (Interior and Exterior)","","4.0","","","","","a23bn000001w0SlAAI","0.0","0.0","","0.0"
"a23bn000001w0SmAAI","false","CLA-BD-0000051","","","","","","","","","a25bn000002bxRPAAY","0.0","","Flooring","","5.0","","","","","a23bn000001w0SmAAI","0.0","0.0","","0.0"
"a23bn000001w0SnAAI","false","CLA-BD-0000052","","","","","","","","","a25bn000002bxRPAAY","0.0","","Ceiling","","6.0","","","","","a23bn000001w0SnAAI","0.0","0.0","","0.0"
"a23bn000001w0SoAAI","false","CLA-BD-0000053","","","","","","","","","a25bn000002bxRPAAY","0.0","","Drywall and Framing","","7.0","","","","","a23bn000001w0SoAAI","0.0","0.0","","0.0"
"a23bn000001w0SpAAI","false","CLA-BD-0000054","","","","","","","","","a25bn000002bxRPAAY","0.0","","Doors & Hardware (SC w/ Metal Frame)","","8.0","","","","","a23bn000001w0SpAAI","0.0","0.0","","0.0"
"a23bn000001w0SrAAI","false","CLA-BD-0000055","","","","","","","","","a25bn000002bxRPAAY","0.0","","Demo","","9.0","","","","","a23bn000001w0SrAAI","0.0","0.0","","0.0"
"a23bn000001w0SsAAI","false","CLA-BD-0000056","","","","","","","","","a25bn000002bxRPAAY","0.0","","CMU - Stucco","","11.0","","","","","a23bn000001w0SsAAI","0.0","0.0","","0.0"
"a23bn000001w0StAAI","false","CLA-BD-0000057","","","","","","","","","a25bn000002bxRQAAY","0.0","","Cabinets / Millwork","","88.0","","","","","a23bn000001w0StAAI","0.0","0.0","","0.0"
"a23bn000001w0SuAAI","false","CLA-BD-0000058","","","","","","","","","a25bn000002bxRQAAY","0.0","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","","","a23bn000001w0SuAAI","0.0","0.0","","0.0"
"a23bn000001w0SvAAI","false","CLA-BD-0000059","","","","","","","","","a25bn000002bxRQAAY","0.0","","Lighting Fixtures","","85.0","","","","","a23bn000001w0SvAAI","0.0","0.0","","0.0"
"a23bn000001w0SqAAI","false","CLA-BD-0000060","","","","","","","","","a25bn000002bxRQAAY","0.0","","Corporate Decor Package Installation","","93.0","","","","","a23bn000001w0SqAAI","0.0","0.0","","0.0"
"a23bn000001w0SwAAI","false","CLA-BD-0000061","","","","","","","","","a25bn000002bxRQAAY","0.0","","100 ft secondary service","","84.0","","","","","a23bn000001w0SwAAI","0.0","0.0","","0.0"
"a23bn000001w0SxAAI","false","CLA-BD-0000062","","","","","","","","","a25bn000002bxRQAAY","0.0","","Fire Extinguishers","","87.0","","","","","a23bn000001w0SxAAI","0.0","0.0","","0.0"
"a23bn000001w0SyAAI","false","CLA-BD-0000063","","","","","","","","","a25bn000002bxRQAAY","0.0","","Caulking","","91.0","","","","","a23bn000001w0SyAAI","0.0","0.0","","0.0"
"a23bn000001w0SzAAI","false","CLA-BD-0000064","","","","","","","","","a25bn000002bxRQAAY","0.0","","Toilet Partitions","","89.0","","","","","a23bn000001w0SzAAI","0.0","0.0","","0.0"
