"Id","IsDeleted","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Remaining__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","Name","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a1WWD000002k3D42AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.651364292424185","CLA Simple Budget 2 Template Update","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k4D22AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.848738963329156","TrainingBudget","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kAAj2AM","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001064988434645","CLA Complex Budget 1 Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kAJJ2A2","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001162066606083","new annual budget","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jsGK2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001222531098921","RS budget 79","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002juJo2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001283967858187","Budget-2","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k4522AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001504730624191","a1WWD000002VOzW","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kAQ12AM","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001510747882008","a1WWD000002VhFh","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k3Yr2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001521506762412","CLA Complex Budget 1 Template Update","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kAIb2AM","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001569791985252","Residential Construction Budget Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kATa2AM","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001667449773714","a1WWD000002VbAU","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jvsw2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001784070277908","Branch 2-Updated 2","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jxFD2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001917870007671","CLA Simple Budget 2 Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002juMU2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001949577224985","Sreekar StartUp","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k9u12AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001975779228368","a1WWD000002VhFf","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kAru2AE","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002089995006741","a1WWD000002VbDY","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jyrT2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002230689537837","a1WWD000002VbDW","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k3It2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002263707584064","Residential Development Budget Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k3pK2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002467017970348","LLC BI  Budget 001-3b8992","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kANF2A2","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003061917865015","Residential Construction Budget Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jzxP2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003125084906511","test1","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jypq2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003150998921657","Revenue Budget","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jrjS2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003160427848041","a1WWD000002VbDR","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002k3HX2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003202093743175","Residential Construction Template","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002kGG52AM","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003275343240162","AA budget 4","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jwVo2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003318215361547","Exc F Source - from VC IT2","005al00000RVcKvAAL","","","","","","","","",""
"a1WWD000002jvuO2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003483141393928","Budget for the Construction of a Walgreens","005al00000RVcKvAAL","","","","","","","","",""
