"Id","IsDeleted","Name","OwnerId","nFORMS__Description__c","nFORMS__Document_Output_Type__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c"
"a5rWD000000E0xwYAC","false","Standard Commercial Form","005al00000RVcKvAAL","Standard Commercial Form","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42081037088623546"
"a5rWD000000E0xsYAC","false","Modification Request","005al00000RVcKvAAL","Modification Template","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","42287555452295220"
"a5rWD000000E0xtYAC","false","Boarding Data Sheet","005al00000RVcKvAAL","Loan Boarding Data Sheet","Word","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","42720351860149510"
"a5rWD000000E0xrYAC","false","Standard Commercial Short Form","005al00000RVcKvAAL","Use this credit template for standard commercial loans.","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42739175983591357"
"a5rWD000000E0w9YAC","false","Small Business Credit Memo","005al00000RVcKvAAL","Credit Memo for all Small Business loans","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","42782395031682678"
"a5rWD000000E0y0YAC","false","Review Credit Memo","005al00000RVcKvAAL","Review Credit Memo","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Review__c","false","HTML","42939755381098155"
"a5rWD000000E0xxYAC","false","Commerial Credit Memo","005al00000RVcKvAAL","Use this template to generate a Credit Memo for commercial deal presentations and credit committee review","HTML","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42966989010402205"
"a5rWD000000E0y1YAC","false","Commitment Letter / Term Sheet","005al00000RVcKvAAL","Generic Term Sheet","PDF","true","true","","General","true","PDF","Inches","","LLC_BI__Loan__c","false","Word","42972107535279122"
"a5rWD000000E0xXYAS","false","Authorization to Pull Credit","005al00000RVcKvAAL","Use this form to collect a customer signature to pull credit score","Word","false","false","","General","true","Word","Inches","","Account","false","Word","a1sbn0000010aXZAAY"
"a5rWD000000E0xYYAS","false","Document Checklist","005al00000RVcKvAAL","","Word","false","true","","Credit Memo","false","Word","Inches","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXfAAI"
"a5rWD000000E0xZYAS","false","Adverse Action Letter","005al00000RVcKvAAL","nCino Gold Standard Adverse Action Letter.","Word","false","false","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXgAAI"
"a5rWD000000E0xaYAC","false","Fees Checklist for Closing","005al00000RVcKvAAL","Fee Summary Document to help the bank closers prepare GL tickets.","Word","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" NOT=""Card""}}{{ENDIF}}","Credit Memo","false","Word","Inches","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXhAAI"
"a5rWD000000E0xbYAC","false","General Ledger Tickets","005al00000RVcKvAAL","General Ledger Ticket that can used to process the Banks loan fees.","Word","false","false","","Credit Memo","false","Word","Inches","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXiAAI"
"a5rWD000000E0xcYAC","false","MSA SCH A Change Service Form","005al00000RVcKvAAL","Use this form to remove Treasury Services","Word","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXjAAI"
"a5rWD000000E0xdYAC","false","Covenant Letter","005al00000RVcKvAAL","Form letter used to notify my relationship accounts of when covenants are coming due","Word","false","false","","General","true","Word","Inches","","Account","false","Word","a1sbn0000010aXkAAI"
"a5rWD000000E0xeYAC","false","Master Services Agreement","005al00000RVcKvAAL","Master Services Agreement for nCino Financial Treasury Services","Word","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1sbn0000010aXlAAI"
"a5rWD000000E0xfYAC","false","Executive Pricing Summary","005al00000RVcKvAAL","Treasury Service- Executive Pricing Summary for nCino Financial Treasury Services","Word","false","false","","General","true","Word","Inches","","LLC_BI__Scenario__c","false","Word","a1sbn0000010aXmAAI"
"a5rWD000000E0xgYAC","false","Proposal Letter","005al00000RVcKvAAL","nCino Gold Standard Proposal Letter.","Word","false","false","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","a1sbn0000010aXpAAI"
