"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Product_Type__c","LLC_BI__Activate__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Booked__c","LLC_BI__Is_Closed__c","LLC_BI__Is_Covenant__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Stage__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Stage_and_Status__c"
"a45WD000001Cw9VYAS","false","P-0000002634","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4lTYAS","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42003355117748819","Complete|Superseded"
"a45WD000001Cw9WYAS","false","P-0000002635","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4lwYAC","false","4.0","Complete","true","true","true","false","false","Complete","Charge-Off","42003569419855455","Complete|Charge-Off"
"a45WD000001Cw9XYAS","false","P-0000002636","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4lnYAC","false","0.0","Application","false","false","false","false","false","Qualification","Open","42004517848080169","Qualification|Open"
"a45WD000001GBecYAG","false","P-0000003019","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000QQv1YAG","false","5.0","Complete","false","false","false","false","false","Complete","Paid Out","42005864846853469","Complete|Paid Out"
"a45WD000001GBeIYAW","false","P-0000002999","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000QQv0YAG","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42008822828734137","Final Review|Open"
"a45WD000001Cw9YYAS","false","P-0000002637","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4leYAC","false","0.0","Application","false","false","false","false","false","Qualification","Open","42009903600461251","Qualification|Open"
"a45WD000001GBeQYAW","false","P-0000003007","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000QQv0YAG","false","4.0","Complete","true","true","false","false","false","Complete","Paid Out","42018266336386207","Complete|Paid Out"
"a45WD000001GBeLYAW","false","P-0000003002","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000QQv0YAG","false","2.0","Processing","false","false","false","false","false","Doc Prep","Open","42018722935640308","Doc Prep|Open"
"a45WD000001Cw9ZYAS","false","P-0000002638","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4leYAC","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42023801154404888","Final Review|Open"
"a45WD000001Cw9aYAC","false","P-0000002639","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","005al00000RVcKvAAL","2026-08-06T11:32:37.000Z","","","a47WD000000E4lfYAC","false","3.0","Closing","false","true","false","false","false","Closing","Open","42028016303390527","Closing|Open"
