"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Default_App__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Enable_Offers_Auto_Applied_Fees__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Maintenance_App__c","LLC_BI__Offer_Fieldset__c","LLC_BI__Product_Count__c","LLC_BI__Product_Line__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","LLC_BI__Start_Production_Application__c","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","Name","cm_Days_to_Close__c","cm_Static_Name__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nRetail__Display_Monthly_Expenses__c"
"a0tbn000008f3QNAAY","","Certificate of Deposit","","","","false","","","","","false","","","","","a0obn000000HlYqAAK","","","","","","","","Global","KY_PT_00004212","42036456656074415","CD","","CD","false","","","","false"
"a0tbn000008f3QMAAY","","","","","","false","","","","","false","","","","","a0obn000000KpHhAAK","","","","","","","","Global","KY_PT_00004211","42147076811944258","Ancillary Services","","Ancillary Services","false","","","","false"
"a0tbn000008f3QOAAY","","Savings","","","","false","","","","","false","","","","","a0obn000000HlYqAAK","","","","","","","","Global","KY_PT_00004213","42294565864130575","Savings","","Savings","false","","","","false"
"a0tbn000008f3QLAAY","","Checking","","","","false","","","","","false","","","","","a0obn000000HlYqAAK","","","","","","","","Global","KY_PT_00004210","42997356463484892","Checking","","Checking","false","","","","false"
"a0tbn000007pcYlAAI","","","","","","false","","","","","false","","","","","a0obn000000HlYnAAK","","","","","","","","Loan","KY_PT_00004204","PT-Agricul0578642","Agriculture","","","false","","","","false"
"a0tbn000007pcYkAAI","","","","","","false","","","","","false","","","","","a0obn000000HlYqAAK","","","","","","","","Loan","KY_PT_00000003","PT-BusBanking","Business Banking","","","false","","","","false"
"a0tbn000008f3QPAAY","","Checking","","","","false","","","","","false","","","","","a0obn000000KpHiAAK","","","","","","","","Global","KY_PT_00004214","PT-Checkin0338290","Checking","","Checking","false","","","","false"
"a0tbn000007pcYfAAI","","","","","","false","","","","","false","","","","","a0obn000000HlYnAAK","","","","","","","","Loan","KY_PT_00000001","PT-Com-RE","Real Estate","","","false","","","","false"
"a0tbn000007pcYnAAI","","","","","","false","","","","","false","","","","","a0obn000000HlYnAAK","","","","","","","","Loan","KY_PT_00004206","PT-Constru0651195","Construction","","","false","","","","false"
"a0tbn000008f3QXAAY","","","IBCL_Collapsed_Offer_Card_Summary","","","false","IBCL_Expanded_Offer_Card_Summary","","","","false","","","","","a0obn000000HlYoAAK","","","","","IBCL_Recalculate_Offers","","","Loan","KY_PT_00004222","PT-Consume0047616","Consumer - Real Estate Installment","","Consumer - Real Estate Installment","false","","","","false"
