"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Approved_APY__c","LLC_BI__Approved_Rate__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__End_Days__c","LLC_BI__High_Balance__c","LLC_BI__Interest_Rate__c","LLC_BI__Low_Balance__c","LLC_BI__Relationship_Grade__c","LLC_BI__Start_Days__c","LLC_BI__Tier_Template__c","LLC_BI__lookupKey__c","cm_Annual_Percentage_Yield__c","cm_Approval_Complete__c","cm_Original_APY__c","cm_Original_Interest_Rate__c","cm_Rate_Change_Reason__c"
"a42bn000001K6SEAA0","005bn000003k2JdAAI","","Tier 2","","","","","","","","a3ybn0000002k0jAAA","","49999.99","0.3","10000.0","","","","42120736293237784","","","","",""
"a5NWD000000HNhx2AG","005al00000RVcKvAAL","false","Tier 2","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Mf2AK","","1000000.0","0.3","0.01","N/A","","","42496207323023003","","","","",""
"a5NWD000000HNhs2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Mc2AK","","1000000.0","0.075","5000.0","N/A","","","42520794247599065","","","","",""
"a5NWD000000HNhq2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3MX2A0","","100000.0","0.5","1000.0","N/A","","","42562667599043842","","","","",""
"a5NWD000000HNhy2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Me2AK","","500000.0","0.05","0.01","N/A","","","42597291125131752","","","","",""
"a42bn000001K6SFAA0","005bn000003k2JdAAI","","Tier 3","","","","","","","","a3ybn0000002k0jAAA","","1000000.0","0.4","50000.0","","","","42619466738834965","","","","",""
"a5NWD000000HNhr2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Mb2AK","","100000.0","0.75","1000.0","N/A","","","42645141722533944","","","","",""
"a5NWD000000HNhl2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Ma2AK","","1000000.0","0.05","5000.0","N/A","","","42661083759372378","","","","",""
"a5NWD000000HNhw2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Mf2AK","","1000000.0","0.15","0.01","N/A","","","42667474917220776","","","","",""
"a5NWD000000HNho2AG","005al00000RVcKvAAL","false","Tier 2","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3MY2A0","","49999.99","0.1","10000.0","N/A","","","42702913677795644","","","","",""
"a42bn000001K6SDAA0","005bn000003k2JdAAI","","Tier 1","","","","","","","","a3ybn0000002k0jAAA","","9999.99","0.1","1000.0","","","","42760271690345501","","","","",""
"a5NWD000000HNhz2AG","005al00000RVcKvAAL","false","Tier 2","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3Me2AK","","1000000.0","0.1","500000.0","N/A","","","42832907736378449","","","","",""
"a5NWD000000HNhm2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3MZ2A0","","1000000.0","0.03","1.0","N/A","","","42842414807934949","","","","",""
"a5NWD000000HNhn2AG","005al00000RVcKvAAL","false","Tier 1","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3MY2A0","","9999.99","0.075","5001.0","N/A","","","42856784579913739","","","","",""
"a5NWD000000HNhp2AG","005al00000RVcKvAAL","false","Tier 3","2026-07-20T14:11:03.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","005al00000RVcKvAAL","2026-08-06T11:32:05.000Z","","","a2HWD000001C3MY2A0","","1000000.0","0.15","50000.0","N/A","","","42881681541754718","","","","",""
