"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Is_Template__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","Product_Type__c"
"a2HWD000000cT952AE","005al00000Q6IbCAAV","false","12 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositCD12 Month CD",""
"a2HWD000000cT962AE","005al00000Q6IbCAAV","false","18 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositCD18 Month CD",""
"a2HWD000000cT972AE","005al00000Q6IbCAAV","false","18 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositCD18 Month CD",""
"a2HWD000000cT982AE","005al00000Q6IbCAAV","false","24 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositCD24 Month CD",""
"a2HWD000000cT992AE","005al00000Q6IbCAAV","false","24 Month IRA CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositIRA24 Month IRA CD",""
"a2HWD000000cT9A2AU","005al00000Q6IbCAAV","false","24 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositCD24 Month CD",""
"a2HWD000000cT9B2AU","005al00000Q6IbCAAV","false","30 Day CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositCD30 Day CD",""
"a2HWD000000cT9C2AU","005al00000Q6IbCAAV","false","30 Day CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositCD30 Day CD",""
"a2HWD000000cT9D2AU","005al00000Q6IbCAAV","false","36 Month IRA CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositIRA36 Month IRA CD",""
"a2HWD000000cT9E2AU","005al00000Q6IbCAAV","false","48 Month IRA CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositIRA48 Month IRA CD",""
