"Id","IsDeleted","Name","OwnerId","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","AutorabitExtId__c"
"a0sWD00000d3VnBYAU","false","Test-YM2","005al00000RVvFOAA1","","","","","","","","",""
"a2Gbn000000isG1EAI","","ReviewSubmitLoan","005bn000003pcUiAAI","false","false","false","000008C4_2C2C_4944_8EBC_E365C3EC842C","","","","",""
"a2Gbn000000isG2EAI","","ReviewSubmitDeposit","005bn000003pcUiAAI","false","false","false","000029C4_2C2C_4944_8EBC_E365C3EC842C","","","","",""
"a2Gbn000000hcgHEAQ","","CRA Screen","005bn000003k2JdAAI","false","false","true","01051619447514585","","","","",""
"a2Gbn000000hcdDEAQ","","Borrowing Structure Information","005bn000003k2JdAAI","false","false","true","02551560278745076","","","","",""
"a2Gbn000000hcdNEAQ","","Underwriting Details","005bn000003kBWnAAM","false","false","true","03471560278867077","","","","",""
"a2Gbn000000hcgcEAA","","Change Memo","005bn000003k2JdAAI","false","false","true","04391620937671559","","","","",""
"a2Gbn000000hcddEAA","","Product Summary","005bn000003k2JdAAI","false","false","true","05641567002571747","","","","",""
"a2Gbn000000kG3SEAU","","Underwriting Details1","005bn000003k2JdAAI","false","false","true","06031640791247589","","","","",""
"a2Gbn000000kG3YEAU","","Loan Team","005bn000003k2JdAAI","false","false","true","06901640791247591","","","","",""
"a2Gbn000000hcfsEAA","","Editable Fields","005bn000003k2JdAAI","false","false","true","07281585604340854","","","","",""
"a2Gbn000000mZAOEA2","","Underwriting Details1","005bn000003k2JdAAI","false","false","true","07911600720267875","","","","",""
"a2Gbn000000hcevEAA","","Risk Ratings","005bn000003k2JdAAI","false","false","true","08891585604340856","","","","",""
"a2Gbn000000hcfPEAQ","","Product Summary","005bn000003k2JdAAI","false","false","true","09911567002550278","","","","",""
"a2Gbn000000hcfpEAA","","Narrative Booked","005bn000003k2JdAAI","false","false","true","10941585604340854","","","","",""
"a2Gbn000000kG3mEAE","","Adverse Actions/Counter Offers","005bn000003k2JdAAI","false","false","true","11031663700624864","","","","",""
"a2Gbn000000kG3NEAU","","Adverse Actions","005bn000003k2JdAAI","false","false","true","11381640791247587","","","","",""
