"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Classification__c","LLC_BI__Spread_Projections_Template__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__Type__c","LLC_BI__Value__c","LLC_BI__lookupKey__c"
"a4tWD000003eSqHYAU","005al00000RVcKvAAL","false","SPD-000000068","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111bDYAQ","a4uWD0000049XYkYAM","","No Change","","182af975-6cb7-419f-9104-c5ce2e4afedf"
"a4tWD000003eSqIYAU","005al00000RVcKvAAL","false","SPD-000000069","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b8YAA","a4uWD0000049XYkYAM","","Percent Amount Change","-0.05","1d2b1125-84d3-4936-a9bf-9da015af37bd"
"a4tWD000003eSqJYAU","005al00000RVcKvAAL","false","SPD-000000070","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111nqYAA","a4uWD0000049XYjYAM","","No Change","","24eb9987-d020-450b-b85f-a6bfb600d91e"
"a4tWD000003eSqKYAU","005al00000RVcKvAAL","false","SPD-000000071","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b0YAA","a4uWD0000049XYkYAM","","Percent Amount Change","-0.2","40316667-b705-4fba-b6c4-83a467472265"
"a4tWD000003eSqLYAU","005al00000RVcKvAAL","false","SPD-000000072","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b5YAA","a4uWD0000049XYjYAM","","Percent Amount Change","-0.05","40a7d6fa-0b41-4b38-a3ba-a336ce02c6e9"
"a4tWD000003eSqMYAU","005al00000RVcKvAAL","false","SPD-000000073","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b5YAA","a4uWD0000049XYkYAM","","Percent Amount Change","-0.1","7303b1d3-a574-4f69-a2d9-c9b020dbc9eb"
"a4tWD000003eSqNYAU","005al00000RVcKvAAL","false","SPD-000000074","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b0YAA","a4uWD0000049XYjYAM","","Percent Amount Change","-0.1","a7246069-4027-42ee-a3eb-3f889ef5af0d"
"a4tWD000003DmDTYA0","005al00000Q6IbCAAV","false","SPD-000000052","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-06cb7c22-db82-403e-9c39-c58f7390da62"
"a4tWD000003DmDcYAK","005al00000Q6IbCAAV","false","SPD-000000061","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-119e18c8-6189-48d5-a9d3-94466d49e542"
"a4tWD000003DmDFYA0","005al00000Q6IbCAAV","false","SPD-000000038","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-1794c4b5-8132-430d-ba88-7b99b3cf2b95"
"a4tWD000003DmDDYA0","005al00000Q6IbCAAV","false","SPD-000000036","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-17ce06c2-7706-42d7-8077-b7bc87355fac"
"a4tWD000003DmDJYA0","005al00000Q6IbCAAV","false","SPD-000000042","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-19c05804-3353-41f5-b36e-c39623d51b4a"
"a4tWD000003DmDdYAK","005al00000Q6IbCAAV","false","SPD-000000062","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-19c30d0a-e578-4a20-b522-9367b6219f0c"
"a4tWD000003DmDUYA0","005al00000Q6IbCAAV","false","SPD-000000053","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-24fc77f9-17f4-47ea-a7b1-a69fbf8e63e9"
"a4tWD000003DmDCYA0","005al00000Q6IbCAAV","false","SPD-000000035","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-269b18a4-4ac9-4da8-833b-41d372f06e55"
"a4tWD000003DmDPYA0","005al00000Q6IbCAAV","false","SPD-000000048","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-38ad4260-3630-4933-b8e7-0feb448a8b03"
"a4tWD000003DmDWYA0","005al00000Q6IbCAAV","false","SPD-000000055","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-45d1c633-b6f6-47fe-8f1a-fd5e99297602"
"a4tWD000003DmDbYAK","005al00000Q6IbCAAV","false","SPD-000000060","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-4e77e0ef-3273-4d97-aac4-9bf9e63b0416"
"a4tWD000003DmDeYAK","005al00000Q6IbCAAV","false","SPD-000000063","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-51aa2eae-a5db-4f7f-b90d-e6d959b29759"
"a4tWD000003DmDgYAK","005al00000Q6IbCAAV","false","SPD-000000065","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-5d59cac4-53ef-4b86-bdac-065e1efcdfda"
"a4tWD000003DmDBYA0","005al00000Q6IbCAAV","false","SPD-000000034","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-6088eb07-63cc-4251-84e6-a1d77849f549"
"a4tWD000003DmDVYA0","005al00000Q6IbCAAV","false","SPD-000000054","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-6cf443bd-f87a-4854-8bb9-bf66415a8562"
"a4tWD000003DmDEYA0","005al00000Q6IbCAAV","false","SPD-000000037","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-7a7fef35-2fb0-4ac6-a7ca-b546450814ce"
"a4tWD000003DmDLYA0","005al00000Q6IbCAAV","false","SPD-000000044","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-7cf3bbdb-0f0b-417b-90d7-35f8cadb8c97"
"a4tWD000003DmDQYA0","005al00000Q6IbCAAV","false","SPD-000000049","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-860ad07b-03de-4a41-9cf1-1e7edd06050d"
"a4tWD000003DmDiYAK","005al00000Q6IbCAAV","false","SPD-000000067","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-881a8d75-ac1e-4b6c-8731-13291cf725c3"
"a4tWD000003DmDKYA0","005al00000Q6IbCAAV","false","SPD-000000043","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-925323d4-106b-4ce2-ac60-f8a30ff0d3c9"
"a4tWD000003DmDNYA0","005al00000Q6IbCAAV","false","SPD-000000046","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-ab6c342b-fea4-4463-8e3e-9d57d59740c2"
"a4tWD000003DmDaYAK","005al00000Q6IbCAAV","false","SPD-000000059","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-ae85f4af-748b-47f5-950a-7aa4f32c4fa4"
"a4tWD000003DmDIYA0","005al00000Q6IbCAAV","false","SPD-000000041","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-bc6fb901-c599-4acc-a9a5-dd849ced6187"
"a4tWD000003DmDhYAK","005al00000Q6IbCAAV","false","SPD-000000066","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","Average","","comm-bl-c1a09fd7-7778-44dd-9f71-ef4d34931cf3"
"a4tWD000003DmDOYA0","005al00000Q6IbCAAV","false","SPD-000000047","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-c2d38159-58c0-489f-a0a0-1507e27e266b"
"a4tWD000003DmDGYA0","005al00000Q6IbCAAV","false","SPD-000000039","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-c32963d4-4048-4036-abed-7040c12b66d5"
"a4tWD000003DmDSYA0","005al00000Q6IbCAAV","false","SPD-000000051","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-c6653263-4599-41da-8fb7-5c125d43f16e"
"a4tWD000003DmDMYA0","005al00000Q6IbCAAV","false","SPD-000000045","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-d5205402-2f2b-4892-ac1c-9daa1c66a1db"
"a4tWD000003DmDZYA0","005al00000Q6IbCAAV","false","SPD-000000058","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-e5fec467-e380-4b11-9589-9f2af19b3e26"
"a4tWD000003DmDfYAK","005al00000Q6IbCAAV","false","SPD-000000064","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-ed451ea7-098f-49c5-a7c6-979927caeee8"
"a4tWD000003DmDXYA0","005al00000Q6IbCAAV","false","SPD-000000056","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-ee7a9e53-91e2-45ca-917f-a4db68a027cc"
"a4tWD000003DmDYYA0","005al00000Q6IbCAAV","false","SPD-000000057","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-efc304de-8be0-431a-8289-c2ee51b10968"
"a4tWD000003DmDHYA0","005al00000Q6IbCAAV","false","SPD-000000040","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-f055372d-f70c-4486-b57d-42ec248c9893"
"a4tWD000003DmDRYA0","005al00000Q6IbCAAV","false","SPD-000000050","2026-04-07T19:37:02.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","","a4uWD000003iIQwYAM","","No Change","","comm-bl-faced7d5-ba0b-454d-b861-7da2d8cecc79"
"a4tWD000003eSqOYAU","005al00000RVcKvAAL","false","SPD-000000075","2026-06-26T15:28:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","005al00000RVcKvAAL","2026-07-22T10:50:56.000Z","a1fWD00000111b8YAA","a4uWD0000049XYjYAM","","Percent Amount Change","-0.025","d6cf7b43-0ce1-4d38-8621-ff17dc21f824"
