"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a4wWD000000quEWYAY","false","a3gal000001fMCS","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrtUYAT","comm-bl-42040938906498423"
"a4wWD000000quEgYAI","false","a3gal000001fMCe","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrujYAD","comm-bl-42062966961771370"
"a4wWD000000quEiYAI","false","a3gal000001fMCq","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p1YAA","a51WD00000ZIrvkYAD","comm-bl-42099698856621181"
"a4wWD000000quEUYAY","false","a5yal000000avav","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrpyYAD","comm-bl-42135738197434038"
"a4wWD000000quEdYAI","false","a5yal000000avc3","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrrZYAT","comm-bl-42254930459075304"
"a4wWD000000quEVYAY","false","a3kal000001Hlzd","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111ozYAA","a51WD00000ZIrqlYAD","comm-bl-42282250231659616"
"a4wWD000000quEZYAY","false","a3gal000001fMCq","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p1YAA","a51WD00000ZIrubYAD","comm-bl-42426513913916847"
"a4wWD000000quEkYAI","false","a3gal000001fMCS","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrwlYAD","comm-bl-42458591494033883"
"a4wWD000000quEjYAI","false","a3gal000001fMCe","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrwWYAT","comm-bl-42540670721547478"
"a4wWD000000quEhYAI","false","a3gal000001fMCS","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrusYAD","comm-bl-42594179249566571"
"a4wWD000000quEXYAY","false","a3gal000001fMCe","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrtmYAD","comm-bl-42605630125967867"
"a4wWD000000quEeYAI","false","a5yal000000avck","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrsJYAT","comm-bl-42777430300525512"
"a4wWD000000quEaYAI","false","a5yal000000avbe","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p0YAA","a51WD00000ZIrovYAD","comm-bl-42796527209894788"
"a4wWD000000quEcYAI","false","a5yal000000avbw","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrpXYAT","comm-bl-42867307660864870"
"a4wWD000000quEfYAI","false","a5yal000000avcp","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p2YAA","a51WD00000ZIrsjYAD","comm-bl-42927782827556060"
"a4wWD000000quEYYAY","false","a3gal000001fMCq","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111p1YAA","a51WD00000ZIru5YAD","comm-bl-42930603294049738"
"a4wWD000000quEbYAI","false","a5yal000000avbo","2026-04-07T19:35:48.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","005al00000RVcKvAAL","2026-07-22T10:49:13.000Z","a1fWD00000111oyYAA","a51WD00000ZIrpKYAT","comm-bl-42976315055521904"
