"Id","OwnerId","IsDeleted","Name","nFORCE__Description__c","nFORCE__lookupKey__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate"
"a32bn000000i7qbAAA","005bn000003k2JdAAI","","DocMan","","132h4hk5123498yhfoin","","","","","",""
"a32bn000000i7qhAAA","005bn000003k2JdAAI","","Loan Policy Exception","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658","","","","","",""
"a32bn000000i7qgAAA","005bn000003k2JdAAI","","Loan Decisioning","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42455223340738733","","","","","",""
"a32bn000000i7qdAAA","005bn000003k2JdAAI","","Filter Pricing Options by DTI","Filters the pricing options based on the current max DTI","42523683381155171","","","","","",""
"a32bn000000i7qcAAA","005bn000003k2JdAAI","","Retrieve Pricing Options","Create the pricing option(s) based on information in the Loan.","42746958261630058","","","","","",""
"a32bn000000i7qjAAA","005bn000003k2JdAAI","","Construction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","4277770875596515","","","","","",""
"a32bn000000i7qiAAA","005bn000003k2JdAAI","","Contruction Loan Administration","The Contruction Loan Administration context is used to group flows related to CLA activities","42826512048831054","","","","","",""
"a32bn000000i7qeAAA","005bn000003k2JdAAI","","Credit Request","The Context for Credit Request Rules","42849460327380551","","","","","",""
"a32bn000000i7qkAAA","005bn000003k2JdAAI","","Pricing Options","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42887688779647590","","","","","",""
"a32bn000000i7qfAAA","005bn000003k2JdAAI","","Proposed Pricing Option","Create the proposed pricing option based on information in the loan.","42938486352320978","","","","","",""
