"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qVx00000Gm4DoIAJ","false","Test-DT-276-001","a0sVx000002iIZXIA2","false","false","false","false","","false","false","false","false","false","104.0","slide","true","false","false","false","","false","","","","MappedSObjectScreenResource","","1058012312398","LLC_BI__Review__c",""
"a0qVx00000Gm4HIIAZ","false","Collateral Valuation","a0sVx000002iISNIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42007170822167379","LLC_BI__Collateral__c",""
"a0qal00000CdJcrAAF","false","Bulk Pledge Details","a0sal000004PdLSAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42015509310499837","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJcsAAF","false","Bulk Pledge Details","a0sal000004PdLTAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42016420999755116","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJctAAF","false","Collateral Valuation","a0sal000004PdLUAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42023798525149735","LLC_BI__Collateral__c",""
"a0qal00000CdJcuAAF","false","Bulk Pledge Details","a0sal000004PdLVAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42025930690024950","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJcvAAF","false","Collateral Valuation","a0sal000004PdLWAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42032468307765085","LLC_BI__Collateral__c",""
"a0qal00000CdJcwAAF","false","Collateral Valuation","a0sal000004PdLXAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42035442907826460","LLC_BI__Collateral__c",""
"a0qal00000CdJcxAAF","false","Bulk Pledge Details","a0sal000004PdLYAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42046627643535532","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJcyAAF","false","Collateral Search Results","a0sal000004PdLVAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42050289151740779","LLC_BI__Collateral__c",""
"a0qVx00000Gm4IXIAZ","false","Bulk Pledge Details","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","ConfiguredSObjectScreenResource","","42050637234859628","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJczAAF","false","Collateral Valuation","a0sal000004PdLSAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42056211837392803","LLC_BI__Collateral__c",""
"a0qVx00000Gm4IiIAJ","false","Collateral Details","a0sal000004PdLmAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42056851150727842","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd0AAF","false","Collateral Valuation","a0sal000004PdLZAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42059091386076696","LLC_BI__Collateral__c",""
"a0qVx00000Gm4JJIAZ","false","Collateral Valuation","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42077465207266559","LLC_BI__Collateral__c",""
"a0qVx00000Gm4JNIAZ","false","Collateral Valuation","a0sVx000002iIXMIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42079038830637921","LLC_BI__Collateral__c",""
"a0qal00000CdJd1AAF","false","Collateral Search Results","a0sal000004PdLaAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42088901239606259","LLC_BI__Collateral__c",""
"a0qVx00000Gm4JqIAJ","false","Bulk Pledge Details","a0sVx000002iIXfIAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42095937619925601","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd3AAF","false","Bulk Pledge Details","a0sal000004PdLcAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42112852178994770","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd4AAF","false","Bulk Pledge Details","a0sal000004PdLdAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42130448873668238","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd5AAF","false","Collateral Valuation","a0sal000004PdLeAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42137486842280788","LLC_BI__Collateral__c",""
"a0qal00000CdJd6AAF","false","Collateral Valuation","a0sal000004PdLfAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42138731814248008","LLC_BI__Collateral__c",""
"a0qal00000CdJd7AAF","false","Collateral Search Results","a0sal000004PdLgAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42148734489048289","LLC_BI__Collateral__c",""
"a0qal00000CdJd8AAF","false","Bulk Pledge Details","a0sal000004PdLZAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42153932209446378","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4LUIAZ","false","Pledge Details","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42165069595139343","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd9AAF","false","Collateral Valuation","a0sal000004PdLYAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42176098733769439","LLC_BI__Collateral__c",""
