"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD000001k07hYAA","005al00000RVcKvAAL","false","nSight Financial","2026-04-09T10:14:00.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWD00005vM0qn2AC","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WE000001UH9JYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pj2AK","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WE000001UH9KYAW","005al00000RVcKvAAL","false","Heritage Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pk2AK","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WE000001UH9LYAW","005al00000RVcKvAAL","false","Midwest Savings Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pl2AK","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WE000001UH9MYAW","005al00000RVcKvAAL","false","Pacific Coast Financial","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pm2AK","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WE000001UH9NYAW","005al00000RVcKvAAL","false","Summit Federal Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pn2AK","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WE000001UH9OYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Po2AK","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WE000001UH9PYAW","005al00000RVcKvAAL","false","Heritage Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pp2AK","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WE000001UH9QYAW","005al00000RVcKvAAL","false","First National Bank","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pq2AK","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WE000001UH9RYAW","005al00000RVcKvAAL","false","Heritage Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pr2AK","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
"a31WE000001UH9SYAW","005al00000RVcKvAAL","false","Summit Commercial Lending","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Ps2AK","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender",""
"a31WE000001UH9TYAW","005al00000RVcKvAAL","false","Heritage Mortgage Corp","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pt2AK","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator",""
"a31WE000001UH9UYAW","005al00000RVcKvAAL","false","Westlake Trust & Wealth","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pv2AK","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor",""
"a31WE000001UH9VYAW","005al00000RVcKvAAL","false","Pacific Trust Credit Union","2026-05-08T11:05:16.000Z","005al00000RVcKvAAL","2026-08-07T11:28:09.000Z","005al00000RVvFOAA1","2026-08-07T11:28:09.000Z","a0CWE00006hQ4Pu2AK","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access",""
