"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011L53YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","01081666029078575"
"a0bWD0000011L54YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","1.95854780623117E"
"a0bWD0000011L55YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","11821663700626751"
"a0bWD0000011L56YAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.NoLayout","","","","12171602764632749"
"a0bWD0000011L57YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","15531663700626749"
"a0bWD0000011L58YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","17201666029078572"
"a0bWD0000011L59YAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TableLayout","","","","18881663700626752"
"a0bWD0000011L5AYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.NoLayout","","","","19751663700626753"
"a0bWD0000011L5BYAU","005al00000RVcKvAAL","false","SingleColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.SingleColumnGrid","","","","19811666029078570"
"a0bWD0000011L5CYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","20471666029078577"
"a0bWD0000011L5DYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","005al00000RVcKvAAL","2026-08-07T10:42:54.000Z","","Html.Layouts.TwoColumnGrid","","","","22451602764632751"
