"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Order__c","nFORCE__Screen_Section__c","nFORCE__Screen__c","nFORCE__Type__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0rWD000010LgWnYAK","005al00000RVcKvAAL","false","a4U3g000000PDH7","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgK4YAL","a0sWD00000XnoKyYAJ","","42007280591948593",""
"a0rWD000010LgWoYAK","005al00000RVcKvAAL","false","a4U3g000000PDHk","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKjYAL","a0sWD00000Xo7UlYAJ","","42015356044082455",""
"a0rWD000010LgWpYAK","005al00000RVcKvAAL","false","a4U3g000000PDGu","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgJoYAL","a0sWD00000XnoKkYAJ","","42022860397107221",""
"a0rWD000010LgWqYAK","005al00000RVcKvAAL","false","a4U3g000000PDHh","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKfYAL","a0sWD00000XnoLcYAJ","","42023625964740479",""
"a0rWD000010LgWrYAK","005al00000RVcKvAAL","false","a4U3g000000PDFy","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKiYAL","a0sWD00000XnoLYYAZ","","42026327842147229",""
"a0rWD000010LgWsYAK","005al00000RVcKvAAL","false","a4U3g000000PDGn","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgJmYAL","a0sWD00000XnoKcYAJ","","42038282029508214",""
"a0rWD000010LgWtYAK","005al00000RVcKvAAL","false","a4U3g000000PDHV","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKVYA1","a0sWD00000XnoLPYAZ","","42042405475828688",""
"a0rWD000010LgWuYAK","005al00000RVcKvAAL","false","a4U3g000000PDGI","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgJGYA1","a0sWD00000Xo7V9YAJ","","42074304066789170",""
"a0rWD000010LgWvYAK","005al00000RVcKvAAL","false","a4U3g000000PDGl","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgMLYA1","a0sWD00000XnoKaYAJ","","42084120480883219",""
"a0rWD000010LgWwYAK","005al00000RVcKvAAL","false","a4U3g000000PDFo","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKnYAL","a0sWD00000Xo7UrYAJ","","42086350116562611",""
"a0rWD000010LgWxYAK","005al00000RVcKvAAL","false","a4U3g000000PDGq","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgMIYA1","a0sWD00000XnoKgYAJ","","42091992774523052",""
"a0rWD000010LgWyYAK","005al00000RVcKvAAL","false","a4U3g000000PDGZ","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgJZYA1","a0sWD00000Xo7VSYAZ","","42093103102783548",""
"a0rWD000010LgWzYAK","005al00000RVcKvAAL","false","a4U3g000000PDGH","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgJFYA1","a0sWD00000Xo7V8YAJ","","42108678327722732",""
"a0rWD000010LgX0YAK","005al00000RVcKvAAL","false","a4U3g000000PDHm","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKlYAL","a0sWD00000Xo7UnYAJ","","42114176512506433",""
"a0rWD000010LgX1YAK","005al00000RVcKvAAL","false","a4U3g000000PDGA","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKzYAL","a0sWD00000Xo7V0YAJ","","42137065576441967",""
"a0rWD000010LgX2YAK","005al00000RVcKvAAL","false","a4U3g000000PDHa","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKaYAL","a0sWD00000XnoLUYAZ","","42138940463750183",""
"a0rWD000010LgX3YAK","005al00000RVcKvAAL","false","a4U3g000000PDFp","2026-04-07T19:02:26.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","005al00000RVcKvAAL","2026-08-06T11:09:04.000Z","0.0","a0qWD00000GSgKyYAL","a0sWD00000Xo7V2YAJ","","42150827596325745",""
