"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0sWD00000Xo7dgYAB","005al00000RVcKvAAL","false","Entity Compliance Screen","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","0072177E254843688F532C1E20705574","a0sWD00000Xo7dgYAB"
"a0sWD00000Xo7lqYAB","005al00000RVcKvAAL","false","CRA Screen","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","01051619447514585","a0sWD00000Xo7lqYAB"
"a0sWD00000Xo7lGYAR","005al00000RVcKvAAL","false","Borrowing Structure Information","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","02551560278745076","a0sWD00000Xo7lGYAR"
"a0sWD00000Xo7dhYAB","005al00000RVcKvAAL","false","Referral","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","033A51341F29453B88353A5D3C775058","a0sWD00000Xo7dhYAB"
"a0sWD00000XnoK6YAJ","005al00000RVcKvAAL","false","Underwriting Details","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","03471560278867077","a0sWD00000XnoK6YAJ"
"a0sWD00000XnoK7YAJ","005al00000RVcKvAAL","false","Site Visit","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","0398747383","a0sWD00000XnoK7YAJ"
"a0sWD00000XnoK8YAJ","005al00000RVcKvAAL","false","Change Memo","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","04391620937671559","a0sWD00000XnoK8YAJ"
"a0sWD00000Xo7kQYAR","005al00000RVcKvAAL","false","Product Summary","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","05641567002571747","a0sWD00000Xo7kQYAR"
"a0sWD00000Xo7bfYAB","005al00000RVcKvAAL","false","Borrowing Structure Information","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","06531585311469510","a0sWD00000Xo7bfYAB"
"a0sWD00000Xo7jPYAR","005al00000RVcKvAAL","false","Editable Fields","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","07281585604340854","a0sWD00000Xo7jPYAR"
"a0sWD00000Xo7bgYAB","005al00000RVcKvAAL","false","Underwriting Details1","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","07911600720267875","a0sWD00000Xo7bgYAB"
"a0sWD00000Xo7bhYAB","005al00000RVcKvAAL","false","CRA Screen","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","08841585311469499","a0sWD00000Xo7bhYAB"
"a0sWD00000Xo7lBYAR","005al00000RVcKvAAL","false","Risk Ratings","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","08891585604340856","a0sWD00000Xo7lBYAR"
"a0sWD00000Xo7joYAB","005al00000RVcKvAAL","false","Product Summary","2026-04-07T18:59:22.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","005al00000RVcKvAAL","2026-08-07T10:42:05.000Z","","","","false","false","true","09911567002550278","a0sWD00000Xo7joYAB"
