"Id","IsDeleted","Name","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0nWE000004iRgXYAU","false","Lightning-Record-001-ContextRule","a0oWE00000C5wNzYAJ","Lightning-Record-001-ContextRule","12387123981"
"a0nWE000004pOaoYAE","false","WK Esign","a0oWE00000CEntEYAT","Used to Generate WK Docs under the context of another user","42053228319029560"
"a0nWE000004iRgkYAE","false","Retrieve Pricing Options Retail Pricing","a0oWE00000C5wOBYAZ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42124860362386702"
"a0nWE000004pOanYAE","false","Retrieve Pricing Options Retail Pricing","a0oWE00000CEntHYAT","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42141213278332970"
"a0nWE000004iRguYAE","false","Loan Auto-Decision","a0oWE00000C5wNpYAJ","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","42225489045428711"
"a0nWE000004iRgYYAU","false","Retrieve Pricing Options Retail Pricing","a0oWE00000C5wNuYAJ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42412341569562522"
"a0nWE000004iRgvYAE","false","Retrieve Pricing Options","a0oWE00000C5wNqYAJ","Create the pricing option(s) based on information in the Loan.","42512758419816123"
"a0nWE000004iRgwYAE","false","DuplicateContentVersion","a0oWE00000C5wOFYAZ","","42519183972381251"
"a0nWE000004iRgxYAE","false","Proposed Pricing Option","a0oWE00000C5wNrYAJ","Create the proposed pricing option based on information in the loan.","42586508393286456"
"a0nWE000004iRglYAE","false","Retrieve Pricing Options Retail Pricing","a0oWE00000C5wOGYAZ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42622769876416433"
"a0nWE000004pOapYAE","false","Application Eligibility","a0oWE00000CEntFYAT","","42707121808597513"
"a0nWE000004iRgyYAE","false","Credit Request Preprocessing","a0oWE00000C5wODYAZ","This is run before creating a credit request to determine the parameters for the request","42785310115177566"
"a0nWE000004iRgZYAU","false","Retrieve Pricing Options Retail Pricing","a0oWE00000C5wNsYAJ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42808589436267268"
"a0nWE000004iRgzYAE","false","Loan Auto-Policy Exception","a0oWE00000C5wOEYAZ","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","42840682764586852"
"a0nWE000004iRh0YAE","false","Filter Pricing Options by DTI","a0oWE00000C5wNxYAJ","Filters the pricing options based on the current max DTI","42849211174191981"
"a0nWE000004iRh1YAE","false","CLA Inspection PlaceHolder Creation","a0oWE00000C5wOCYAZ","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","42981872108012027"
"a0nWE000004iRgaYAE","false","Lightning-Record-002-ContextRule","a0oWE00000C5wNyYAJ","Lightning-Record-002-ContextRule","98654209121456"
"a0nWE000004iRgnYAE","false","Retrieve Pricing Options","a0oWE00000C5wOIYAZ","Create the pricing option(s) based on information in the Loan.","Asdc6498yn"
"a0nWE000004pOafYAE","false","Credit Card Online Application","a0oWE00000CEntGYAT","","a0Vam00000Q5RkrEAF"
"a0nWE000004pOagYAE","false","Retrieve Pricing Options","a0oWE00000CEntHYAT","Create the pricing option(s) based on information in the Loan.","a0Vam00000Q5RksEAF"
"a0nWE000004pOahYAE","false","Loan Auto-Decision","a0oWE00000CEntIYAT","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","a0Vam00000Q5RktEAF"
